
[00:00:00.000 --> 00:00:10.240]  我代表報道會向頑基督會100週年的會慶現上衷心的祝賀
[00:00:10.240 --> 00:00:15.240]  亦都相信頂子妹在這段時間裏面帶著感恩
[00:00:15.240 --> 00:00:18.680]  帶著一個興奮的心來參與
[00:00:18.680 --> 00:00:22.600]  剛才的詩歌敬拜 詩班的獻唱
[00:00:22.600 --> 00:00:24.160]  我們心裏面都很觸動
[00:00:24.160 --> 00:00:27.080]  我們見到頂子妹在聚會的時候
[00:00:27.080 --> 00:00:30.600]  已經有很多向上帝的回應
[00:00:30.600 --> 00:00:35.240]  我實在為了這段時間現上衷心的感恩
[00:00:35.240 --> 00:00:44.360]  我非常榮幸能夠擔任這次基督會創會100週年的講閱
[00:00:44.360 --> 00:00:49.560]  其實不知道大家知不知道這個邀請是何時開始的
[00:00:49.560 --> 00:00:54.040]  今早有機會再和邱牧師對一下時間
[00:00:54.040 --> 00:00:58.080]  他找回一些日曆 將準確的時間和我說
[00:00:58.080 --> 00:01:07.000]  早在兩年多前 他們就開始籌備這個100週年的會慶
[00:01:07.000 --> 00:01:10.160]  上到講閱 他們提到我
[00:01:10.160 --> 00:01:15.360]  我和大家誠實地說 我首先是推卻這個邀請
[00:01:15.360 --> 00:01:17.280]  不是那段時間我不有空
[00:01:17.280 --> 00:01:22.800]  是兩年之後應該都沒有其他安排
[00:01:22.800 --> 00:01:25.320]  不過我覺得實在很不配合
[00:01:25.320 --> 00:01:30.560]  我相信有更多適合的人來擔任這個重要會慶的時間
[00:01:30.560 --> 00:01:35.120]  誰知在2024年今早對了
[00:01:35.120 --> 00:01:41.160]  在6月13日 邱牧師就說可不可以吃頓飯
[00:01:41.160 --> 00:01:43.440]  我們再談一下 那就好了
[00:01:43.440 --> 00:01:47.560]  結果他總共帶了八個人來
[00:01:47.560 --> 00:01:50.840]  繼承了基督會美好的傳統
[00:01:50.840 --> 00:01:56.800]  就很懇切地說可不可以考慮做他們的講員
[00:01:56.800 --> 00:01:58.560]  其實在這樣的情況之下
[00:01:58.560 --> 00:02:01.840]  我心感不配 但仍然很難去推卻
[00:02:01.840 --> 00:02:05.880]  我不知道大家知不知道這個基督會是傳統來的
[00:02:05.880 --> 00:02:11.200]  2013年 當我剛剛就任播道神學院的院長的時間
[00:02:11.200 --> 00:02:15.440]  全香港一千多間教會 只有基督會
[00:02:15.440 --> 00:02:18.080]  派了一隊人來 如果沒有記錯
[00:02:18.080 --> 00:02:21.640]  應該是六位弟兄姊妹來到神學院
[00:02:21.640 --> 00:02:29.040]  帶了一個果籃來 目的就是恭喜你任神學院院長
[00:02:29.040 --> 00:02:34.680]  不好意思這樣說 播道會好像沒有這樣做
[00:02:34.680 --> 00:02:41.680]  但是一個和我不是很有關係的教會
[00:02:41.680 --> 00:02:46.320]  這樣來表達 然後他們說其實不是沒有關係
