
[00:00:00.000 --> 00:00:05.000]  我願意在2023年新的一年開始的時候
[00:00:05.000 --> 00:00:11.000]  去分享其中一篇我一生最喜愛的詩篇
[00:00:11.000 --> 00:00:15.000]  我喜愛的詩篇 譬如詩篇23篇
[00:00:15.000 --> 00:00:20.000]  譬如詩篇121篇 我都在不同的場合裏面講過
[00:00:20.000 --> 00:00:27.000]  今天我定義想和大家思想詩篇139篇
[00:00:27.000 --> 00:00:32.000]  就是剛才我們所讀的 尤其是1至18節
[00:00:32.000 --> 00:00:38.000]  也藉著這個開始 我希望今年用三次的講道機會
[00:00:38.000 --> 00:00:41.000]  和大家來一個新的系列
[00:00:41.000 --> 00:00:45.000]  我給它名叫做我與神的關係
[00:00:45.000 --> 00:00:48.000]  也就是你和神的關係
[00:00:48.000 --> 00:00:53.000]  我們藉著新的一年 神的說話去檢討一下
[00:00:53.000 --> 00:00:58.000]  究竟我們現在與神的關係是一個怎樣的狀態
[00:00:58.000 --> 00:01:00.000]  一起來檢討一下
[00:01:00.000 --> 00:01:06.000]  現在我們開始看回詩篇139篇
[00:01:06.000 --> 00:01:11.000]  剛才我們用新譯本讀了一次 大家已經有印象
[00:01:11.000 --> 00:01:14.000]  待會我會和大家一段一段的
[00:01:14.000 --> 00:01:19.000]  試一下大家熟悉的和合本來讀
[00:01:19.000 --> 00:01:23.000]  增加我們的了解 也增加我們的印象
[00:01:23.000 --> 00:01:26.000]  這18節的經文
[00:01:26.000 --> 00:01:32.000]  很自然可以分為三個差不多相等的段落
[00:01:32.000 --> 00:01:34.000]  6節 6節 6節
[00:01:34.000 --> 00:01:36.000]  就18節了 好不好
[00:01:36.000 --> 00:01:39.000]  我們一起看看這6節 6節 6節
[00:01:39.000 --> 00:01:41.000]  是在講些什麼
[00:01:41.000 --> 00:01:44.000]  我們看到整個詩篇裏面
[00:01:44.000 --> 00:01:51.000]  大衛這個詩人是在講他與神之間的關係
[00:01:51.000 --> 00:01:53.000]  他講述了這種關係
[00:01:53.000 --> 00:01:55.000]  因為你看看 一直讀下去的時候
[00:01:55.000 --> 00:01:58.000]  差不多每一節都有我和你 你有沒有留意
[00:01:58.000 --> 00:02:04.000]  是嗎 而我說 你已經鑒察我 認識我
[00:02:04.000 --> 00:02:07.000]  我做下我起來 你都曉得
[00:02:07.000 --> 00:02:11.000]  你從遠處知道我的意念 又你又我
[00:02:11.000 --> 00:02:15.000]  究竟大衛一直在講什麼
[00:02:15.000 --> 00:02:19.000]  他與神的關係的經驗和體會呢
[00:02:19.000 --> 00:02:24.000]  剛才讀的時候 我相信你會很深刻的
[00:02:24.000 --> 00:02:28.000]  感覺到很強的空間感
[00:02:28.000 --> 00:02:31.000]  很多的方向 去了很多的地方
[00:02:31.000 --> 00:02:33.000]  如果不是 我再讀一次給你聽
[00:02:33.000 --> 00:02:35.000]  第一節到第六節
[00:02:35.000 --> 00:02:39.000]  那裏說 你已經鑒察我 認識我
[00:02:39.000 --> 00:02:43.000]  無論我做下我起來 你都曉得
[00:02:43.000 --> 00:02:46.000]  你從遠處知道我的意念
[00:02:46.000 --> 00:02:49.000]  我行路我躺臥你都細察
[00:02:49.000 --> 00:02:52.000]  你也心知我一切所行的
[00:02:52.000 --> 00:02:58.000]  我說 我舌頭上我說你沒有一句不知道的
[00:02:58.000 --> 00:03:03.000]  你在我前後環繞我 按手在我的身上
[00:03:03.000 --> 00:03:06.000]  這樣的知識奇妙是我不能察的
[00:03:06.000 --> 00:03:10.000]  至高是我不能及的
[00:03:10.000 --> 00:03:14.000]  是不是啊 很有空間感
[00:03:14.000 --> 00:03:17.000]  我坐下 我起來 這裡說的
[00:03:17.000 --> 00:03:20.000]  我坐下 起床 在家裏面
[00:03:20.000 --> 00:03:24.000]  我們坐下打電腦 突然間不如起床
[00:03:24.000 --> 00:03:28.000]  去抽抽東西 在家裏面的生活
[00:03:28.000 --> 00:03:30.000]  然後他又再講到再遠一點
[00:03:30.000 --> 00:03:35.000]  我行路 我躺臥 行路這個原文的意思
[00:03:35.000 --> 00:03:40.000]  是travel 即是去旅程當中
[00:03:40.000 --> 00:03:44.000]  即是出了家 遠行去不同的地方
[00:03:44.000 --> 00:03:48.000]  或者我休息的時候 我躺臥休息的時候
[00:03:48.000 --> 00:03:52.000]  離開家裏 甚至不單止這樣 再遠一點
[00:03:52.000 --> 00:03:56.000]  詩人說你從遠處 雖然你很遠
[00:03:56.000 --> 00:03:59.000]  但都知道我心裏面在想什麼
[00:03:59.000 --> 00:04:01.000]  You sense my thought
[00:04:01.000 --> 00:04:04.000]  你感覺到 我感受到我在想什麼
[00:04:04.000 --> 00:04:06.000]  雖然你離我很遠
[00:04:06.000 --> 00:04:08.000]  但其實你完全知道我在想什麼
[00:04:08.000 --> 00:04:10.000]  並且不單止知道我在想什麼
[00:04:10.000 --> 00:04:13.000]  並且你很熟悉我的風格
[00:04:13.000 --> 00:04:17.000]  因為他說你會深知我一切所行
[00:04:17.000 --> 00:04:20.000]  即是我性格是怎樣 我在做什麼
[00:04:20.000 --> 00:04:22.000]  我喜歡做什麼 不喜歡什麼
[00:04:22.000 --> 00:04:25.000]  你完全知道 你完全沒有離開我
[00:04:25.000 --> 00:04:29.000]  雖然好像離我很遠 但其實你是很近我
[00:04:29.000 --> 00:04:33.000]  近到一個地步 甚至我舌頭上的說話
[00:04:33.000 --> 00:04:36.000]  你都沒有一句是不知道的
[00:04:36.000 --> 00:04:39.000]  這個原來的意思可能更強
[00:04:39.000 --> 00:04:41.000]  原來原文的意思就是說
[00:04:41.000 --> 00:04:43.000]  無論我說出來的說話
[00:04:43.000 --> 00:04:46.000]  或者我未說出來的心裏面的說話
[00:04:46.000 --> 00:04:48.000]  有時我們心裏面沒有說出來的
[00:04:48.000 --> 00:04:50.000]  腦裏面有東西說的
[00:04:50.000 --> 00:04:54.000]  你都完全知道 你完全知道
[00:04:54.000 --> 00:04:56.000]  無論在什麼場合我說的說話
[00:04:56.000 --> 00:05:00.000]  你又知道 我甚至心裏面未說出來的那句
[00:05:00.000 --> 00:05:02.000]  你都知道 你完全看透我
[00:05:02.000 --> 00:05:04.000]  你不單止我去到哪裡
[00:05:04.000 --> 00:05:06.000]  做什麼你都在那裏
[00:05:06.000 --> 00:05:10.000]  並且你完全知道我無所不在
[00:05:10.000 --> 00:05:15.000]  亦都是無所不知的神
[00:05:15.000 --> 00:05:19.000]  他說這種這樣的奇妙
[00:05:19.000 --> 00:05:21.000]  使人讚嘆說
[00:05:21.000 --> 00:05:24.000]  太高超了 太奇妙了
[00:05:24.000 --> 00:05:26.000]  令我好驚訝
[00:05:26.000 --> 00:05:31.000]  你甚至在前後環繞我
[00:05:31.000 --> 00:05:35.000]  前後環繞我 原來原文的意思
[00:05:35.000 --> 00:05:37.000]  是抱緊我
[00:05:37.000 --> 00:05:39.000]  不單止圍著我
[00:05:39.000 --> 00:05:41.000]  好像我們坐電單車一樣
[00:05:41.000 --> 00:05:43.000]  後面那個抱緊你
[00:05:43.000 --> 00:05:45.000]  在後面抱緊我
[00:05:45.000 --> 00:05:47.000]  你又在前面擁抱我
[00:05:47.000 --> 00:05:49.000]  還可以按手在我頭上
[00:05:49.000 --> 00:05:51.000]  嘩! 真是很急
[00:05:51.000 --> 00:05:53.000]  不是 他想說
[00:05:53.000 --> 00:05:55.000]  你和我完全沒有空隙的
[00:05:55.000 --> 00:05:57.000]  完全是親切的
[00:05:57.000 --> 00:05:59.000]  沒有任何的遺漏 你和我的關係
[00:05:59.000 --> 00:06:01.000]  是多麼的真實
[00:06:01.000 --> 00:06:03.000]  是多麼的親切
[00:06:03.000 --> 00:06:05.000]  當我想到這件事的時候
[00:06:05.000 --> 00:06:07.000]  想到這樣的情況
[00:06:07.000 --> 00:06:10.000]  想到我的神是這樣的神的時候
[00:06:10.000 --> 00:06:12.000]  我太驚訝了
[00:06:12.000 --> 00:06:15.000]  驚訝到我真的想不通
[00:06:15.000 --> 00:06:17.000]  想都沒辦法完全明白
[00:06:17.000 --> 00:06:21.000]  最高是我不能及的 太奇妙了
[00:06:21.000 --> 00:06:23.000]  這個就是這六節裏面
[00:06:23.000 --> 00:06:27.000]  私人想要表達的說話
[00:06:27.000 --> 00:06:30.000]  現在我們一起想一個問題
[00:06:30.000 --> 00:06:33.000]  私人說他很驚訝
[00:06:33.000 --> 00:06:36.000]  發現神是這樣的
[00:06:36.000 --> 00:06:39.000]  驚訝什麼呢
[00:06:39.000 --> 00:06:41.000]  用不著驚訝
[00:06:41.000 --> 00:06:43.000]  尤其是私人是大衛
[00:06:43.000 --> 00:06:46.000]  他不知道神是無所不在的嗎
[00:06:46.000 --> 00:06:48.000]  早知道了
[00:06:48.000 --> 00:06:50.000]  你都知道了 我都知道了
[00:06:50.000 --> 00:06:53.000]  神是無所不知的 是不是
[00:06:53.000 --> 00:06:55.000]  什麼他都看透了
[00:06:55.000 --> 00:06:57.000]  你和我 是不是
[00:06:57.000 --> 00:07:00.000]  大衛當然知道了
[00:07:00.000 --> 00:07:03.000]  那有什麼驚訝呢 你驚訝什麼呢
[00:07:03.000 --> 00:07:05.000]  有時我們要問這個問題
[00:07:05.000 --> 00:07:08.000]  為什麼驚訝
[00:07:08.000 --> 00:07:11.000]  原來大衛想表達一件事
[00:07:11.000 --> 00:07:15.000]  他突然間發覺原來神是這麼偉大的時候
[00:07:15.000 --> 00:07:17.000]  這麼奇妙的時候
[00:07:17.000 --> 00:07:23.000]  他那個驚訝不是驚訝神自己的問題
[00:07:23.000 --> 00:07:27.000]  他是驚訝他自己人的問題
[00:07:27.000 --> 00:07:28.000]  什麼意思呢
[00:07:28.000 --> 00:07:31.000]  神就永遠都是無所不知的
