
[00:00:00.000 --> 00:00:08.640]  願上主賜福聽祂的話而遵行的人
[00:00:08.640 --> 00:00:10.640]  我們一起祈禱
[00:00:10.640 --> 00:00:14.200]  我們在天上的父
[00:00:14.200 --> 00:00:19.160]  多謝祢讓我們這個群體
[00:00:19.160 --> 00:00:24.520]  在七月的時候一起追求祢
[00:00:24.520 --> 00:00:27.840]  一起有新的願望
[00:00:27.840 --> 00:00:35.120]  一起學習同心的侍奉祢
[00:00:35.120 --> 00:00:39.760]  願祢紀念我們微弱的呼聲
[00:00:39.760 --> 00:00:42.320]  我們微弱的掙扎
[00:00:42.320 --> 00:00:45.920]  願祢自己的聖靈繼續在我們生命當中
[00:00:45.920 --> 00:00:50.040]  成就那種超過我們所求所想的工作
[00:00:50.040 --> 00:00:54.400]  將我們改變到連我們自己都難以置信
[00:00:54.400 --> 00:00:58.720]  當我們看到你在弟兄姊妹身上的作為的時候
[00:00:58.720 --> 00:01:02.400]  我們真的能夠歡呼、雀躍、跳舞
[00:01:02.400 --> 00:01:05.360]  我們願榮耀頌贊歸給祢
[00:01:05.360 --> 00:01:11.360]  願祢紀念又賜福我們整個敬拜的聚會
[00:01:11.360 --> 00:01:13.120]  榮耀歸祢
[00:01:13.120 --> 00:01:14.720]  奉耶穌基督的聖名
[00:01:14.720 --> 00:01:16.720]  阿們
[00:01:16.720 --> 00:01:18.720]  今天講到的經文
[00:01:18.720 --> 00:01:21.920]  是彼得前書第二章
[00:01:21.920 --> 00:01:26.800]  第四節到第十節
[00:01:26.800 --> 00:01:32.480]  請大家翻開彼得前書第二章
[00:01:32.480 --> 00:01:37.120]  第四節到第十節
[00:01:37.120 --> 00:01:39.760]  記得上個星期我們有讀經營
[00:01:39.760 --> 00:01:43.600]  我們很感謝主預備楊漢業牧師在我們當中
[00:01:43.600 --> 00:01:48.720]  宣講讀經、聖經、賴道而活的人的信息
[00:01:48.720 --> 00:01:55.280]  為我們讀經營做了一個非常好的基礎的準備
[00:01:55.280 --> 00:01:58.800]  也為了我們整個豐盛生命堂
[00:01:58.800 --> 00:02:01.440]  接下來的群體生活當中
[00:02:01.440 --> 00:02:03.600]  要注重神的話語
[00:02:03.600 --> 00:02:05.200]  做一個非常好的教導
[00:02:05.200 --> 00:02:12.640]  今天我們繼續看彼得前書的信息
[00:02:12.640 --> 00:02:16.720]  在開始的時候彼得告訴我們
[00:02:16.720 --> 00:02:20.880]  作為神的群體、作為神的教會
[00:02:20.880 --> 00:02:23.600]  我們有些東西是不可以保留的
[00:02:23.600 --> 00:02:26.400]  有些東西一定要清除
[00:02:26.400 --> 00:02:31.280]  但是有些東西是一定要貫徹始終的
[00:02:31.280 --> 00:02:35.760]  持之以恆的來追求
[00:02:35.760 --> 00:02:37.840]  要脫去的是甚麼呢
[00:02:37.840 --> 00:02:40.560]  就是一切的毀謗
[00:02:40.560 --> 00:02:42.880]  一切的欺詐
[00:02:42.880 --> 00:02:45.040]  一切的嫉妒
[00:02:45.040 --> 00:02:49.520]  一切的是是非非、惡言
[00:02:49.520 --> 00:02:52.960]  這一切屬肉體的惡行
[00:02:52.960 --> 00:02:57.680]  全部都要像脫掉了那些骯髒的衣服一樣
[00:02:57.680 --> 00:03:00.400]  把它們脫掉
[00:03:00.400 --> 00:03:05.520]  而要追求的就要好像一個嬰兒
[00:03:05.520 --> 00:03:08.720]  他天生有一種本能
[00:03:08.720 --> 00:03:14.400]  就是要愛慕純淨的靈奶
[00:03:14.400 --> 00:03:16.000]  我們作為神的兒女
[00:03:16.000 --> 00:03:24.000]  一生一世都不可以失去這種學慕神話語的心
[00:03:24.000 --> 00:03:25.120]  為甚麼
[00:03:25.120 --> 00:03:28.960]  因為我們是一個賴道而生
[00:03:28.960 --> 00:03:34.240]  因著信服主的聖道而蒙了重生
[00:03:34.240 --> 00:03:39.920]  因著聽見福音、信服福音而得到新的生命
[00:03:39.920 --> 00:03:43.600]  而這種由道、由福音而來的生命
[00:03:43.600 --> 00:03:46.800]  繼續的建造、繼續的長大
[00:03:46.800 --> 00:03:50.720]  繼續的成性、繼續的成熟
[00:03:50.720 --> 00:03:57.360]  亦離不開神活潑常存的道
[00:03:57.360 --> 00:03:58.720]  親愛的弟兄姊妹
[00:03:58.720 --> 00:04:00.960]  讓我們竭力的
[00:04:00.960 --> 00:04:03.200]  是撇除一切不好的
[00:04:03.200 --> 00:04:05.600]  同時更加倍竭力的
[00:04:05.600 --> 00:04:10.320]  去追求我們必不可少的
[00:04:10.320 --> 00:04:13.280]  有時我反省自己的生命
[00:04:13.280 --> 00:04:16.880]  應該脫的我不夠力去脫
[00:04:16.880 --> 00:04:18.640]  必須追求的
[00:04:18.640 --> 00:04:20.320]  我懶懶行
[00:04:20.320 --> 00:04:23.520]  不是認真去追求
[00:04:23.520 --> 00:04:27.280]  我想讓我們今天再一次靠著主的恩典
[00:04:27.280 --> 00:04:28.480]  說主啊
[00:04:28.480 --> 00:04:30.240]  在應該撇除的
[00:04:30.240 --> 00:04:32.400]  我更撇脫的去撇除它
[00:04:32.400 --> 00:04:35.760]  應該告別的更加努力的去告別它
[00:04:35.760 --> 00:04:40.320]  但同時求主給我們新的恩典、新的能力
[00:04:40.320 --> 00:04:42.000]  同心的追求那個
[00:04:42.000 --> 00:04:43.200]  必不可少
[00:04:43.200 --> 00:04:47.360]  對我們絕對有百利而無一害的
[00:04:47.360 --> 00:04:51.040]  神、純正的靈奶
[00:04:51.040 --> 00:04:53.520]  所以我們仍然要堅持自己
[00:04:53.520 --> 00:04:56.160]  是一個信奉真道
[00:04:56.160 --> 00:04:59.760]  奉行真道而活的教會
[00:04:59.760 --> 00:05:04.720]  今天我覺得是我們這個群體重要的日子
[00:05:04.720 --> 00:05:08.000]  既然是這個群體、這個教會重要的日子
[00:05:08.000 --> 00:05:12.560]  有什麼比重溫教會更好
[00:05:12.560 --> 00:05:16.240]  如何建立教會這個信息呢
[00:05:16.240 --> 00:05:18.720]  誰能夠教我們呢
[00:05:18.720 --> 00:05:22.560]  我相信莫過於那一位主跟他說
[00:05:22.560 --> 00:05:24.720]  你是彼得
[00:05:24.720 --> 00:05:26.640]  You are the rock
[00:05:26.640 --> 00:05:30.960]  我要將我的教會建立在這盆石上
[00:05:30.960 --> 00:05:33.040]  那一位的彼得
[00:05:33.040 --> 00:05:34.720]  他認識耶穌基督
[00:05:34.720 --> 00:05:37.680]  他也明白教會的真義
[00:05:37.680 --> 00:05:42.000]  他得到的啟示是永生神給他的啟示
[00:05:42.000 --> 00:05:44.000]  不單是給他一個人
[00:05:44.000 --> 00:05:48.400]  其實他也代表著整班的仕徒、整班的門徒
[00:05:48.400 --> 00:05:50.240]  代表著整個教會
[00:05:50.240 --> 00:05:52.320]  來領受主治的說話
[00:05:52.320 --> 00:05:54.800]  是誰要建立教會呢
[00:05:54.800 --> 00:05:56.800]  我要建立教會
[00:05:56.800 --> 00:05:58.000]  耶穌說的
[00:05:58.000 --> 00:05:59.680]  那個我就是耶穌
[00:05:59.680 --> 00:06:03.840]  是耶穌一直在做著他所做的工作
[00:06:03.840 --> 00:06:06.720]  也只有他才能夠做的工作
[00:06:06.720 --> 00:06:10.640]  是耶穌在建立教會
[00:06:10.640 --> 00:06:12.880]  人建立不了
[00:06:12.880 --> 00:06:14.880]  人拆就很厲害
[00:06:14.880 --> 00:06:16.560]  建立就不行
[00:06:16.560 --> 00:06:22.720]  建立的是主耶穌自己一直在做著的工作
[00:06:22.720 --> 00:06:25.520]  所以我們今天必須看清楚
[00:06:25.520 --> 00:06:27.520]  教會到底是什麼
[00:06:27.520 --> 00:06:31.520]  耶穌基督的教會
[00:06:31.520 --> 00:06:35.280]  我們不可以掛耶穌的名
[00:06:35.280 --> 00:06:39.360]  但是底蘊裡卻是別的東西
[00:06:39.360 --> 00:06:41.920]  我們不可以掛耶穌的名
[00:06:41.920 --> 00:06:44.480]  但是我們卻褫奪祂的榮耀
[00:06:44.480 --> 00:06:47.040]  我們不可以掛耶穌的名
[00:06:47.200 --> 00:06:52.880]  然後將祂的獨一無二的奇妙尊貴的位份
[00:06:52.880 --> 00:06:56.480]  來跟其他宗教的人物
[00:06:56.480 --> 00:07:00.800]  來相提並論混為一談
[00:07:00.800 --> 00:07:02.800]  我們更加不可以
