
[00:00:00.000 --> 00:00:05.840]  今天我們是要開始一個新的系列
[00:00:05.840 --> 00:00:09.360]  這個新的系列就是哥林多書
[00:00:09.360 --> 00:00:12.280]  我在每一個新的系列
[00:00:12.280 --> 00:00:16.280]  我都會首先講一個介紹的一個訊息
[00:00:16.280 --> 00:00:21.080]  我就會叫這個介紹為何要讀這本書
[00:00:21.080 --> 00:00:25.400]  所以今天的題目就是為何要讀哥林多書
[00:00:25.400 --> 00:00:27.920]  在這裡介紹的這個訊息
[00:00:27.920 --> 00:00:32.720]  我通常都會給大家有很多背景、很多資料
[00:00:32.720 --> 00:00:35.720]  讓大家能夠更加明白這本書
[00:00:35.720 --> 00:00:38.720]  所以當大家讀哥林多書的時候
[00:00:38.720 --> 00:00:42.440]  希望大家能夠更加明白這本書
[00:00:42.440 --> 00:00:44.440]  更加了解
[00:00:44.440 --> 00:00:48.320]  首先我們看看作者是誰
[00:00:48.320 --> 00:00:50.520]  在教會的歷史裡
[00:00:50.520 --> 00:00:53.520]  沒有太多人挑戰這本書
[00:00:53.520 --> 00:00:57.000]  就是出自保羅的手筆
[00:00:57.000 --> 00:01:00.280]  其實是由兩個角度我們可以看到
[00:01:00.280 --> 00:01:02.600]  作者的確是保羅
[00:01:02.600 --> 00:01:05.600]  第一就是從這本書自己的內政
[00:01:05.600 --> 00:01:07.320]  我們能夠看到
[00:01:07.320 --> 00:01:10.520]  在哥林多前書的一章一至二節
[00:01:10.520 --> 00:01:14.120]  就是剛才周長老和我們讀的經文
[00:01:14.120 --> 00:01:16.120]  說奉神旨意
[00:01:16.120 --> 00:01:19.920]  蒙召作耶穌基督使徒的保羅
[00:01:19.920 --> 00:01:22.120]  和兄弟所提尼
[00:01:22.120 --> 00:01:26.320]  寫信給在哥林多神的教會
[00:01:26.320 --> 00:01:28.320]  所以經文說得很清楚
[00:01:28.320 --> 00:01:30.320]  作者就是保羅
[00:01:30.320 --> 00:01:34.320]  其實保羅在新約十三篇書信裡
[00:01:34.320 --> 00:01:38.320]  一開始都有提到自己就是作者
[00:01:38.320 --> 00:01:41.720]  這個就是希臘人寫信的方式
[00:01:41.720 --> 00:01:44.720]  當希臘人寫信給對方的時候
[00:01:44.720 --> 00:01:46.720]  一定會說明自己是誰
[00:01:46.720 --> 00:01:48.920]  所以保羅也不例外
[00:01:48.920 --> 00:01:51.720]  一開始就告訴讀者
[00:01:51.720 --> 00:01:54.720]  他就是這本書的作者
[00:01:54.720 --> 00:01:57.120]  還有外政呢?
[00:01:57.120 --> 00:01:59.120]  在一世紀以來
[00:01:59.120 --> 00:02:01.920]  教會都普遍接受保羅
[00:02:01.920 --> 00:02:04.320]  是哥林多前後書的作者
[00:02:04.320 --> 00:02:07.320]  在公元95年
[00:02:07.320 --> 00:02:10.520]  格利敏寫信給哥林多教會
[00:02:10.520 --> 00:02:14.720]  是講及保羅寫信給哥林多教會的事
[00:02:14.720 --> 00:02:17.520]  所以我們知道哥林多前後書
[00:02:17.520 --> 00:02:19.520]  就是保羅所寫
[00:02:19.520 --> 00:02:23.320]  而還有很多早期基督教的領袖
[00:02:23.320 --> 00:02:27.320]  例如伊格拿丁公元110年
[00:02:27.320 --> 00:02:30.320]  波雷格公元135年
[00:02:30.320 --> 00:02:33.320]  特土良公元200年
[00:02:33.320 --> 00:02:38.320]  都證實哥林多書就是出於保羅的手筆
[00:02:38.320 --> 00:02:44.320]  也沒有任何人有動機去冒認保羅寫這些書信
[00:02:44.320 --> 00:02:46.320]  而且我們等等會看到
[00:02:46.320 --> 00:02:48.320]  在這些書信裡
[00:02:48.320 --> 00:02:52.320]  保羅所寫出來的經文都是很個人化
[00:02:52.320 --> 00:02:55.320]  因為他是被當時有很多假老師
[00:02:55.320 --> 00:02:57.320]  假使徒來攻擊他
[00:02:57.320 --> 00:02:59.320]  說他不是一個真使徒
[00:02:59.320 --> 00:03:02.320]  所以保羅要為自己辯護
[00:03:02.320 --> 00:03:06.320]  寫了很多個人化的資料
[00:03:06.320 --> 00:03:09.320]  也充滿了傳奇性
[00:03:09.320 --> 00:03:13.320]  就算連最有批評性的學者
[00:03:13.320 --> 00:03:18.320]  都認為保羅就是哥林多前後書的作者
[00:03:18.320 --> 00:03:21.320]  書名就是哥林多
[00:03:21.320 --> 00:03:28.320]  大部分保羅的寫作都是以修信教會的名字來做書名
[00:03:28.320 --> 00:03:30.320]  哥林多就是一個例子
[00:03:30.320 --> 00:03:32.320]  當然也有例外
[00:03:32.320 --> 00:03:36.320]  有三本書是用人名來做書名
[00:03:36.320 --> 00:03:42.320]  就是提摩太前後書、提多書和肥利門書
[00:03:42.320 --> 00:03:47.320]  除此以外都是以修信教會的名字來做書名
[00:03:49.320 --> 00:03:53.320]  講到第三點就是背景和地理
[00:03:53.320 --> 00:03:56.320]  哥林多位於希臘南部
[00:03:56.320 --> 00:04:00.320]  距離雅典只有45里
[00:04:00.320 --> 00:04:05.320]  我們知道雅典是非常富於哲學思想的一個地方
[00:04:05.320 --> 00:04:08.320]  他和雅典很接近
[00:04:08.320 --> 00:04:15.320]  還有他是在希臘南部和帕羅賓尼薩半島之間
[00:04:15.320 --> 00:04:18.320]  一個連接的地方
[00:04:18.320 --> 00:04:21.320]  有4里的連接地
[00:04:21.320 --> 00:04:27.320]  將希臘南部和半島連在一起
[00:04:27.320 --> 00:04:30.320]  是4里這麼長的一個連接的地方
[00:04:30.320 --> 00:04:32.320]  哥林多就在那裡
[00:04:32.320 --> 00:04:37.320]  這個連接的地方的東面有一個海灣
[00:04:37.320 --> 00:04:40.320]  叫做沙倫尼黑海灣
[00:04:40.320 --> 00:04:43.320]  在西面是哥林多海灣
[00:04:43.320 --> 00:04:47.320]  無論你是由西面的海灣去到這個地方
[00:04:47.320 --> 00:04:50.320]  或者由東面的海灣去到哥林多
[00:04:50.320 --> 00:04:53.320]  去到這個4里長的陸地
[00:04:53.320 --> 00:04:55.320]  你都要停了你的船
[00:04:55.320 --> 00:04:58.320]  然後將你的貨物搬上陸地
[00:04:58.320 --> 00:05:01.320]  在陸地走4里路去到另外那邊
[00:05:01.320 --> 00:05:05.320]  然後又將這些貨物放到一艘新的船上
[00:05:05.320 --> 00:05:07.320]  再繼續前進
[00:05:07.320 --> 00:05:12.320]  這個就是當時運輸貨物的一個辦法
[00:05:12.320 --> 00:05:15.320]  那你說為什麼要這麼複雜呢?
[00:05:15.320 --> 00:05:17.320]  這個是半島
[00:05:17.320 --> 00:05:20.320]  那你就繞過那個半島
[00:05:20.320 --> 00:05:23.320]  由地中海另外那邊走
[00:05:23.320 --> 00:05:25.320]  一個很寬闊的地中海
[00:05:25.320 --> 00:05:27.320]  為什麼你不在那裡走呢?
[00:05:27.320 --> 00:05:32.320]  如果你運路走到半島的另外一邊
[00:05:32.320 --> 00:05:35.320]  你是增加了250里的路程
[00:05:35.320 --> 00:05:38.320]  而且是很大風險
[00:05:38.320 --> 00:05:42.320]  在地中海當時那裡是大風大浪
[00:05:42.320 --> 00:05:44.320]  一般的水手走這條路之前
[00:05:44.320 --> 00:05:46.320]  一定會寫下遺囑
[00:05:46.320 --> 00:05:50.320]  所以你就知道走這條路有多危險
[00:05:50.320 --> 00:05:55.320]  所以大部分的運輸都是經過這4里的陸地
[00:05:55.320 --> 00:05:58.320]  就是將船停在哥林多
[00:05:58.320 --> 00:06:02.320]  然後走這4里的路去到另外一邊
[00:06:02.320 --> 00:06:04.320]  也是因為這樣
[00:06:04.320 --> 00:06:07.320]  哥林多成為當時必經之路
