
[00:00:00.000 --> 00:00:05.000]  最近透過電視和一些網絡新聞,
[00:00:05.000 --> 00:00:12.000]  我都知道香港在最近幾年經歷了很深刻的變化。
[00:00:12.000 --> 00:00:18.000]  香港人在很多層面都受到很大的壓力和挑戰。
[00:00:18.000 --> 00:00:22.000]  在社會方面,一些市民所期待的,
[00:00:22.000 --> 00:00:24.000]  甚至是他們所想要的,
[00:00:24.000 --> 00:00:31.000]  都沒有辦法按照我們的期待去通過。
[00:00:31.000 --> 00:00:34.000]  相反,大家可能都很擔心,
[00:00:34.000 --> 00:00:36.000]  在未來的日子,
[00:00:36.000 --> 00:00:41.000]  發表言論的自由空間越來越收窄。
[00:00:41.000 --> 00:00:43.000]  在民生方面,
[00:00:43.000 --> 00:00:47.000]  我相信大家都感覺到放假不斷飆升,
[00:00:47.000 --> 00:00:50.000]  而單單在2019年,
[00:00:50.000 --> 00:00:55.000]  放假平均已經升了10-15%。
[00:00:55.000 --> 00:00:57.000]  大家都擔心,
[00:00:57.000 --> 00:00:59.000]  在前面的日子,
[00:00:59.000 --> 00:01:04.000]  到底我們的生活如何可以跟著放假追得上。
[00:01:04.000 --> 00:01:06.000]  不要說買房子,
[00:01:06.000 --> 00:01:08.000]  年輕人結婚之後,
[00:01:08.000 --> 00:01:11.000]  想租一個地方都很困難。
[00:01:11.000 --> 00:01:16.000]  我相信這是很多香港人都很擔心的問題。
[00:01:16.000 --> 00:01:24.000]  我相信這是很多香港年輕人都很擔心的問題。
[00:01:24.000 --> 00:01:26.000]  在教會方面,
[00:01:26.000 --> 00:01:32.000]  根據香港教會更新運動所做的調查,
[00:01:32.000 --> 00:01:35.000]  調查1300個堂會,
[00:01:35.000 --> 00:01:38.000]  發現在過去5-10年之間,
[00:01:38.000 --> 00:01:43.000]  教會的事工有轉差的趨勢。
[00:01:43.000 --> 00:01:49.000]  我相信平安方堂或者面臨這種挑戰都未來。
[00:01:49.000 --> 00:01:51.000]  在你們中間多年來,
[00:01:51.000 --> 00:01:53.000]  我為你們感恩,
[00:01:53.000 --> 00:01:57.000]  你們的道的傳統守得很緊。
[00:01:57.000 --> 00:01:59.000]  不過整體來說,
[00:01:59.000 --> 00:02:01.000]  整個社會的大趨勢,
