
[00:00:00.000 --> 00:00:09.440]  有行動產生一種從感恩而來的分享見證
[00:00:09.440 --> 00:00:15.440]  今日Alan會和大家分享他參加了三福之後的經歷
[00:00:15.440 --> 00:00:19.640]  我們希望從他的經歷可以成為我們一種動力
[00:00:19.640 --> 00:00:22.840]  來接受三福的訓練
[00:00:22.840 --> 00:00:25.840]  我們現在就請Alan給點掌聲
[00:00:25.840 --> 00:00:34.840]  (掌聲)
[00:00:34.840 --> 00:00:35.840]  感謝主
[00:00:35.840 --> 00:00:38.840]  各位大兄姊妹早晨
[00:00:38.840 --> 00:00:39.840]  我是Alan
[00:00:39.840 --> 00:00:42.840]  我是和太太回到哥哥團契的
[00:00:42.840 --> 00:00:46.840]  我是星期五日間三福的手足
[00:00:46.840 --> 00:00:49.840]  我是由四十期開始參加三福
[00:00:49.840 --> 00:00:51.840]  到剛剛過去的第四十九期
[00:00:51.840 --> 00:00:54.840]  不知不覺已經十期了
[00:00:54.840 --> 00:00:57.840]  因為我很想向未信主的人傳福音
[00:00:57.840 --> 00:00:59.840]  所以參加了三福訓練
[00:00:59.840 --> 00:01:02.840]  感謝主在三福訓練中教導了我
[00:01:02.840 --> 00:01:06.840]  如何和別人建立關係
[00:01:06.840 --> 00:01:08.840]  原來要和別人建立關係
[00:01:08.840 --> 00:01:13.840]  首先要和創造我們的神建立親密的關係
[00:01:13.840 --> 00:01:18.840]  在三福中我們會找一個同行者一起禱告
[00:01:18.840 --> 00:01:19.840]  即是禱伴
[00:01:19.840 --> 00:01:24.840]  我們會同心幸常地向神禱告和祈求
[00:01:24.840 --> 00:01:28.840]  我們常常求神為我們預備對象
[00:01:28.840 --> 00:01:30.840]  也會為對象禱告
[00:01:30.840 --> 00:01:32.840]  求神打開他們的心
[00:01:32.840 --> 00:01:34.840]  也會求神帶領我們
[00:01:34.840 --> 00:01:38.840]  傳揚福音的時候按照神的心意去行
[00:01:38.840 --> 00:01:40.840]  神是聽禱告的神
[00:01:40.840 --> 00:01:45.840]  我們常常都會看到神對我們禱告的回應
[00:01:45.840 --> 00:01:48.840]  當我們看到對象願意接受救恩的時候
[00:01:48.840 --> 00:01:53.840]  心裡的感動和感恩實在很難形容那種喜樂
[00:01:53.840 --> 00:01:56.840]  但當看到對象拒絕救恩的時候
[00:01:56.840 --> 00:01:58.840]  心裡都有點難過
[00:01:58.840 --> 00:02:00.840]  彼得後書三章九節
