
[00:00:00.000 --> 00:00:08.320]  我在中學的時候本身是讀中國文學的
[00:00:08.320 --> 00:00:14.240]  中國文學不只是讀一些文學作品那麼簡單
[00:00:14.240 --> 00:00:19.360]  很多時候還會同時間學寫一些好的文章
[00:00:19.360 --> 00:00:30.480]  如何做一個有效運用語言去將一個訊息或主題向人好好的陳明
[00:00:30.480 --> 00:00:35.520]  所以我記得當我去讀在語科班的時候
[00:00:35.520 --> 00:00:38.640]  我以前讀語科班是讀兩年的
[00:00:38.640 --> 00:00:43.040]  語科班其實等於大學的一年級和二年級
[00:00:43.040 --> 00:00:49.440]  在那時候讀的時候從來沒有人好好教過我去寫作
[00:00:49.440 --> 00:00:52.960]  直到這位老師 這位中文老師
[00:00:52.960 --> 00:00:58.720]  我還記得他當時教我們第一堂第一句的話
[00:00:58.720 --> 00:01:05.040]  他就這樣說 他說今天我開始做你們的中文文學科的老師
[00:01:05.040 --> 00:01:13.520]  有一樣東西就是要學會的 如何才能將一篇文章寫得好
[00:01:13.520 --> 00:01:16.320]  能夠準確將你的訊息傳遞呢
[00:01:16.320 --> 00:01:18.720]  他就給了我們一句這樣的說話
[00:01:18.720 --> 00:01:23.360]  他說就是要做到語不驚人誓不休
[00:01:23.360 --> 00:01:26.960]  這個說話究竟是出自何人的呢
[00:01:26.960 --> 00:01:31.280]  其實原來當我們仔細讀過中國文學都會知道
[00:01:31.280 --> 00:01:36.240]  這句說話是出自唐朝的時候一位詩人道府
[00:01:36.240 --> 00:01:42.560]  他有一首詩叫做江上直水如海西撩短術
[00:01:42.560 --> 00:01:47.840]  其實名字很長的 他們當時的詩有很多的格
[00:01:47.840 --> 00:01:53.520]  有很多的韻 有些東西是需要去學的
[00:01:53.520 --> 00:01:56.960]  在裡面一開始就有一句這樣的說話
[00:01:56.960 --> 00:02:04.320]  他說為人性癖 怎皆具 語不驚人死不休
[00:02:04.320 --> 00:02:12.640]  其實是重新說回這個作者當他去到人生的某一段時間
[00:02:12.640 --> 00:02:17.520]  他經歷了很多的事情 他發覺有很多時候
[00:02:17.520 --> 00:02:24.720]  如何才能夠將一些說話講得讓人有深刻的印象呢
[00:02:24.720 --> 00:02:29.360]  他說一定要講出來使人有驚訝的感覺
[00:02:29.360 --> 00:02:31.600]  為什麼我說回這件事情呢
[00:02:31.600 --> 00:02:37.200]  因為後來我這位中文的老師他就不教中文
[00:02:37.200 --> 00:02:42.960]  他教完我之後就離開了教育界就跑去拍電影
[00:02:42.960 --> 00:02:48.480]  他後來拍了一套電影 人一生都聽他講拍過一套
[00:02:48.480 --> 00:02:54.320]  那套電影是一個影帝去拍的
[00:02:54.320 --> 00:02:57.520]  後來還得了很多的國際獎項
[00:02:57.520 --> 00:03:01.760]  但那些獎項得了是沒有什麼財富為他帶來的
[00:03:01.760 --> 00:03:03.760]  因為只有那個名譽
[00:03:03.760 --> 00:03:11.600]  在這個開場白裡讓我去想一件事情
[00:03:11.600 --> 00:03:15.280]  我在這個世界的上面
[00:03:15.280 --> 00:03:21.280]  是不是每個人在這個世界只是尋求一些
[00:03:21.280 --> 00:03:27.040]  自己在名譽上面去引人注目的時刻
[00:03:27.040 --> 00:03:35.920]  你的人生就值得不枉此生呢
[00:03:35.920 --> 00:03:38.720]  寫文章一樣
[00:03:38.720 --> 00:03:43.040]  是不是一開始第一句你就要引誘人去
[00:03:43.040 --> 00:03:46.080]  使人留意你所說的話
[00:03:46.080 --> 00:03:50.720]  觸動人的心就等於你是成功呢
