
[00:00:00.000 --> 00:00:03.600]  下星期就是我們的福音主日
[00:00:03.600 --> 00:00:06.720]  我不知道當大家拿著那張單張
[00:00:06.720 --> 00:00:09.040]  或者發WhatsApp給朋友的時候
[00:00:09.040 --> 00:00:11.560]  說邀請你回來教會
[00:00:11.560 --> 00:00:15.720]  邀請你認識上帝 認識耶穌
[00:00:15.720 --> 00:00:20.200]  我不知道你遇到的反應會是什麼
[00:00:20.200 --> 00:00:23.520]  我有一次 以前都十多年前了
[00:00:23.520 --> 00:00:26.000]  就在浸會大學讀書的時候
[00:00:26.000 --> 00:00:29.320]  我也有參加校園的基督徒的侍奉
[00:00:29.320 --> 00:00:31.320]  我是參加傳道部的
[00:00:31.320 --> 00:00:35.080]  我們學了一些三福的傳福音技巧
[00:00:35.080 --> 00:00:36.560]  就要去實習一下
[00:00:36.560 --> 00:00:40.680]  也很想在校園裡跟同學傳福音
[00:00:40.680 --> 00:00:43.320]  如果大家真的去到街道
[00:00:43.320 --> 00:00:45.280]  或者去到食堂
[00:00:45.280 --> 00:00:47.920]  如果你要找人傳福音
[00:00:47.920 --> 00:00:51.360]  你會找些什麼樣子的人呢?
[00:00:51.360 --> 00:00:53.280]  應該找些善良一點的
[00:00:53.280 --> 00:00:56.840]  你不會找些很凶神惡煞的那些
[00:00:56.840 --> 00:01:00.280]  我在學生的飯堂裡
[00:01:00.280 --> 00:01:01.840]  在那裡看著看著看著
[00:01:01.840 --> 00:01:04.160]  我看到一個同學
[00:01:04.160 --> 00:01:06.640]  跟我一樣的樣子 都是蠢蠢的
[00:01:06.640 --> 00:01:09.960]  然後他的眼鏡還比我厚
[00:01:09.960 --> 00:01:11.760]  然後吃完飯
[00:01:11.760 --> 00:01:15.800]  就坐在那裡看著一本很厚的書籍
[00:01:15.800 --> 00:01:17.000]  我看一看
[00:01:17.000 --> 00:01:20.360]  是關於科學的書
[00:01:20.360 --> 00:01:23.680]  我說 李科同學很有思考
[00:01:23.680 --> 00:01:25.480]  我就走過去
[00:01:25.480 --> 00:01:27.560]  我說 同學你好啊
[00:01:27.560 --> 00:01:30.040]  我們是基督徒團契的
[00:01:30.040 --> 00:01:31.480]  就托一托眼鏡
[00:01:31.480 --> 00:01:33.320]  然後看一看我
[00:01:33.320 --> 00:01:34.360]  然後他說
[00:01:34.360 --> 00:01:36.080]  「沒有的」
[00:01:36.080 --> 00:01:38.240]  我還記得聲音很低沉
[00:01:38.240 --> 00:01:40.280]  他說 「沒有的」
[00:01:40.280 --> 00:01:43.040]  然後我說 「沒有什麼」
[00:01:43.040 --> 00:01:46.240]  然後他說 「沒有上帝」
[00:01:46.240 --> 00:01:48.040]  然後我說 「好啊」
[00:01:48.040 --> 00:01:49.200]  我還沒說開場白
[00:01:49.200 --> 00:01:51.000]  他已經進入上帝那裡了
[00:01:51.000 --> 00:01:52.240]  我馬上就跟他說
[00:01:52.240 --> 00:01:54.600]  「如果你覺得沒有上帝」
