
[00:00:00.000 --> 00:00:08.200]  我鼓勵大家如果手上有手提電話未刪除,麻煩你們也刪除
[00:00:08.200 --> 00:00:13.200]  以致我們可以更加專心在這段時間享受神自己的說話
[00:00:13.200 --> 00:00:21.200]  苦難可以令一個人更加成熟、更加堅強、更加有能力去幫助安慰其他人
[00:00:21.200 --> 00:00:23.200]  又更加適合你去做一個領袖
[00:00:23.200 --> 00:00:28.200]  但另一方面的關鍵就是要堅忍
[00:00:28.200 --> 00:00:33.200]  有很多人有段時間未到,十幾歲遇到苦難就跳樓死
[00:00:33.200 --> 00:00:35.200]  二十幾歲遇到苦難就吊頸死
[00:00:35.200 --> 00:00:38.200]  三十幾歲遇到苦難就燒炭死
[00:00:38.200 --> 00:00:39.200]  整家人都死了
[00:00:39.200 --> 00:00:44.200]  各位親愛的弟兄姊妹,到底是甚麼令一個人更加懂得堅忍下去呢?
[00:00:44.200 --> 00:00:46.200]  我覺得有兩樣東西非常重要
[00:00:46.200 --> 00:00:52.200]  第一,信仰,如果我們明白到我們在世的日子是一個過渡的時間
[00:00:52.200 --> 00:00:56.200]  我們始終要見神,所以在這個世上我們必須要忠心做好我們的本份
[00:00:56.200 --> 00:00:59.200]  讓我們見神的時間是無愧於心
[00:00:59.200 --> 00:01:05.200]  我絕對相信當我們面對這一大堆的試煉的時候,我們就知道這些是考試
[00:01:05.200 --> 00:01:12.200]  當我們考完之後,我們將來見神,我們就不會有一種羞愧,不會有一種後悔在我們裏面
[00:01:12.200 --> 00:01:15.200]  除了信仰之外,第二樣東西很重要就是信念
[00:01:15.200 --> 00:01:18.200]  除非我們很正面的看到苦難
[00:01:18.200 --> 00:01:25.200]  苦難是要建立我們的,苦難是要幫助我們成為更有效的安慰者
[00:01:25.200 --> 00:01:30.200]  除非這樣,否則我們對苦難一定會有一種消極負面的看法
[00:01:30.200 --> 00:01:34.200]  在今天,我也很想和大家分享一個人物
[00:01:34.200 --> 00:01:39.200]  這個人物本身,如果是你,你去到哪個時候會放棄呢?
[00:01:39.200 --> 00:01:42.200]  我想你自己看一下,這個人是一個美國人
[00:01:42.200 --> 00:01:49.200]  你可以說是有史以來最受歡迎的一個總統
[00:01:49.200 --> 00:01:56.200]  這個人七歲就因為爸爸失業,經濟困難,以致無家可歸
[00:01:56.200 --> 00:02:03.200]  然後就絕學,開始由七歲的時候就出來工作幫補家計
[00:02:03.200 --> 00:02:09.200]  九歲媽媽去世,令到他自己更加自卑,更加的害羞,更加的自慚形慰
[00:02:09.200 --> 00:02:16.200]  然後自感無能,九歲到二十一歲開始出來工作
[00:02:16.200 --> 00:02:21.200]  十三次換工,每一次都做不久,最長的都不超過兩年
[00:02:21.200 --> 00:02:23.200]  就被人踢走,被人炒魷魚
[00:02:23.200 --> 00:02:29.200]  到二十二歲,他開始在士多做伙計,結果又被解僱
[00:02:29.200 --> 00:02:35.200]  他就很想讀法律,但因為成績太差,沒有一間學校肯收他
[00:02:35.200 --> 00:02:42.200]  二十三歲,他和一個朋友合夥開了一間小士多,但因為經營不善,欠債纍纍
