
[00:00:00.000 --> 00:00:02.240]  上一次記不記得說了誰?
[00:00:02.240 --> 00:00:04.160]  是啦 說了弱勢
[00:00:04.160 --> 00:00:06.160]  上一次說了一個男的
[00:00:06.160 --> 00:00:08.560]  今天這個就是女來的
[00:00:08.560 --> 00:00:11.440]  因為之前有其他弟兄姊妹的朋友說
[00:00:11.440 --> 00:00:13.680]  米利安是男還是女?
[00:00:13.680 --> 00:00:16.480]  米利安 你也說是吧
[00:00:16.480 --> 00:00:18.000]  米利安是誰來的?
[00:00:18.000 --> 00:00:19.840]  他很出名的嗎?
[00:00:19.840 --> 00:00:24.000]  原來在尼加書六章四節
[00:00:24.000 --> 00:00:25.600]  他提及過她
[00:00:25.600 --> 00:00:30.160]  他說:我曾將你從埃及地領出來
[00:00:30.160 --> 00:00:32.720]  從作奴僕之家救贖你
[00:00:32.720 --> 00:00:39.440]  我也猜見摩西、阿倫和米利安在你前面行
[00:00:39.440 --> 00:00:41.840]  很多人當然很熟悉摩西
[00:00:41.840 --> 00:00:44.000]  很多人都熟悉阿倫
[00:00:44.000 --> 00:00:46.240]  阿倫是摩西的哥哥
[00:00:46.240 --> 00:00:49.840]  但原來其中一個就是米利安
[00:00:49.840 --> 00:00:51.440]  就是他們的姐姐
[00:00:51.440 --> 00:00:54.880]  上帝就透過這位第一個的女先知
[00:00:54.880 --> 00:00:57.920]  成就了很偉大的事情
[00:00:57.920 --> 00:01:00.960]  上帝揀選了她來改變
[00:01:00.960 --> 00:01:04.640]  來拯救以色列人的歷史
[00:01:04.640 --> 00:01:06.400]  我一直預備講章的時候
[00:01:06.400 --> 00:01:08.640]  其中一樣除了找書
[00:01:08.640 --> 00:01:11.920]  我也會在網上找一些資料
[00:01:11.920 --> 00:01:13.440]  但當我打米利安
[00:01:13.440 --> 00:01:15.440]  無論中文也好 英文也好
[00:01:15.440 --> 00:01:19.040]  出得最多的不是讚她
[00:01:19.040 --> 00:01:24.560]  出得最多的就是說她曾經受上帝很大的懲罰
[00:01:24.560 --> 00:01:28.640]  原來她的成和她的敗
[00:01:28.640 --> 00:01:32.080]  都是和她一張嘴有關
[00:01:32.080 --> 00:01:34.400]  和她說的話有關
[00:01:34.400 --> 00:01:37.440]  上一次我們提到約瑟和他的兄弟
[00:01:37.440 --> 00:01:40.480]  不開心、不咬弦了很多年
[00:01:40.480 --> 00:01:41.840]  失散了很多年
[00:01:41.840 --> 00:01:43.680]  然後冰釋前言
[00:01:43.680 --> 00:01:48.080]  也接了他爸爸雅各到埃及定居
[00:01:48.080 --> 00:01:51.680]  聖經創世記47章11節說
[00:01:51.680 --> 00:01:54.480]  約瑟遵著法老的命
[00:01:54.480 --> 00:01:57.040]  將埃及國最好的地
[00:01:57.040 --> 00:02:00.320]  就是剛才你看到的地圖
[00:02:00.320 --> 00:02:02.000]  看不看到哪裡最肥沃
[00:02:02.000 --> 00:02:04.720]  就是那一截 全部綠色的
[00:02:04.720 --> 00:02:07.440]  原來就是把最肥沃的土地
[00:02:07.440 --> 00:02:11.760]  給了他爸爸和弟兄居住
[00:02:11.760 --> 00:02:14.720]  自此他的後代因著上帝的保守
[00:02:14.720 --> 00:02:16.960]  就在埃及開枝散葉
[00:02:16.960 --> 00:02:20.160]  由最初70人移民到埃及
[00:02:20.160 --> 00:02:22.080]  好像大家一樣移民到這裡
[00:02:22.080 --> 00:02:25.520]  他就成為了一個很大的民族
[00:02:25.520 --> 00:02:27.920]  所以在初埃及的一開始就這樣形容
[00:02:27.920 --> 00:02:29.360]  一章七節說
[00:02:29.360 --> 00:02:31.840]  以色列人生養眾多
[00:02:31.840 --> 00:02:34.880]  並且繁茂極其強盛
[00:02:34.880 --> 00:02:37.200]  滿了整個地方
[00:02:37.200 --> 00:02:41.280]  可惜好景原來真的經常不常
[00:02:41.280 --> 00:02:45.120]  當約瑟和他的兄弟那一代人死了
[00:02:45.120 --> 00:02:48.720]  而埃及王亦相繼死了
[00:02:48.720 --> 00:02:50.720]  又有新王繼位
[00:02:50.720 --> 00:02:52.480]  當有新王繼位的時候
[00:02:52.480 --> 00:02:54.080]  我相信大家都會想到
[00:02:54.080 --> 00:02:56.080]  未必像舊的皇帝
[00:02:56.080 --> 00:03:00.000]  那麼想約瑟 那麼欣賞他
[00:03:00.000 --> 00:03:03.600]  結果在初埃及的一章八至十節說
[00:03:03.600 --> 00:03:07.120]  他有不認識約瑟的新王起來
[00:03:07.120 --> 00:03:08.480]  治理埃及
[00:03:08.480 --> 00:03:09.840]  對他的百姓說
[00:03:09.840 --> 00:03:13.520]  你看這個以色列民比我們還多
[00:03:13.520 --> 00:03:16.080]  又比我們更加強盛
[00:03:16.080 --> 00:03:18.880]  來吧 我們不如用巧計代他們
[00:03:18.880 --> 00:03:20.400]  恐怕他們多起來
[00:03:20.400 --> 00:03:22.880]  日後如果遇到什麼爭戰的事
[00:03:22.880 --> 00:03:25.040]  就聯合我們的仇敵
[00:03:25.040 --> 00:03:28.880]  攻擊我們 離開這個地方去了
[00:03:28.880 --> 00:03:33.360]  這個被形容為不認識約瑟的新王在位
[00:03:33.360 --> 00:03:36.400]  不論他是真心不認識約瑟也好
[00:03:36.400 --> 00:03:41.680]  或者假意當約瑟以前的功勞沒有了也好
[00:03:41.680 --> 00:03:44.880]  他就是看以色列人不順眼
[00:03:44.880 --> 00:03:48.480]  他怕總有一天以色列人會起來反抗他
[00:03:48.480 --> 00:03:50.640]  結果他就開始吩咐人們
[00:03:50.640 --> 00:03:55.120]  用一系列的計謀來輔導以色列人
[00:03:55.120 --> 00:03:57.280]  計劃一
[00:03:57.280 --> 00:03:58.960]  Plan A 做什麼呢
[00:03:58.960 --> 00:04:02.960]  首先就要他們做兩座大的織火城
[00:04:02.960 --> 00:04:05.760]  一個叫比東 一個叫蘭塞
[00:04:05.760 --> 00:04:09.840]  其實一來就是相信是為了顯示他的國力
[00:04:09.840 --> 00:04:12.400]  因為新王上任當然想大興土木
[00:04:12.400 --> 00:04:14.560]  建一些東西來做一個標記
[00:04:14.560 --> 00:04:16.240]  證明他的豐功偉績
[00:04:16.240 --> 00:04:20.320]  而另一樣相信就是想虛耗以色列人的力量
[00:04:20.320 --> 00:04:23.440]  希望他們每個人都要去做苦工
[00:04:23.440 --> 00:04:25.200]  沒有力量去對抗他
[00:04:25.200 --> 00:04:29.280]  結果和他的預期剛剛相反
[00:04:29.280 --> 00:04:31.360]  這個行動失敗了
[00:04:31.360 --> 00:04:33.920]  《出埃及》的一章十二節說
[00:04:33.920 --> 00:04:36.080]  只是越發苦害他們
[00:04:36.080 --> 00:04:38.240]  他們就越發多起來
[00:04:38.240 --> 00:04:39.760]  越發蔓延
[00:04:39.760 --> 00:04:43.120]  埃及人就因以色列人受煩
[00:04:43.120 --> 00:04:45.920]  即是法老和那些人覺得他很煩
