
[00:00:00.000 --> 00:00:05.000]  前晚我有機會去到元朗
[00:00:05.000 --> 00:00:10.000]  那裡有三地
[00:00:10.000 --> 00:00:15.000]  三四十間教會一起主辦了一個聚會
[00:00:15.000 --> 00:00:18.000]  就是兒端變化的聚會
[00:00:18.000 --> 00:00:23.000]  這次我會講的特別是針對東方閃電和魔門教
[00:00:23.000 --> 00:00:28.000]  那為什麼這三地在兩個多月前
[00:00:28.000 --> 00:00:32.000]  邀請我去在他們當中講這個聚會
[00:00:32.000 --> 00:00:39.000]  主要是因為當時天水圍元朗屯門區的弟兄姊妹
[00:00:39.000 --> 00:00:42.000]  已經是受到很大的困擾
[00:00:42.000 --> 00:00:47.000]  因為東方閃電派的人就是一個全能神教會
[00:00:47.000 --> 00:00:50.000]  是逐家逐戶去洗樓
[00:00:50.000 --> 00:00:55.000]  原來很多弟兄姊妹的屋邨已經是一家一戶被人探過
[00:00:55.000 --> 00:01:00.000]  第二,有很多丈夫去到教會裡向木者求助
[00:01:00.000 --> 00:01:02.000]  他們的太太離家出走
[00:01:02.000 --> 00:01:06.000]  勸完之後後來知道他們去了全能神教會
[00:01:06.000 --> 00:01:13.000]  但去到的時候才發覺太太過去半年前已經參加了聚會
[00:01:13.000 --> 00:01:18.000]  然後半年內滿口謊言,全部是謊言
[00:01:18.000 --> 00:01:21.000]  當丈夫求他回家的時候
[00:01:21.000 --> 00:01:24.000]  他竟然在罵他
[00:01:24.000 --> 00:01:29.000]  我們深深感覺到非常可惜
[00:01:29.000 --> 00:01:34.000]  東方閃電不單止拆散了很多家庭
[00:01:34.000 --> 00:01:40.000]  它也進入到教會裡來做很多破壞的工作
[00:01:40.000 --> 00:01:43.000]  用謊言來騙一些人
[00:01:43.000 --> 00:01:45.000]  而當揭穿了時間
[00:01:45.000 --> 00:01:48.000]  他就去別的地方來騙另外的人
[00:01:48.000 --> 00:01:51.000]  這件事令到教會非常困擾
[00:01:51.000 --> 00:01:55.000]  特別是木者,當我們去說這些信息的時候
[00:01:55.000 --> 00:01:59.000]  久不久就會收到很多不同的恐嚇、威嚇的話
[00:01:59.000 --> 00:02:03.000]  這次我去到的時間,我很感恩
[00:02:03.000 --> 00:02:05.000]  因為報紙已經賣出來了
[00:02:05.000 --> 00:02:08.000]  他們的語言完全是謊話
[00:02:08.000 --> 00:02:12.000]  他們說2012年12月21日
[00:02:12.000 --> 00:02:16.000]  全能神會降臨
[00:02:16.000 --> 00:02:18.000]  這就是世界末日
[00:02:18.000 --> 00:02:22.000]  但是那一天,當很多人看到
[00:02:22.000 --> 00:02:26.000]  完全無動於衷,沒有什麼叫做世界末日
[00:02:26.000 --> 00:02:28.000]  很多人就回到家裡
[00:02:28.000 --> 00:02:30.000]  然後在說現證
[00:02:30.000 --> 00:02:32.000]  我感恩,前晚去到的時間
[00:02:32.000 --> 00:02:35.000]  我們看到三個地方的傳道人
[00:02:35.000 --> 00:02:39.000]  從來沒試過這麼同心來打這個場合仗
[00:02:39.000 --> 00:02:41.000]  但這次是他們非常同心的
[00:02:41.000 --> 00:02:43.000]  來去面對這些事情
[00:02:43.000 --> 00:02:46.000]  我們看到末世的時代
[00:02:46.000 --> 00:02:51.000]  是二端、邪教、無孔不入
[00:02:51.000 --> 00:02:55.000]  當我們留意去看一看這些二端的時間
[00:02:55.000 --> 00:02:59.000]  我們會發現到所有的二端
[00:02:59.000 --> 00:03:01.000]  它們有一個特色
[00:03:01.000 --> 00:03:03.000]  就是除了聖經以外
[00:03:03.000 --> 00:03:06.000]  它們另外還有一些經典
[00:03:06.000 --> 00:03:08.000]  這些經典是怎麼來的呢?
[00:03:08.000 --> 00:03:10.000]  就是它們的教主
[00:03:10.000 --> 00:03:14.000]  他們說我天天都和神聊天
[00:03:14.000 --> 00:03:17.000]  聖靈對我說這件事
[00:03:17.000 --> 00:03:21.000]  然後天天就說聖靈對他說的那些東西
[00:03:21.000 --> 00:03:23.000]  可能是他幻覺
[00:03:23.000 --> 00:03:24.000]  也有可能是他作出來的
[00:03:24.000 --> 00:03:26.000]  就寫下來
[00:03:26.000 --> 00:03:29.000]  回看東方閃電
[00:03:29.000 --> 00:03:32.000]  它們寫的書,東方發出的閃電
[00:03:32.000 --> 00:03:34.000]  七號已經吹響
[00:03:34.000 --> 00:03:38.000]  新時代神工作的動向
[00:03:38.000 --> 00:03:42.000]  另外,話語在肉身顯現
[00:03:42.000 --> 00:03:46.000]  神隱蔽降臨作弓
[00:03:46.000 --> 00:03:50.000]  所有這些書都是他自己在幻想
[00:03:50.000 --> 00:03:52.000]  幻想的時候,然後就說
[00:03:52.000 --> 00:03:53.000]  聖靈對我說
[00:03:53.000 --> 00:03:57.000]  然後就用這些說話叫每一個人去聽
[00:03:57.000 --> 00:04:02.000]  摩門教同樣有聖經以外
[00:04:02.000 --> 00:04:03.000]  它們的經典
[00:04:03.000 --> 00:04:06.000]  好像摩門經、無駕珍珠
[00:04:06.000 --> 00:04:09.000]  聖曰與教義等等這些地方
[00:04:09.000 --> 00:04:13.000]  同一教,教主文昇明已經死了
[00:04:13.000 --> 00:04:15.000]  而它也有它們自己的經典
[00:04:15.000 --> 00:04:17.000]  經典叫做神聖原理
[00:04:17.000 --> 00:04:19.000]  The Divine Principle
[00:04:19.000 --> 00:04:21.000]  耶正表面看來
[00:04:21.000 --> 00:04:23.000]  他只是用聖經
[00:04:23.000 --> 00:04:26.000]  但原來他的聖經和我們的聖經是不同的
[00:04:26.000 --> 00:04:28.000]  它有一本叫做新世易本
[00:04:28.000 --> 00:04:30.000]  The New World Translation
[00:04:30.000 --> 00:04:32.000]  是完全不同的翻譯
[00:04:32.000 --> 00:04:34.000]  另一方面,它們的權威
[00:04:34.000 --> 00:04:37.000]  是建立在它們所寫的書
[00:04:37.000 --> 00:04:40.000]  這些書包括到道志永生的真理
[00:04:40.000 --> 00:04:43.000]  上帝是那不能、不可能說謊的
[00:04:43.000 --> 00:04:46.000]  另外還有它們的守望台等等
[00:04:46.000 --> 00:04:48.000]  這些都是它們的經典
[00:04:48.000 --> 00:04:50.000]  各位親愛的頂姐妹
[00:04:50.000 --> 00:04:53.000]  我們留意看到這些異端的時候
