
[00:00:00.000 --> 00:00:06.000]  我們繼續這個系列
[00:00:06.000 --> 00:00:08.000]  就是用聖經的角度
[00:00:08.000 --> 00:00:10.000]  用聖經的教導
[00:00:10.000 --> 00:00:14.000]  來看究竟天堂和地獄是怎樣
[00:00:14.000 --> 00:00:17.000]  上次跟大家說了
[00:00:17.000 --> 00:00:20.000]  天堂人際的關係是怎樣
[00:00:20.000 --> 00:00:23.000]  我們和天使的關係會是怎樣
[00:00:23.000 --> 00:00:26.000]  和家人的關係又是怎樣
[00:00:26.000 --> 00:00:31.000]  另外和眾弟兄姊妹的關係又會是如何
[00:00:31.000 --> 00:00:35.000]  今天會跟大家說一個很重要的訊息
[00:00:35.000 --> 00:00:37.000]  就是我們和神的關係
[00:00:37.000 --> 00:00:40.000]  在天堂會是怎樣
[00:00:40.000 --> 00:00:43.000]  剛才我們讀了今天的經文
[00:00:43.000 --> 00:00:47.000]  在約翰一書第一章三節
[00:00:47.000 --> 00:00:48.000]  經文說
[00:00:48.000 --> 00:00:53.000]  我們將所看見所聽見的傳給你們
[00:00:53.000 --> 00:00:55.000]  使你們與我們相交
[00:00:55.000 --> 00:00:58.000]  我們乃是與父並他
[00:00:58.000 --> 00:01:01.000]  而指耶穌基督相交的
[00:01:01.000 --> 00:01:03.000]  約翰說
[00:01:03.000 --> 00:01:08.000]  我們將所看見所聽見的傳給你們
[00:01:08.000 --> 00:01:09.000]  是甚麼?
[00:01:09.000 --> 00:01:10.000]  是福音
[00:01:10.000 --> 00:01:14.000]  原來傳福音是要與我們相交
[00:01:14.000 --> 00:01:16.000]  但最終的目的
[00:01:16.000 --> 00:01:20.000]  就是與父和耶穌基督相交
[00:01:20.000 --> 00:01:24.000]  原來傳福音的目的
[00:01:24.000 --> 00:01:27.000]  不單要有人與人相交
[00:01:27.000 --> 00:01:31.000]  也是神要與我們相交
[00:01:31.000 --> 00:01:35.000]  我們見到以前跟大家說過
[00:01:35.000 --> 00:01:38.000]  傳道書的三章十一節
[00:01:38.000 --> 00:01:41.000]  神創造萬物
[00:01:41.000 --> 00:01:44.000]  國安其時成為美好
[00:01:44.000 --> 00:01:47.000]  又將永生安置在世人的心裡
[00:01:47.000 --> 00:01:50.000]  神將永生的盼望
[00:01:50.000 --> 00:01:53.000]  安置在我們每個人的心裡
[00:01:53.000 --> 00:01:57.000]  所以詩人在詩篇的六十三篇第一節
[00:01:57.000 --> 00:02:00.000]  他說:神啊!你是我的神
[00:02:00.000 --> 00:02:02.000]  我要切切地尋求祢
[00:02:02.000 --> 00:02:05.000]  在乾旱疲乏無水之地
[00:02:05.000 --> 00:02:07.000]  我渴想祢
[00:02:07.000 --> 00:02:09.000]  我的心切無離
[00:02:09.000 --> 00:02:14.000]  原來神將永生放在我們的心裡
[00:02:14.000 --> 00:02:18.000]  以致我們每個人都會渴慕神
[00:02:18.000 --> 00:02:19.000]  切上神
[00:02:19.000 --> 00:02:21.000]  當我們離開神的時候
[00:02:21.000 --> 00:02:25.000]  就好像乾旱疲乏無水之地
[00:02:25.000 --> 00:02:28.000]  難怪世上有這麼多人
[00:02:28.000 --> 00:02:31.000]  去尋求其他宗教
[00:02:31.000 --> 00:02:32.000]  異端邪教
[00:02:32.000 --> 00:02:35.000]  他們去拜偶像
[00:02:35.000 --> 00:02:37.000]  原來每個人的心裡
[00:02:37.000 --> 00:02:39.000]  都有一個渴慕神的心
[00:02:39.000 --> 00:02:41.000]  但當我們不去尋求
