
[00:00:00.000 --> 00:00:08.000]  因為最近身體不舒服,我想很多人感染了
[00:00:08.000 --> 00:00:14.000]  我感染咳嗽差不多一個月了
[00:00:14.000 --> 00:00:18.000]  現在還是咳嗽咳嗽咳嗽
[00:00:18.000 --> 00:00:24.000]  今天選到這一段的經文
[00:00:24.000 --> 00:00:30.000]  字眼可能會很生疏
[00:00:30.000 --> 00:00:34.000]  或者好像很深
[00:00:34.000 --> 00:00:38.000]  好像很神秘
[00:00:38.000 --> 00:00:43.000]  實際上它是將我們今天一個信主的人
[00:00:43.000 --> 00:00:48.000]  在生活裏的內心的掙扎
[00:00:48.000 --> 00:00:50.000]  內心的經歷
[00:00:50.000 --> 00:00:56.000]  用一些神學的語句將它表達出來
[00:00:56.000 --> 00:00:59.000]  如果我解釋過程中間的時候
[00:00:59.000 --> 00:01:01.000]  你慢慢就會明白
[00:01:01.000 --> 00:01:05.000]  原來它所說的東西是我們每一個信主的人
[00:01:05.000 --> 00:01:12.000]  好像剛才兩位姐妹所說的生命裏的掙扎
[00:01:12.000 --> 00:01:16.000]  我們未必能夠用普羅所說的
[00:01:16.000 --> 00:01:20.000]  所謂的theological language來表達它
[00:01:20.000 --> 00:01:23.000]  但是我們每一個人在生命之中
[00:01:23.000 --> 00:01:27.000]  在這條道路上奔跑的過程之中
[00:01:27.000 --> 00:01:30.000]  都是我們的經歷
[00:01:30.000 --> 00:01:38.000]  在羅馬書這本書怎樣說呢
[00:01:38.000 --> 00:01:46.000]  怎樣為之隨從肉體
[00:01:46.000 --> 00:01:50.000]  又跟隨肉體的事
[00:01:50.000 --> 00:01:53.000]  隨從聖靈的人
[00:01:53.000 --> 00:01:59.000]  體貼聖靈的事呢
[00:01:59.000 --> 00:02:01.000]  任何的罪惡
[00:02:01.000 --> 00:02:11.000]  或者說任何我們所做的犯罪的事呢
[00:02:11.000 --> 00:02:14.000]  都是一個很理性的決定
[00:02:14.000 --> 00:02:16.000]  你聽清楚這句話
[00:02:16.000 --> 00:02:20.000]  不要經常說我又衰了 賴魔鬼
[00:02:20.000 --> 00:02:22.000]  我們很多時候都是賴魔鬼的
[00:02:22.000 --> 00:02:24.000]  以前認識一個傳道人
[00:02:24.000 --> 00:02:26.000]  他一犯了錯誤之後
[00:02:26.000 --> 00:02:28.000]  又說我又衰了 最衰的都是他
[00:02:28.000 --> 00:02:29.000]  他又是誰呢
[00:02:29.000 --> 00:02:31.000]  不是他自己 是那個魔鬼
[00:02:31.000 --> 00:02:33.000]  他經常說魔鬼引誘他
[00:02:33.000 --> 00:02:35.000]  所以他就衰了
[00:02:35.000 --> 00:02:37.000]  我們很多經歷說
[00:02:37.000 --> 00:02:39.000]  這個不是我的錯
[00:02:39.000 --> 00:02:41.000]  這個是社會的錯
[00:02:41.000 --> 00:02:43.000]  都是賴人來的
[00:02:43.000 --> 00:02:45.000]  我讀書不好
[00:02:45.000 --> 00:02:47.000]  爸爸的錯 為什麼是爸爸的錯呢
[00:02:47.000 --> 00:02:49.000]  因為我住在屋邨裏面
[00:02:49.000 --> 00:02:51.000]  屋邨哪有好環境讀書的
[00:02:51.000 --> 00:02:53.000]  在屋邨我們個個都讀不到書的
[00:02:53.000 --> 00:02:55.000]  所以我讀不到書應該我住屋邨
[00:02:55.000 --> 00:02:57.000]  因為爸爸不行
[00:02:57.000 --> 00:03:01.000]  用神學的語句來說
[00:03:01.000 --> 00:03:03.000]  在我們的生命裏面
[00:03:03.000 --> 00:03:05.000]  有一個部份叫屬肉體
[00:03:05.000 --> 00:03:07.000]  有一個部份叫屬靈
[00:03:07.000 --> 00:03:09.000]  在這個過程中間
[00:03:09.000 --> 00:03:11.000]  這個屬肉體
[00:03:11.000 --> 00:03:13.000]  這個身體
[00:03:13.000 --> 00:03:15.000]  在theological language裏面
[00:03:15.000 --> 00:03:17.000]  我們說叫flesh
[00:03:17.000 --> 00:03:19.000]  肉啊肉啊 F L E S H
[00:03:19.000 --> 00:03:21.000]  這個flesh和body
[00:03:21.000 --> 00:03:23.000]  是很有關係
[00:03:23.000 --> 00:03:27.000]  body裏面有一個東西叫flesh
[00:03:27.000 --> 00:03:31.000]  這個flesh是什麼東西呢
[00:03:31.000 --> 00:03:33.000]  實際上是一個神學的語言
[00:03:33.000 --> 00:03:35.000]  那個神學的語言是說
[00:03:35.000 --> 00:03:37.000]  原來在這個身體裏面
[00:03:37.000 --> 00:03:39.000]  有一種東西
[00:03:39.000 --> 00:03:41.000]  叫做flesh
[00:03:41.000 --> 00:03:43.000]  叫做屬肉體
[00:03:43.000 --> 00:03:45.000]  那個肉體
[00:03:45.000 --> 00:03:47.000]  就會勾引我們
[00:03:47.000 --> 00:03:49.000]  去做不妥當的事
[00:03:49.000 --> 00:03:51.000]  在勾引我們的過程中間
[00:03:51.000 --> 00:03:53.000]  經常是通過我們的理性滋擾
[00:03:53.000 --> 00:03:57.000]  我們舉一個例子
[00:03:57.000 --> 00:03:59.000]  很多很多年前
[00:03:59.000 --> 00:04:01.000]  我在外國讀書的時候
[00:04:01.000 --> 00:04:07.000]  突然有一天收到美國摩根大通銀行的一張申請表
[00:04:07.000 --> 00:04:09.000]  上面給我5000美元的credit
[00:04:09.000 --> 00:04:11.000]  當時做學生
[00:04:11.000 --> 00:04:13.000]  graduate student
[00:04:13.000 --> 00:04:15.000]  那時是在說70年代
[00:04:15.000 --> 00:04:17.000]  40多年前
[00:04:17.000 --> 00:04:19.000]  給5000元
[00:04:19.000 --> 00:04:21.000]  嘩!多興奮
