
[00:00:00.000 --> 00:00:05.000]  我們一定要討論病人和上帝的關係
[00:00:05.000 --> 00:00:08.000]  他一點都不抽象
[00:00:08.000 --> 00:00:12.000]  事實上人從來都不會像舊病復發的時候
[00:00:12.000 --> 00:00:15.000]  和上帝那麼接近
[00:00:15.000 --> 00:00:18.000]  不單止是人和上帝接近
[00:00:18.000 --> 00:00:22.000]  也是上帝和人最親近的時候
[00:00:22.000 --> 00:00:25.000]  所有患病又復發的人
[00:00:25.000 --> 00:00:29.000]  他都會經歷到那種無奈又無奈的情況
[00:00:29.000 --> 00:00:32.000]  無奈又無助的折磨
[00:00:32.000 --> 00:00:36.000]  不管你有沒有什麼仙丹妙藥
[00:00:36.000 --> 00:00:39.000]  或者最有權威的醫生
[00:00:39.000 --> 00:00:41.000]  給你診治
[00:00:41.000 --> 00:00:45.000]  你的病照樣惡化
[00:00:45.000 --> 00:00:47.000]  你有時就會問
[00:00:47.000 --> 00:00:53.000]  到底癌腫瘤是不是無所不在無所不能呢
[00:00:53.000 --> 00:00:59.000]  相信上帝就等於相信癌細胞不是終極的
[00:00:59.000 --> 00:01:03.000]  有一圍是比他更加有力量
[00:01:03.000 --> 00:01:07.000]  所有病人都需要有這一份信心
[00:01:07.000 --> 00:01:11.000]  否則就真的寸步難行
[00:01:11.000 --> 00:01:13.000]  我要在這裡和你分享
[00:01:13.000 --> 00:01:17.000]  就是怎樣不會怨天尤人
[00:01:17.000 --> 00:01:20.000]  怎樣和上帝和好
[00:01:20.000 --> 00:01:24.000]  好叫你有一個更大的信心和力量
[00:01:24.000 --> 00:01:27.000]  來應付前面的日子
[00:01:27.000 --> 00:01:39.000]  約翰福音第六章35至40節
[00:01:40.000 --> 00:01:45.000]  耶穌說:我就是生命的糧
[00:01:45.000 --> 00:01:49.000]  到我這裡來的必定不餓
[00:01:49.000 --> 00:01:52.000]  信我的永遠不寒
[00:01:52.000 --> 00:01:55.000]  只是我對你們說過
[00:01:55.000 --> 00:01:59.000]  你們已經看見我還是不信
[00:01:59.000 --> 00:02:04.000]  凡負所賜給我的人必到我這裡來
[00:02:04.000 --> 00:02:09.000]  到我這裡來的我總不掉氣他
[00:02:09.000 --> 00:02:12.000]  因為我從天上降下來
[00:02:12.000 --> 00:02:15.000]  不是要按自己的意思行
[00:02:15.000 --> 00:02:20.000]  乃是要按那差我來者的意思行
[00:02:20.000 --> 00:02:22.000]  差我來者的意思
