
[00:00:00.000 --> 00:00:05.000]  各位大型節目的各位朋友你們好
[00:00:05.000 --> 00:00:10.000]  大家參加我們三藩市報道會網上的面課崇拜
[00:00:10.000 --> 00:00:14.000]  今天我們繼續思想約翰福音的信息
[00:00:14.000 --> 00:00:18.000]  我們來到約翰福音第六章22至29節
[00:00:18.000 --> 00:00:22.000]  題目叫做找錯了
[00:00:22.000 --> 00:00:26.000]  開始思想這段聖經之前請同心低頭
[00:00:26.000 --> 00:00:32.000]  請我們感謝你給你的話語作為生命的指引
[00:00:32.000 --> 00:00:39.000]  在這個世界裡面很多人都企圖尋求生命的意義
[00:00:39.000 --> 00:00:46.000]  但我們知道唯有在主裡面我們才能找到真正的生命意義
[00:00:46.000 --> 00:00:50.000]  真正的盼望真正的飽足
[00:00:50.000 --> 00:00:56.000]  後來就叫你的話語提醒預免教導安慰獨佔我們
[00:00:56.000 --> 00:01:00.000]  我們這樣草稿拉奉耶穌基督命教
[00:01:00.000 --> 00:01:06.000]  回首過去幾十年我曾經掃渡舉家環渡太平洋
[00:01:06.000 --> 00:01:09.000]  比較深刻有幾次
[00:01:09.000 --> 00:01:15.000]  是1972年我和我太太20多歲的小伙子黎然離鄉別井
[00:01:15.000 --> 00:01:18.000]  來到這個陌生的美國攻讀神學
[00:01:18.000 --> 00:01:22.000]  當時的心情又興奮又有點害怕
[00:01:22.000 --> 00:01:28.000]  兩個人拿著的金錢大概只夠一年的費用
[00:01:28.000 --> 00:01:32.000]  但是當時真是沙膽拍拍胸膛
[00:01:32.000 --> 00:01:38.000]  懷著夢想和熱誠來到美國東岸的輝盛讀神學
[00:01:38.000 --> 00:01:43.000]  現在回想起來好像是昨天發生的那樣
[00:01:43.000 --> 00:01:47.000]  時間15年我們已經是30多歲的中年人
[00:01:47.000 --> 00:01:50.000]  事業上都可以說是有少少的果子
[00:01:50.000 --> 00:01:54.000]  但我們決定離開香港和家人離開教會
[00:01:54.000 --> 00:02:00.000]  離開在香港建立的事業舉家移民來到三藩市
[00:02:00.000 --> 00:02:05.000]  當時大兒子只是9歲女兒只是7歲
[00:02:05.000 --> 00:02:09.000]  拖男帶女心情依然和15年前很不同
[00:02:09.000 --> 00:02:14.000]  一方面仍是興奮的能夠有機會在新崗位裡面侍奉
[00:02:14.000 --> 00:02:17.000]  另一方面也有點惆悵
[00:02:17.000 --> 00:02:20.000]  小孩還小責任又大
[00:02:20.000 --> 00:02:24.000]  心中又說不出一些擔心和滋味
[00:02:24.000 --> 00:02:29.000]  沒有了以前那種死就死的平靜和熟悉
[00:02:29.000 --> 00:02:33.000]  到1995年又過了10年的時間
[00:02:33.000 --> 00:02:37.000]  我們又再舉家再次環渡太平洋
[00:02:37.000 --> 00:02:41.000]  我已經是50歲的中年人小孩長大了
[00:02:41.000 --> 00:02:49.000]  我們兩個年紀大的父母開始初嘗蜂巢的滋味
[00:02:49.000 --> 00:02:52.000]  心情顯然又有點不同
[00:02:52.000 --> 00:02:58.000]  尤其是這一次我們兄弟四人拖男帶女一共16人
[00:02:58.000 --> 00:03:03.000]  第一次去到中國廣州和我們失散了30多年的妹妹
[00:03:03.000 --> 00:03:10.000]  和我弟弟和我姐姐大家四家人首次聚合
[00:03:10.000 --> 00:03:15.000]  悲歡離合 恍如隔世
[00:03:15.000 --> 00:03:19.000]  我們兄弟姐妹總共四個人
[00:03:19.000 --> 00:03:22.000]  每家也有四個人
[00:03:22.000 --> 00:03:24.000]  小孩子比較天真
[00:03:24.000 --> 00:03:29.000]  沒有體會到我們這一輩分散聚合的滋味
