
[00:00:00.000 --> 00:00:06.000]  父親節好像沒有什麼氣氛
[00:00:06.000 --> 00:00:12.000]  上個月母親節大家很熱烈的慶祝
[00:00:12.000 --> 00:00:17.000]  聚員會去飲茶都很難找位置
[00:00:17.000 --> 00:00:21.000]  在幾年前香港做了一個調查
[00:00:21.000 --> 00:00:23.000]  在父親節的時候
[00:00:23.000 --> 00:00:31.000]  做了一個調查來調查到底父親在子女的心目當中
[00:00:31.000 --> 00:00:34.000]  有什麼地位呢?
[00:00:34.000 --> 00:00:39.000]  在一個家庭裏面作父親的排名是第幾呢?
[00:00:39.000 --> 00:00:43.000]  我們做父親的都不奢望排第一
[00:00:43.000 --> 00:00:45.000]  一定不會排第一
[00:00:45.000 --> 00:00:48.000]  第一當然是媽媽
[00:00:48.000 --> 00:00:50.000]  我們應該排第二
[00:00:50.000 --> 00:00:54.000]  不是的,這個調查出來我們排第三
[00:00:54.000 --> 00:00:55.000]  第二是誰呢?
[00:00:55.000 --> 00:00:57.000]  在香港有一個很重要的人物
[00:00:57.000 --> 00:00:59.000]  每一個家庭都有的
[00:00:59.000 --> 00:01:01.000]  就是菲傭
[00:01:01.000 --> 00:01:04.000]  沒有菲傭他們生活不了
[00:01:04.000 --> 00:01:08.000]  菲傭和子女接觸的時間比較多
[00:01:08.000 --> 00:01:15.000]  所以菲傭在子女的心目當中僅次於媽媽
[00:01:15.000 --> 00:01:17.000]  我們做父親的排第三
[00:01:17.000 --> 00:01:20.000]  但是有些家庭可能我們排到第四
[00:01:20.000 --> 00:01:21.000]  為什麼呢?
[00:01:21.000 --> 00:01:24.000]  如果那個家庭有養隻狗的話
[00:01:24.000 --> 00:01:26.000]  可能狗排第三
[00:01:26.000 --> 00:01:28.000]  我們就排第四
[00:01:28.000 --> 00:01:30.000]  沒有辦法了
[00:01:30.000 --> 00:01:37.000]  另外一個調查就是問那些十五歲以下的小朋友
[00:01:37.000 --> 00:01:43.000]  問他們如果要用一隻動物來形容父親的話
[00:01:43.000 --> 00:01:45.000]  他們會用什麼動物呢?
[00:01:45.000 --> 00:01:47.000]  我把結果給大家看一下
[00:01:47.000 --> 00:01:52.000]  首先有35%的十五歲以下的子女
[00:01:52.000 --> 00:01:54.000]  用一隻牛來形容父親
[00:01:54.000 --> 00:01:56.000]  即是父親辛苦做工
[00:01:56.000 --> 00:01:59.000]  一輩子都像一隻牛
[00:01:59.000 --> 00:02:05.000]  這個反映了香港是很辛苦的
[00:02:05.000 --> 00:02:07.000]  比這邊更加辛苦
[00:02:07.000 --> 00:02:11.000]  35%的小朋友說爸爸像一隻牛
[00:02:11.000 --> 00:02:15.000]  26%用一隻老虎來形容爸爸
[00:02:15.000 --> 00:02:17.000]  即是爸爸兇
[00:02:17.000 --> 00:02:22.000]  很可能那個爸爸在外出工作時被人欺負
[00:02:22.000 --> 00:02:26.000]  回到家就大聲大氣很兇
[00:02:26.000 --> 00:02:31.000]  有11%的小朋友用一隻豬來形容爸爸
[00:02:31.000 --> 00:02:33.000]  豬是什麼意思呢?
[00:02:33.000 --> 00:02:35.000]  可能說爸爸很懶
[00:02:35.000 --> 00:02:37.000]  在家裡什麼都不做
[00:02:37.000 --> 00:02:39.000]  可能說爸爸很蠢
[00:02:39.000 --> 00:02:41.000]  跟媽媽比較
[00:02:41.000 --> 00:02:43.000]  好像媽媽什麼都懂
[00:02:43.000 --> 00:02:45.000]  爸爸什麼都不懂
[00:02:45.000 --> 00:02:47.000]  回到家裡又不做
[00:02:47.000 --> 00:02:49.000]  像一隻豬一樣
[00:02:49.000 --> 00:02:56.000]  另外有10%的小朋友用一隻羊來形容爸爸
[00:02:56.000 --> 00:03:01.000]  即是說可能那個爸爸回到家裡很柔順
[00:03:01.000 --> 00:03:03.000]  媽媽都長大了
[00:03:03.000 --> 00:03:05.000]  媽媽可能比較兇
[00:03:05.000 --> 00:03:08.000]  很聽老婆的話
[00:03:08.000 --> 00:03:10.000]  很蝴蝶蝶
[00:03:10.000 --> 00:03:12.000]  像一隻羊一樣順
[00:03:12.000 --> 00:03:14.000]  我問問我們當中的父親
[00:03:14.000 --> 00:03:15.000]  包括我在內
[00:03:15.000 --> 00:03:17.000]  我們是哪一種動物呢?
[00:03:17.000 --> 00:03:24.000]  另外還有一個民意調查
[00:03:24.000 --> 00:03:29.000]  叫子女給一些評語爸爸
[00:03:29.000 --> 00:03:32.000]  這個叫成功的父親
[00:03:32.000 --> 00:03:34.000]  問那些子女
[00:03:34.000 --> 00:03:38.000]  你爸爸有什麼地方可以改進呢?
[00:03:38.000 --> 00:03:40.000]  你可以提出一些意見
[00:03:40.000 --> 00:03:42.000]  讓你爸爸可以考慮一下
[00:03:42.000 --> 00:03:48.000]  有些子女說希望爸爸多些時間陪子女
[00:03:48.000 --> 00:03:53.000]  多數子女都覺得爸爸在家裡的時間不夠多
[00:03:53.000 --> 00:04:00.000]  希望爸爸多些心機在家陪家人
[00:04:00.000 --> 00:04:03.000]  有些小朋友說爸爸脾氣不好
[00:04:03.000 --> 00:04:05.000]  希望爸爸的脾氣好一點
[00:04:05.000 --> 00:04:07.000]  不要這麼兇在家裡
[00:04:07.000 --> 00:04:11.000]  有些小朋友的評語是
[00:04:11.000 --> 00:04:13.000]  希望爸爸不要這麼古板
[00:04:13.000 --> 00:04:15.000]  不要這麼嚴肅
[00:04:15.000 --> 00:04:18.000]  多些幽默感
[00:04:18.000 --> 00:04:24.000]  這些是一般小朋友對爸爸的評語
