
[00:00:00.000 --> 00:00:06.780]  好 多謝大家 如果可以打開鏡頭的話
[00:00:06.780 --> 00:00:12.500]  就可以讓我講得投入一點
[00:00:12.500 --> 00:00:18.080]  我很怕看到一些名字 這個都是我少許的要求
[00:00:18.080 --> 00:00:20.720]  其實這一兩個星期
[00:00:20.720 --> 00:00:26.180]  我相信對大家在新聞上的報告都會有很多的衝擊
[00:00:26.180 --> 00:00:29.500]  所以當我在這裡思考今天要講的內容
[00:00:29.500 --> 00:00:32.520]  將來美時的大祭司
[00:00:32.520 --> 00:00:37.620]  其實我覺得是我今天自己很需要聽的一篇講道
[00:00:37.620 --> 00:00:41.220]  我發現近期所發生的事情好像來得很快
[00:00:41.220 --> 00:00:42.980]  我們有一些措手不及
[00:00:42.980 --> 00:00:47.640]  很多改變是我們不想有 也都是沒有想到
[00:00:47.640 --> 00:00:50.220]  我盼望大家能夠從希伯來書
[00:00:50.220 --> 00:00:55.540]  我們從神我們有盼望 從神我們有指望
[00:00:55.540 --> 00:00:57.680]  從神我們有希望
[00:00:57.680 --> 00:01:00.360]  我發現今天很多人有少許無奈
[00:01:00.360 --> 00:01:05.280]  有少許未至於絕望 但是都相當的失望
[00:01:05.280 --> 00:01:08.400]  但是我盼望今年我們選了希伯來書
[00:01:08.400 --> 00:01:12.360]  我覺得都很特別 也是我們很需要聽的一本書
[00:01:12.360 --> 00:01:16.440]  我們先有個祈禱 預備我們的心來聽神的話語
[00:01:16.440 --> 00:01:18.740]  天父你知道我們的需要
[00:01:18.740 --> 00:01:21.120]  今天很多人對前面的路
[00:01:21.120 --> 00:01:23.000]  我們有時候真的沒有把握
[00:01:23.000 --> 00:01:25.680]  我們以前可以計劃很多的事情
[00:01:25.680 --> 00:01:28.360]  我們可以預先準備很多的事情
[00:01:28.360 --> 00:01:31.560]  但是現在發現很多事情都不在我們掌握的裡面
[00:01:31.560 --> 00:01:34.780]  很多事情好像都不是我們意料之中
[00:01:34.780 --> 00:01:38.660]  甚至我們想要的情況下
[00:01:38.660 --> 00:01:40.500]  我們求主耶穌幫助我們
[00:01:40.500 --> 00:01:43.020]  讓我們能夠從我們的生活
[00:01:43.020 --> 00:01:46.020]  從我們的現今能夠看出去
[00:01:46.020 --> 00:01:48.940]  能夠看過去 能夠看上去
[00:01:48.940 --> 00:01:51.200]  能夠看到我們的將來
[00:01:51.200 --> 00:01:53.400]  能夠看到我們的現今
[00:01:53.400 --> 00:01:56.280]  讓我們知道今天我們應該怎樣來回應
[00:01:56.280 --> 00:01:58.280]  和準備我們的將來
[00:01:58.280 --> 00:02:01.520]  求主你幫助我們 不是在困境的裡面
[00:02:01.520 --> 00:02:03.640]  而是在困境的上面
[00:02:03.640 --> 00:02:06.600]  幫助我們從主耶穌所成就的
[00:02:06.600 --> 00:02:09.640]  能夠給我們有盼望 給我們有希望
[00:02:09.640 --> 00:02:11.120]  給我們有指望
[00:02:11.120 --> 00:02:14.520]  帶領今天這一段的經文給我們有好的提醒
[00:02:14.520 --> 00:02:16.680]  多謝我們的主 聽我們的祈禱
[00:02:16.680 --> 00:02:19.800]  奉耶穌的名祈禱 阿們
[00:02:19.800 --> 00:02:23.700]  這次已經講到第七行 講希伯來書
[00:02:23.700 --> 00:02:26.840]  我不知道大家對希伯來書有多認識
[00:02:26.840 --> 00:02:30.240]  我最初信主的時候就很怕看希伯來書
[00:02:30.240 --> 00:02:32.240]  因為真的不是好像他講什麼
[00:02:32.240 --> 00:02:35.060]  直到讀完舊約之後 特別是摩西五經
[00:02:35.060 --> 00:02:38.720]  才慢慢明白更多希伯來書裡面的信息
[00:02:38.720 --> 00:02:41.560]  我現在給大家的大綱裡面有三張紙
[00:02:41.560 --> 00:02:44.880]  但其實裡面很多都是一些總結
[00:02:44.880 --> 00:02:47.320]  我總結了六堂裡面主要的信息
[00:02:47.320 --> 00:02:52.800]  甚至將六堂的信息的總結成一段話
[00:02:52.800 --> 00:02:57.960]  我只是跟大家講一個白話版的總結
[00:02:57.960 --> 00:03:01.320]  白話版的總結 頭六堂講什麼呢?
[00:03:01.320 --> 00:03:05.800]  就是我們要聽祂講 我們要講祂聽
[00:03:05.800 --> 00:03:08.300]  聽祂講就是聽主耶穌講
[00:03:08.300 --> 00:03:10.960]  講祂聽就是講給其他人聽
[00:03:10.960 --> 00:03:14.840]  以及大家不要忘記 我們也不要不用得
[00:03:14.840 --> 00:03:19.240]  堅持不要僵硬 不要不應該堅持的堅持
[00:03:19.240 --> 00:03:21.740]  不要不應該僵硬的去僵硬
[00:03:21.740 --> 00:03:23.820]  竭力才可以竭功
[00:03:23.820 --> 00:03:26.860]  我們要站定 子望不要變
[00:03:26.860 --> 00:03:30.520]  我們要急急腳 我們要向著子望前行
[00:03:30.520 --> 00:03:34.120]  不成功我們不成功 所以有另外很成功
[00:03:34.120 --> 00:03:37.440]  神很成功 耶穌很成功 不會有意外
[00:03:37.440 --> 00:03:41.420]  我們自己要更加成功 我們要幫人更加成功
[00:03:41.420 --> 00:03:44.220]  這是上六堂所講的一些總結
[00:03:44.220 --> 00:03:48.220]  大家有機會可以回去再看這些大綱的內容
[00:03:48.220 --> 00:03:52.040]  然後去思想 我發現思考能夠幫我們
[00:03:52.040 --> 00:03:55.120]  矯正我們的角度 矯正我們的方向
[00:03:55.120 --> 00:03:58.280]  以致我們不會想歪 不會想偏
[00:03:58.280 --> 00:04:00.060]  不會有極端
[00:04:00.060 --> 00:04:03.620]  上一堂那裡 近美之約的宗保
[00:04:03.620 --> 00:04:07.120]  提到有近美的積分 有近美的本分
[00:04:07.120 --> 00:04:09.120]  也有近美的成分
[00:04:09.120 --> 00:04:11.900]  耶穌盡了他近美的積分
[00:04:11.900 --> 00:04:14.220]  我們要盡近美的本分
[00:04:14.220 --> 00:04:16.220]  我們要改 我們要變
[00:04:16.220 --> 00:04:18.220]  我們要有近美的生命
[00:04:18.220 --> 00:04:20.220]  耶穌盡了近美的積分
[00:04:20.220 --> 00:04:22.460]  我們要有近美的成分
[00:04:22.460 --> 00:04:26.220]  我們要幫人 必然可以有近美的生命
[00:04:26.220 --> 00:04:28.620]  今天是第七堂 我們講的題目
[00:04:28.620 --> 00:04:31.980]  叫《將來美事的大祭司》
[00:04:31.980 --> 00:04:36.540]  英文就是希伯來書第九章第一節至第十四節
[00:04:36.540 --> 00:04:40.060]  由於我知道有些人可能是沒有看過《舊約》
