
[00:00:00.000 --> 00:00:10.000]  我曾經認識過一個很想做媽媽的故事
[00:00:10.000 --> 00:00:14.000]  這個媽媽曾經跟我分享
[00:00:14.000 --> 00:00:19.000]  由未結婚之前到結婚之後
[00:00:19.000 --> 00:00:22.000]  我都很想成為一個好媽媽
[00:00:22.000 --> 00:00:25.000]  我希望將來我的寶寶
[00:00:25.000 --> 00:00:28.000]  無論是兒子也好女兒也好
[00:00:28.000 --> 00:00:33.000]  都能夠在健康最好的狀態
[00:00:33.000 --> 00:00:36.000]  成長起來
[00:00:36.000 --> 00:00:40.000]  於是乎她在未懷孕之前
[00:00:40.000 --> 00:00:43.000]  其實已經從很年輕的時候
[00:00:43.000 --> 00:00:46.000]  好好保養自己的身體
[00:00:46.000 --> 00:00:51.000]  希望將來如果當有懷孕的一天
[00:00:51.000 --> 00:00:56.000]  她這個寶寶能夠真正在母腹裡
[00:00:56.000 --> 00:01:00.000]  在最優秀的環境培養起來
[00:01:00.000 --> 00:01:02.000]  不單這樣
[00:01:02.000 --> 00:01:07.000]  她在自己的飲食和睡眠上
[00:01:07.000 --> 00:01:11.000]  都有系統去節制和管理
[00:01:11.000 --> 00:01:14.000]  不好的東西、不健康的東西
[00:01:14.000 --> 00:01:16.000]  她通常都不會放進口裡
[00:01:16.000 --> 00:01:21.000]  而且她每天能夠有充分的休息
[00:01:21.000 --> 00:01:24.000]  好使她能夠有一個最健康的狀態
[00:01:24.000 --> 00:01:28.000]  能夠去孕育這個嬰孩
[00:01:28.000 --> 00:01:31.000]  當她說了這個故事
[00:01:31.000 --> 00:01:33.000]  或者她心願的時候
[00:01:33.000 --> 00:01:37.000]  就讓我想起作為一個基督徒
[00:01:37.000 --> 00:01:40.000]  在聖經裡面
[00:01:40.000 --> 00:01:45.000]  特別在哥倫多前書第六章第十九節裡面
[00:01:45.000 --> 00:01:52.000]  曾經保羅向當時哥倫多的教會這樣說過
[00:01:52.000 --> 00:01:58.000]  他說:豈不知你們的身子就是聖靈的電嗎?
[00:01:58.000 --> 00:02:05.000]  這聖靈是從神而來住在你們裡頭的
[00:02:05.000 --> 00:02:13.000]  當這句聖經再次在我的腦海裡浮現出來的時候
[00:02:13.000 --> 00:02:15.000]  就讓我想起
[00:02:15.000 --> 00:02:19.000]  我們作為信徒的、作為基督徒的
[00:02:19.000 --> 00:02:26.000]  我們有沒有好好保守這個屬靈的身體
[00:02:26.000 --> 00:02:29.000]  讓住在我們裡面的聖靈
[00:02:29.000 --> 00:02:34.000]  能夠無時無刻都準確將它的感動
[00:02:34.000 --> 00:02:38.000]  帶到我們的生命生活裡面呢?
[00:02:38.000 --> 00:02:43.000]  而我們有沒有好好保養這個屬靈的身體
[00:02:43.000 --> 00:02:47.000]  來承擔主的使命呢?
[00:02:47.000 --> 00:02:53.000]  而這個啟示也同時間說了一個很重要的事實
[00:02:53.000 --> 00:02:56.000]  讓我去明白得到
[00:02:56.000 --> 00:03:02.000]  就是原來我們今天屬靈的生命
[00:03:02.000 --> 00:03:08.000]  正正就是上帝要在這個時代的裡面
[00:03:08.000 --> 00:03:13.000]  施行上帝工作的平台
[00:03:13.000 --> 00:03:18.000]  這是上帝要在這個時代的裡面做到的事
[00:03:18.000 --> 00:03:22.000]  所以今天當我們來看這段經文的時候
[00:03:22.000 --> 00:03:28.000]  在《馬太福音》第八章從第五至第三節的裡面
[00:03:28.000 --> 00:03:32.000]  我就希望和大家一起去思想這個題目
[00:03:32.000 --> 00:03:39.000]  神的指紋的信原來正正就是神施工的平台
[00:03:39.000 --> 00:03:40.000]  我給一個英文的題目
[00:03:40.000 --> 00:03:45.000]  神的信是神的工作平台
[00:03:45.000 --> 00:03:50.000]  好了,讓我們再次去仔細了解這個題目
[00:03:50.000 --> 00:03:52.000]  或者在這段經文裡面
[00:03:52.000 --> 00:03:56.000]  究竟上帝怎樣藉著耶穌的講話或者工作
[00:03:56.000 --> 00:04:00.000]  來教導我們去明白怎樣去履行神的工作
[00:04:00.000 --> 00:04:03.000]  不如我們再次打開這段聖經
[00:04:03.000 --> 00:04:05.000]  讀多一次好不好?
[00:04:05.000 --> 00:04:11.000]  第八章從第五節到第十三節
[00:04:11.000 --> 00:04:17.000]  我們轉到《馬太福音》第八章
[00:04:17.000 --> 00:04:24.000]  重讀這篇文章從第五節到第十三節
[00:04:24.000 --> 00:04:27.000]  這很使我們更加能夠熟悉這段經文的內容
[00:04:27.000 --> 00:04:33.000]  好,找到之後我們會一起和合版的版本讀出
[00:04:33.000 --> 00:04:37.000]  如果你是用其他的版本或者用英語的版本的話
[00:04:37.000 --> 00:04:40.000]  那你緊隨去讀都可以的
[00:04:40.000 --> 00:04:43.000]  好,可以一起打開之後我們一起讀
[00:04:43.000 --> 00:04:47.000]  耶穌盡了加白龍
