
[00:00:00.000 --> 00:00:05.000]  各位電影節目的各位朋友你們好
[00:00:05.000 --> 00:00:08.000]  歡迎大家參加我們三藩市播道會
[00:00:08.000 --> 00:00:10.000]  網上的五堂崇拜
[00:00:10.000 --> 00:00:12.000]  今天我們繼續思想
[00:00:12.000 --> 00:00:14.000]  約翰福音的訊息
[00:00:14.000 --> 00:00:17.000]  我們來到約翰福音第十八章三十三節
[00:00:17.000 --> 00:00:19.000]  叫做十九章十六節
[00:00:19.000 --> 00:00:22.000]  題目叫做沉默的羔羊
[00:00:22.000 --> 00:00:25.000]  在開始思想這段聖經之前
[00:00:25.000 --> 00:00:27.000]  只要同心低頭都同禱告
[00:00:27.000 --> 00:00:29.000]  慈悲仁愛天父
[00:00:29.000 --> 00:00:31.000]  當我們讀到
[00:00:31.000 --> 00:00:35.000]  你受審為我們釘十字架的時候
[00:00:35.000 --> 00:00:39.000]  我們滿心感謝你
[00:00:39.000 --> 00:00:42.000]  為我們一班罪人
[00:00:42.000 --> 00:00:44.000]  捨身流血
[00:00:44.000 --> 00:00:49.000]  並願意為我們的緣故
[00:00:49.000 --> 00:00:52.000]  為天父祈絕
[00:00:52.000 --> 00:00:55.000]  我們感謝你
[00:00:55.000 --> 00:00:58.000]  感謝你的救恩
[00:00:59.000 --> 00:01:04.000]  感謝你給我們的探望
[00:01:04.000 --> 00:01:09.000]  求你藉著今天的訊息
[00:01:09.000 --> 00:01:14.000]  叫我們能夠更加親近你
[00:01:14.000 --> 00:01:16.000]  更加畏心給你
[00:01:16.000 --> 00:01:18.000]  我們禱告
[00:01:18.000 --> 00:01:20.000]  是奉耶穌基督的名禱
[00:01:20.000 --> 00:01:21.000]  阿們
[00:01:21.000 --> 00:01:24.000]  好幾年前
[00:01:24.000 --> 00:01:26.000]  我有機會回鄉一行
[00:01:27.000 --> 00:01:30.000]  因為中國政府剛剛收回我們的總屋
[00:01:30.000 --> 00:01:32.000]  給我們一家
[00:01:32.000 --> 00:01:37.000]  在大陸的妹妹帶我們去到總屋一行
[00:01:37.000 --> 00:01:39.000]  屋雖然是破樓
