
[00:00:00.000 --> 00:00:14.000]  福音教會到底在這個世界上是一個很容易被人接納
[00:00:14.000 --> 00:00:20.000]  被人欣賞的一樣東西嗎?
[00:00:20.000 --> 00:00:34.000]  到底福音教會會不會有時候在這個世界上造成很多很多人的不便
[00:00:34.000 --> 00:00:41.000]  帶來很多人很強烈的甚至是反感
[00:00:41.000 --> 00:00:47.000]  甚至是千方百計要叫他滅口
[00:00:47.000 --> 00:00:54.000]  我看這個《仕途行傳》來到保羅第三次宣教旅程
[00:00:54.000 --> 00:01:01.000]  整個世一路的轉變變得很厲害
[00:01:01.000 --> 00:01:04.000]  而其中一句最吸引我的
[00:01:04.000 --> 00:01:07.000]  就是引發我的思想
[00:01:07.000 --> 00:01:12.000]  就是這個《仕途行傳》第26章第24節
[00:01:12.000 --> 00:01:16.000]  當保羅講完他的見證
[00:01:16.000 --> 00:01:18.000]  講了他的信息
[00:01:18.000 --> 00:01:22.000]  你知不知道他所得到的反應是什麼呢?
[00:01:22.000 --> 00:01:26.000]  《仕途行傳》第26章第24節的時候
[00:01:26.000 --> 00:01:28.000]  保羅這樣分數
[00:01:28.000 --> 00:01:33.000]  菲斯都就是那位羅馬的官
[00:01:33.000 --> 00:01:35.000]  就大聲說
[00:01:35.000 --> 00:01:39.000]  保羅,你瘋了
[00:01:39.000 --> 00:01:42.000]  你的學問太大
[00:01:42.000 --> 00:01:46.000]  反而令到你神智失常
[00:01:46.000 --> 00:01:48.000]  你是瘋了
[00:01:48.000 --> 00:01:53.000]  我不知道你什麼時候試過講見證或者講完信息
[00:01:53.000 --> 00:01:56.000]  是別人出來跟你說你都瘋了
[00:01:56.000 --> 00:02:01.000]  不知道有多少人是有這樣的痛苦的經驗
[00:02:01.000 --> 00:02:05.000]  我很想看看保羅到底瘋在哪裡
[00:02:05.000 --> 00:02:07.000]  看看他見證的福音
[00:02:07.000 --> 00:02:13.000]  看看他保羅的精神
[00:02:13.000 --> 00:02:16.000]  這種保羅式的瘋癲
[00:02:16.000 --> 00:02:20.000]  到底對我們今天有什麼看法
[00:02:20.000 --> 00:02:23.000]  對教會有什麼影響
[00:02:23.000 --> 00:02:25.000]  我想今天的教會
[00:02:25.000 --> 00:02:29.000]  面對很多很多的衝擊
[00:02:29.000 --> 00:02:33.000]  很多的壓力
[00:02:33.000 --> 00:02:37.000]  有一些的壓力就是令到你不敢講真話
[00:02:37.000 --> 00:02:43.000]  有一些的壓力是要叫你變成一隻河蟹
[00:02:43.000 --> 00:02:49.000]  有一些的壓力是要叫你只能夠採取
[00:02:49.000 --> 00:02:52.000]  凡事都說無所謂
[00:02:52.000 --> 00:02:58.000]  人人都有自己的選擇和生活的方式
[00:02:58.000 --> 00:03:02.000]  你憑什麼在說三道四
[00:03:02.000 --> 00:03:08.000]  當教會或者信徒是面對四周圍的壓力的時候
[00:03:08.000 --> 00:03:12.000]  有時候我們會變成像是萬水煮蛙一樣
[00:03:12.000 --> 00:03:17.000]  漸漸成為一個完全沒有分別
[00:03:17.000 --> 00:03:21.000]  沒有動力的信徒或者群體
[00:03:21.000 --> 00:03:24.000]  因為壓力是帶來一種恐懼
[00:03:24.000 --> 00:03:28.000]  恐懼就是令到我們要自保
[00:03:28.000 --> 00:03:31.000]  自保的方式就是要不認同人
[00:03:31.000 --> 00:03:33.000]  要不就變成暗巡
