
[00:00:00.000 --> 00:00:06.000]  如果我們有機會可以親眼
[00:00:06.000 --> 00:00:16.000]  好像彼得見到主耶穌神獨生的兒子的榮耀
[00:00:16.000 --> 00:00:19.000]  那就一天都光了
[00:00:19.000 --> 00:00:22.000]  我們遇到什麼的試煉
[00:00:22.000 --> 00:00:28.000]  危險、艱難、疾病、痛苦都不要緊了
[00:00:28.000 --> 00:00:30.000]  不過沒有啊
[00:00:30.000 --> 00:00:35.000]  我們沒有這樣的機會親眼見過
[00:00:35.000 --> 00:00:40.000]  所以彼得在他留下的書信
[00:00:40.000 --> 00:00:43.000]  彼得後書幾乎我們可以肯定
[00:00:43.000 --> 00:00:48.000]  是他知道自己離開世界的日子近
[00:00:48.000 --> 00:00:50.000]  他寫的一封信
[00:00:50.000 --> 00:00:54.000]  對他來說這個經歷真的很深刻
[00:00:54.000 --> 00:00:58.000]  所以他也特意再次提起
[00:00:58.000 --> 00:01:02.000]  我們不是捏造出來的一件事
[00:01:02.000 --> 00:01:12.000]  是真的我們親眼見過耶穌基督的尊貴榮耀
[00:01:12.000 --> 00:01:15.000]  福音書裏面都有記載
[00:01:15.000 --> 00:01:19.000]  你回主學大概也有印象
[00:01:19.000 --> 00:01:23.000]  耶穌基督登山變像
[00:01:23.000 --> 00:01:26.000]  不過這樣的題目
[00:01:26.000 --> 00:01:37.000]  其實未必能夠將整件事的重點講得清楚
[00:01:37.000 --> 00:01:40.000]  剛才我們讀的是《馬太福音》
[00:01:40.000 --> 00:01:43.000]  《馬太福音》很簡單告訴我們
[00:01:43.000 --> 00:01:46.000]  耶穌帶了三個門徒上到高山
[00:01:46.000 --> 00:01:49.000]  在他們面前變了形象
[00:01:49.000 --> 00:01:54.000]  臉面明亮如白頭 衣裳潔白如光
[00:01:54.000 --> 00:01:58.000]  這是我們記得登山變像的情景
[00:01:58.000 --> 00:02:01.000]  耶穌的臉很光很光很光
[00:02:01.000 --> 00:02:04.000]  不過這個不是焦點
[00:02:04.000 --> 00:02:08.000]  我試試跟你多讀一段聖經
[00:02:08.000 --> 00:02:11.000]  如果你有聖經在手沒有印出來
[00:02:11.000 --> 00:02:15.000]  不過你可以打開《路加福音》第九章
[00:02:15.000 --> 00:02:27.000]  《路加福音》第九章二十八節
[00:02:27.000 --> 00:02:31.000]  大家找到嗎?你聽我讀
[00:02:31.000 --> 00:02:36.000]  《路加福音》第九章二十八節都是講同一件事
[00:02:36.000 --> 00:02:42.000]  不過《路加福音》的記載幫助我們看清楚些
[00:02:42.000 --> 00:02:46.000]  聽清楚些 了解清楚些
[00:02:46.000 --> 00:02:50.000]  「說了這話以後,若有白天,
[00:02:50.000 --> 00:02:56.000]  耶穌帶著彼得約翰雅各上山去禱告。」
[00:02:56.000 --> 00:03:02.000]  一開場第一句說話已經多說了兩件事
[00:03:02.000 --> 00:03:04.000]  有沒有留意到?
[00:03:04.000 --> 00:03:09.000]  「說了這話以後」是說什麼話呢?
[00:03:09.000 --> 00:03:13.000]  就是前面所說的一段說話
[00:03:13.000 --> 00:03:15.000]  從哪裡開始說起?
[00:03:15.000 --> 00:03:20.000]  不僅是說「背十字架,跟從主」
[00:03:20.000 --> 00:03:23.000]  而是上面二十二節
[00:03:23.000 --> 00:03:29.000]  「人子必須受許多的苦」那裡開始
[00:03:29.000 --> 00:03:31.000]  為什麼耶穌會說這段說話呢?
[00:03:31.000 --> 00:03:34.000]  再看上去前面十八節
[00:03:34.000 --> 00:03:38.000]  因為耶穌禱告的時候問門徒
[00:03:38.000 --> 00:03:40.000]  「有人說我是誰?」
[00:03:40.000 --> 00:03:43.000]  門徒彼得代表說
[00:03:43.000 --> 00:03:48.000]  「你是基督是永生神的兒子」
[00:03:48.000 --> 00:03:54.000]  整件事情是一氣呵成的
[00:03:54.000 --> 00:04:04.000]  耶穌跟門徒說到他要上耶路撒冷受苦被殺
[00:04:04.000 --> 00:04:06.000]  第三天復活
[00:04:06.000 --> 00:04:10.000]  然後說了這話以後約有一個星期
[00:04:10.000 --> 00:04:14.000]  他就帶著三個門徒上山
[00:04:14.000 --> 00:04:16.000]  做什麼呢?
[00:04:16.000 --> 00:04:18.000]  「辯給他們看」
[00:04:18.000 --> 00:04:20.000]  有些聖經學者真的這麼說
[00:04:20.000 --> 00:04:22.000]  不怪你 你這麼想也很正常
[00:04:22.000 --> 00:04:25.000]  聖經學者說門徒聽到耶穌會死
[00:04:25.000 --> 00:04:28.000]  於是就想一想他是真是假
[00:04:28.000 --> 00:04:31.000]  耶穌就要顯一下靈給他們看
[00:04:31.000 --> 00:04:33.000]  定一定他們的心
[00:04:33.000 --> 00:04:36.000]  我覺得這樣讀聖經真的很可憐
[00:04:36.000 --> 00:04:39.000]  因為這裡明明說耶穌上山有個目的
[00:04:39.000 --> 00:04:41.000]  做什麼呢?
[00:04:41.000 --> 00:04:43.000]  禱告
[00:04:43.000 --> 00:04:46.000]  耶穌上去不是辯給人看的
[00:04:46.000 --> 00:04:48.000]  只是帶三個上去
[00:04:48.000 --> 00:04:49.000]  辯給你看
[00:04:49.000 --> 00:04:50.000]  我們哪三個?
[00:04:50.000 --> 00:04:52.000]  那三個有福了
[00:04:52.000 --> 00:04:53.000]  不是不是
