
[00:00:00.000 --> 00:00:04.720]  各位弟兄姊妹 早晨
[00:00:04.720 --> 00:00:07.080]  很久不見了
[00:00:07.080 --> 00:00:09.360]  首先要多謝教會
[00:00:09.360 --> 00:00:11.880]  我知道教會有很多人為我代禱
[00:00:11.880 --> 00:00:15.240]  由我去年十月底開始
[00:00:15.240 --> 00:00:18.560]  知道身體有狀態的時候
[00:00:18.560 --> 00:00:20.920]  教會就說我們一直都在紀念你
[00:00:20.920 --> 00:00:23.560]  到現在基本上你見到我
[00:00:23.560 --> 00:00:24.760]  就知道我沒事了
[00:00:24.760 --> 00:00:28.680]  我又不敢說完全康復
[00:00:28.680 --> 00:00:32.240]  但是在監察中
[00:00:32.240 --> 00:00:36.720]  我六月還要再去照CT scan
[00:00:36.720 --> 00:00:37.760]  和驗血
[00:00:37.760 --> 00:00:40.960]  看看扭的情況如何
[00:00:40.960 --> 00:00:45.560]  所以其實我這次很特別
[00:00:45.560 --> 00:00:48.120]  今天早上起床我煮了兩只荷包蛋
[00:00:48.120 --> 00:00:49.840]  做了兩塊多士
[00:00:49.840 --> 00:00:51.680]  倒了一杯牛奶
[00:00:51.680 --> 00:00:53.160]  吃了個很好的早餐
[00:00:53.160 --> 00:00:54.320]  準備今天的講道
[00:00:54.320 --> 00:00:57.360]  因為今天的講道是我今年第一次
[00:00:57.360 --> 00:00:58.800]  主日講道
[00:00:58.800 --> 00:01:03.320]  我已經差不多五個月沒有在教會主日講道
[00:01:03.320 --> 00:01:04.760]  所以很特別
[00:01:04.760 --> 00:01:06.040]  剛才在國語堂
[00:01:06.040 --> 00:01:07.960]  我也很大感觸
[00:01:07.960 --> 00:01:09.280]  也很大感動
[00:01:09.280 --> 00:01:11.360]  一開始也很感動
[00:01:11.360 --> 00:01:13.000]  很感恩
[00:01:13.000 --> 00:01:14.120]  當時病的時候
[00:01:14.120 --> 00:01:16.760]  不知道自己還能不能講道
[00:01:16.760 --> 00:01:18.720]  連唱詩都沒有
[00:01:18.720 --> 00:01:19.600]  是唱不到的
[00:01:19.600 --> 00:01:20.800]  唱不到詩
[00:01:20.800 --> 00:01:22.040]  雖然在家裡崇拜
[00:01:22.040 --> 00:01:24.080]  因為走路又痛
[00:01:24.080 --> 00:01:25.600]  又沒有力氣
[00:01:25.600 --> 00:01:27.760]  但是唱詩也唱不出
[00:01:27.760 --> 00:01:28.920]  今天很感恩
[00:01:28.920 --> 00:01:31.600]  可以和大家一起敬拜
[00:01:31.600 --> 00:01:34.160]  我來之前一直很盼望
[00:01:34.160 --> 00:01:37.440]  當時我在11月尾
[00:01:37.440 --> 00:01:40.880]  最後一次講道是11月26日
[00:01:40.880 --> 00:01:42.080]  講完道之後
[00:01:42.080 --> 00:01:43.840]  發現自己真的不能再講
[00:01:43.840 --> 00:01:45.800]  因為要吃止痛藥
[00:01:45.800 --> 00:01:47.080]  很不舒服
[00:01:47.080 --> 00:01:50.120]  就和我太太說要取消講道
[00:01:50.120 --> 00:01:52.480]  後來看了主診醫生就更加要取消
[00:01:52.480 --> 00:01:55.320]  他說你未來幾個月都取消吧
[00:01:55.320 --> 00:01:57.720]  你猜我取消到什麼時候呢
[00:01:57.720 --> 00:02:01.280]  取消到4月14日
[00:02:01.280 --> 00:02:02.640]  就是上個星期日
[00:02:02.640 --> 00:02:04.320]  為什麼呢
[00:02:04.320 --> 00:02:08.280]  因為我希望今天可以回來講道
[00:02:08.280 --> 00:02:09.280]  有原因的
[00:02:09.280 --> 00:02:11.280]  因為我在2021年
[00:02:11.280 --> 00:02:13.840]  幫國語堂訓練主要學老師
[00:02:13.840 --> 00:02:15.320]  用了聖經人物
[00:02:15.320 --> 00:02:17.640]  題目叫《監古詩今》
[00:02:17.640 --> 00:02:18.760]  訓練完之後
[00:02:18.760 --> 00:02:20.880]  有一位老師就說
