
[00:00:00.000 --> 00:00:06.000]  我們今天能夠站立在神的面前
[00:00:06.000 --> 00:00:10.000]  都是主耶穌基督所賜給我們的恩典
[00:00:10.000 --> 00:00:17.000]  剛才黃牧師帶領我們一起在聖餐禮拜的時候祈禱
[00:00:17.000 --> 00:00:20.000]  他們剛剛從以色列回來
[00:00:20.000 --> 00:00:24.000]  今年以色列的氣候很特別
[00:00:24.000 --> 00:00:27.000]  二三十年來最大的一場雪
[00:00:27.000 --> 00:00:31.000]  大概有十吋以上的雪降落在耶路撒冷
[00:00:31.000 --> 00:00:33.000]  一個很奇妙的景象
[00:00:33.000 --> 00:00:36.000]  我們感謝主能夠見到
[00:00:36.000 --> 00:00:41.000]  祂使我們的罪能夠被潔淨白如雪
[00:00:41.000 --> 00:00:51.000]  我們選用的經文是猶太人經常會中毒和唱出來的一首詩
[00:00:51.000 --> 00:00:54.000]  叫做《上行之詩》
[00:00:54.000 --> 00:00:59.000]  《上行之詩》是一首詩
[00:00:59.000 --> 00:01:04.000]  它是在詩篇120篇到134篇
[00:01:04.000 --> 00:01:06.000]  15首的詩篇
[00:01:06.000 --> 00:01:08.000]  在標題上
[00:01:08.000 --> 00:01:13.000]  在希伯來的詩篇第一句說話裡
[00:01:13.000 --> 00:01:16.000]  寫著上行之詩
[00:01:16.000 --> 00:01:21.000]  一個以色列人他們每年有三次的時間
[00:01:21.000 --> 00:01:23.000]  就要去到耶路撒冷
[00:01:23.000 --> 00:01:27.000]  再過一個多月的時候
[00:01:27.000 --> 00:01:29.000]  他們也會去到耶路撒冷
[00:01:29.000 --> 00:01:31.000]  來到首節
[00:01:31.000 --> 00:01:36.000]  在御節、在駐彭節、在五旬節
[00:01:36.000 --> 00:01:38.000]  這三次的節日裡
[00:01:38.000 --> 00:01:42.000]  一個以色列人就要從巴勒斯坦各地
[00:01:42.000 --> 00:01:44.000]  都要去到耶路撒冷
[00:01:44.000 --> 00:01:47.000]  耶路撒冷是位於石安山
[00:01:47.000 --> 00:01:49.000]  是比較高位的
[00:01:49.000 --> 00:01:51.000]  但是在低窪的地方
[00:01:51.000 --> 00:01:53.000]  向上來走
[00:01:53.000 --> 00:01:55.000]  所以稱為上行之詩
[00:01:55.000 --> 00:02:00.000]  當我們在上耶路撒冷的時候
[00:02:00.000 --> 00:02:03.000]  通常就是三五成群結隊
[00:02:03.000 --> 00:02:07.000]  來一起彼此守望
[00:02:07.000 --> 00:02:10.000]  互相扶持來上耶路撒冷
[00:02:10.000 --> 00:02:11.000]  在沿途裡
[00:02:11.000 --> 00:02:13.000]  如果遇到有些盜賊
[00:02:13.000 --> 00:02:16.000]  他們互相扶持來抵擋
[00:02:16.000 --> 00:02:18.000]  如果有一些野獸襲擊
[00:02:18.000 --> 00:02:20.000]  他們會防禦
[00:02:20.000 --> 00:02:23.000]  所以在上行之詩裡
[00:02:23.000 --> 00:02:27.000]  是一種團隊的生活來朝見神
[00:02:27.000 --> 00:02:30.000]  當他們去到耶路撒冷的時候
[00:02:30.000 --> 00:02:33.000]  他看到一個非常危惡的
[00:02:33.000 --> 00:02:35.000]  宏偉的聖殿
[00:02:35.000 --> 00:02:38.000]  上到聖殿的梯階裡
[00:02:38.000 --> 00:02:41.000]  就有十五級的樓梯
[00:02:41.000 --> 00:02:45.000]  當時帶領會眾敬拜的利尼和祭司
[00:02:45.000 --> 00:02:50.000]  他們會帶領會眾一級一級上去
[00:02:50.000 --> 00:02:52.000]  每上一級的時候
[00:02:52.000 --> 00:02:54.000]  他們就唱一首詩
[00:02:54.000 --> 00:02:56.000]  再一級的時候又唱一首詩
[00:02:56.000 --> 00:02:58.000]  所以十五首詩
[00:02:58.000 --> 00:03:00.000]  在登街的時候
[00:03:00.000 --> 00:03:01.000]  你們都是唱
[00:03:01.000 --> 00:03:02.000]  所以這十五首詩
[00:03:02.000 --> 00:03:05.000]  又稱為登街之詩
[00:03:05.000 --> 00:03:07.000]  上行之詩
[00:03:07.000 --> 00:03:10.000]  不單是古時的猶太人
[00:03:10.000 --> 00:03:12.000]  他們朝聖的時候所唱
[00:03:12.000 --> 00:03:14.000]  也是我們今天信徒
[00:03:14.000 --> 00:03:16.000]  屬靈的一個光景
[00:03:16.000 --> 00:03:18.000]  屬靈的一個旅程
[00:03:18.000 --> 00:03:21.000]  我們在這個天路裡
[00:03:21.000 --> 00:03:23.000]  我們有很多同行的人
[00:03:23.000 --> 00:03:26.000]  有很多天路客
[00:03:26.000 --> 00:03:29.000]  我們一起來奔走天路
[00:03:29.000 --> 00:03:31.000]  這個圖像
[00:03:31.000 --> 00:03:33.000]  剛才顯露出來的圖像
[00:03:33.000 --> 00:03:35.000]  就是當時天路歷程
[00:03:35.000 --> 00:03:37.000]  這本本人約翰所寫的
[00:03:37.000 --> 00:03:40.000]  這本書的一個木雕
[00:03:40.000 --> 00:03:42.000]  木刻的一個圖像
[00:03:42.000 --> 00:03:44.000]  就說到有很多同伴
[00:03:44.000 --> 00:03:46.000]  一起來奔走
[00:03:46.000 --> 00:03:48.000]  所以上行之詩是描述到
[00:03:48.000 --> 00:03:51.000]  我們基督徒的心路歷程
[00:03:51.000 --> 00:03:53.000]  說到我們和神之間的關係
[00:03:53.000 --> 00:03:56.000]  說到我們在人生的路上
[00:03:56.000 --> 00:03:59.000]  我們要怎樣追求聖潔
[00:03:59.000 --> 00:04:00.000]  這十五首詩
[00:04:00.000 --> 00:04:05.000]  有人把它分成五首為一個階段
[00:04:05.000 --> 00:04:06.000]  五首為一個階段
[00:04:06.000 --> 00:04:08.000]  第一個階段
[00:04:08.000 --> 00:04:11.000]  就說到朝聖的人在周邊的環境
[00:04:11.000 --> 00:04:13.000]  他們一路邁向耶路撒冷
[00:04:13.000 --> 00:04:16.000]  從外圍一路進入裡面
[00:04:16.000 --> 00:04:20.000]  這個屬靈的路向
[00:04:20.000 --> 00:04:23.000]  就是120到124
[00:04:23.000 --> 00:04:25.000]  第二個的分段
[00:04:25.000 --> 00:04:27.000]  就說到他們不單要分別出來
[00:04:27.000 --> 00:04:30.000]  從萬人中間要分別為聖
[00:04:30.000 --> 00:04:33.000]  更加走上一條內在的
[00:04:33.000 --> 00:04:35.000]  一個誠聖之路
[00:04:35.000 --> 00:04:38.000]  所以是150到129篇
[00:04:38.000 --> 00:04:40.000]  就說到一個個人的回應
[00:04:40.000 --> 00:04:42.000]  怎樣可以追求一個內在的
[00:04:42.000 --> 00:04:44.000]  聖化的生活
[00:04:44.000 --> 00:04:46.000]  第三段
[00:04:46.000 --> 00:04:49.000]  就是詩篇130到134篇
[00:04:49.000 --> 00:04:52.000]  就是我們今天專注來看的
[00:04:52.000 --> 00:04:54.000]  詩篇130篇
[00:04:54.000 --> 00:04:56.000]  怎樣成為聖潔
[00:04:56.000 --> 00:05:00.000]  怎樣能夠在一個深淵裡面
[00:05:00.000 --> 00:05:02.000]  我們能夠提拔出來
[00:05:02.000 --> 00:05:04.000]  能夠向高處而行
[00:05:04.000 --> 00:05:06.000]  我們要開到水深之處
[00:05:06.000 --> 00:05:08.000]  要登上一個屬靈的高峰
[00:05:08.000 --> 00:05:10.000]  我們要在這條誠聖的路上
[00:05:10.000 --> 00:05:12.000]  要成為聖潔
[00:05:12.000 --> 00:05:15.000]  聖靈對我們眾人呼喚
[00:05:15.000 --> 00:05:20.000]  叫我們不要停留在一個初信的階段
[00:05:20.000 --> 00:05:24.000]  停留在一種被罪所困綁的階段裡面
[00:05:24.000 --> 00:05:27.000]  祂透過祂的話語提醒我們
[00:05:27.000 --> 00:05:28.000]  鞭策我們
[00:05:28.000 --> 00:05:29.000]  鼓勵我們
[00:05:29.000 --> 00:05:32.000]  叫我們在這條誠聖的路上
[00:05:32.000 --> 00:05:35.000]  我們能夠經歷神的恩典
[00:05:35.000 --> 00:05:38.000]  所以我們今天再回來
[00:05:38.000 --> 00:05:41.000]  首先我們讀前面那四節的聖經
[00:05:41.000 --> 00:05:42.000]  第一個段落
[00:05:42.000 --> 00:05:44.000]  我們再開聲的大家一齊
[00:05:44.000 --> 00:05:46.000]  來讀朗誦神的話語
[00:05:46.000 --> 00:05:48.000]  上行之詩
[00:05:48.000 --> 00:05:50.000]  耶和華
[00:05:50.000 --> 00:05:53.000]  我從深處向祢求告
[00:05:53.000 --> 00:05:54.000]  主啊
[00:05:54.000 --> 00:05:56.000]  求祢聽我的聲音
[00:05:56.000 --> 00:06:00.000]  求祢則以聽我懇求的聲音
[00:06:00.000 --> 00:06:02.000]  主耶和華
[00:06:02.000 --> 00:06:04.000]  祢若救察罪孽
[00:06:04.000 --> 00:06:06.000]  誰能暫得住呢
[00:06:06.000 --> 00:06:09.000]  但在祢有赦罪之恩
[00:06:09.000 --> 00:06:12.000]  要叫人敬畏祢
[00:06:12.000 --> 00:06:15.000]  在這四節裡面
[00:06:15.000 --> 00:06:19.000]  詩人確認上帝的慈愛
[00:06:19.000 --> 00:06:22.000]  神是會赦免我們的罪的
[00:06:22.000 --> 00:06:25.000]  當時他在這個罪的深處裡面
[00:06:25.000 --> 00:06:27.000]  他發出一個呼求
[00:06:27.000 --> 00:06:31.000]  耶和華我從深處向祢求告
[00:06:31.000 --> 00:06:34.000]  他在這個罪的深處裡面
[00:06:34.000 --> 00:06:37.000]  來發出一個呼聲
[00:06:37.000 --> 00:06:39.000]  你和我
[00:06:39.000 --> 00:06:41.000]  或者有一種感受
[00:06:41.000 --> 00:06:44.000]  或者我們在一個深淵裡面
[00:06:44.000 --> 00:06:47.000]  我們看不見這個出路
[00:06:47.000 --> 00:06:50.000]  或者在一個漆黑的山洞裡面
[00:06:50.000 --> 00:06:53.000]  我們看不到有一個光明
[00:06:53.000 --> 00:06:56.000]  或者我們在一個罪的掙扎裡面
[00:06:56.000 --> 00:06:59.000]  我們被罪所捆綁住
[00:06:59.000 --> 00:07:03.000]  但神叫我們可以向祂呼求
[00:07:03.000 --> 00:07:06.000]  祂會垂聽我們的祈禱
[00:07:06.000 --> 00:07:08.000]  神會拯救我們
[00:07:08.000 --> 00:07:10.000]  全被的救恩
[00:07:10.000 --> 00:07:13.000]  它是包括有三方面
[00:07:13.000 --> 00:07:14.000]  第一方面
[00:07:14.000 --> 00:07:16.000]  就說到一個人
[00:07:16.000 --> 00:07:20.000]  來面對這個罪的兇局
[00:07:20.000 --> 00:07:21.000]  我們稱之為
[00:07:21.000 --> 00:07:23.000]  「清義」
[00:07:23.000 --> 00:07:25.000]  一個人我們不是靠著我們的功德
[00:07:25.000 --> 00:07:27.000]  我們自己的行為
[00:07:27.000 --> 00:07:29.000]  我們自己的修行
[00:07:29.000 --> 00:07:31.000]  我們是仰望耶穌基督
[00:07:31.000 --> 00:07:33.000]  單單的信靠祂
[00:07:33.000 --> 00:07:35.000]  而得到這個救恩
[00:07:35.000 --> 00:07:37.000]  保羅在諾馬書裡面
[00:07:37.000 --> 00:07:40.000]  就稱為「清義」
[00:07:40.000 --> 00:07:42.000]  他說到猶太人有律法
[00:07:42.000 --> 00:07:44.000]  但是不能夠按照律法而行
[00:07:44.000 --> 00:07:46.000]  說到外邦人
[00:07:46.000 --> 00:07:47.000]  雖然沒有律法
[00:07:47.000 --> 00:07:48.000]  刻在石板上
[00:07:48.000 --> 00:07:51.000]  但律法功能刻在我們的良心上面
[00:07:51.000 --> 00:07:52.000]  但沒有一個人
[00:07:52.000 --> 00:07:54.000]  可以憑著我們的良心
[00:07:54.000 --> 00:07:56.000]  來站立
[00:07:56.000 --> 00:07:57.000]  於是
[00:07:57.000 --> 00:07:59.000]  諾馬書第三章說
[00:07:59.000 --> 00:08:00.000]  世人都犯了罪
[00:08:00.000 --> 00:08:02.000]  規決了神的榮耀
[00:08:02.000 --> 00:08:04.000]  世人是包括你和我
[00:08:04.000 --> 00:08:07.000]  你和我都在這個罪的裡面
[00:08:07.000 --> 00:08:09.000]  現在耶穌基督為我們開了一條
[00:08:09.000 --> 00:08:11.000]  又新又活的路
[00:08:11.000 --> 00:08:14.000]  祂為我們釘在這個十字架上
[00:08:14.000 --> 00:08:16.000]  承擔了罪所帶來
[00:08:16.000 --> 00:08:18.000]  上帝的審判
[00:08:18.000 --> 00:08:19.000]  於是將我們
[00:08:19.000 --> 00:08:22.000]  在這個罪的捆綁裡釋放出來
[00:08:22.000 --> 00:08:24.000]  如果你今天願意相信主
[00:08:24.000 --> 00:08:26.000]  你今天願意擺上信心
[00:08:26.000 --> 00:08:27.000]  請還我們身份
[00:08:27.000 --> 00:08:29.000]  立時改變
[00:08:29.000 --> 00:08:31.000]  這是一個立時的改變
[00:08:31.000 --> 00:08:33.000]  罪不再控告我們
[00:08:33.000 --> 00:08:35.000]  我們成為上帝的兒女
[00:08:35.000 --> 00:08:37.000]  我們得到一個永生
[00:08:37.000 --> 00:08:38.000]  這個過程
[00:08:38.000 --> 00:08:40.000]  我們叫做清二
[00:08:40.000 --> 00:08:44.000]  諾馬書第一章到第五章
[00:08:44.000 --> 00:08:45.000]  就是講述這件事
[00:08:45.000 --> 00:08:48.000]  但我們不能夠停留在這個救恩的開端
[00:08:48.000 --> 00:08:50.000]  不能夠做一個屬靈的英械
[00:08:50.000 --> 00:08:52.000]  彼得說
[00:08:52.000 --> 00:08:54.000]  我們不能夠做一個屬靈的英械
[00:08:54.000 --> 00:08:56.000]  做一個英械要成長
[00:08:56.000 --> 00:08:58.000]  就要吃這個靈奶
[00:08:58.000 --> 00:09:00.000]  於是我們不斷地要長進
[00:09:00.000 --> 00:09:02.000]  這一條的路
