
[00:00:00.000 --> 00:00:09.000]  中國人有一句說話叫做教曉徒弟母師傅
[00:00:09.000 --> 00:00:17.000]  這個說話通常從以前來說就是說一些人打功夫
[00:00:17.000 --> 00:00:19.000]  在武館裏面
[00:00:19.000 --> 00:00:27.000]  因為師傅很害怕將所有絕招都教給自己的徒弟
[00:00:27.000 --> 00:00:30.000]  於是有一天徒弟不長進的話
[00:00:30.000 --> 00:00:37.000]  就反過來用你教的絕招來攻擊你
[00:00:37.000 --> 00:00:40.000]  奪取你做師傅的位份
[00:00:40.000 --> 00:00:44.000]  說得文雅一點叫做倒戈相向
[00:00:44.000 --> 00:00:47.000]  所以這個所謂教曉徒弟母師傅這句說話
[00:00:47.000 --> 00:00:50.000]  其實是一種自保的態度
[00:00:50.000 --> 00:00:56.000]  後來這種觀念可以說是發揚光大
[00:00:56.000 --> 00:01:01.000]  在不同的人物生活裏面
[00:01:01.000 --> 00:01:05.000]  天天都在運用
[00:01:05.000 --> 00:01:07.000]  因為很多時候很多人怕
[00:01:07.000 --> 00:01:10.000]  如果我將所有所懂的東西
[00:01:10.000 --> 00:01:14.000]  所做一門手藝的竅門
[00:01:14.000 --> 00:01:16.000]  告訴了你的話
[00:01:16.000 --> 00:01:20.000]  結局可能我連我自己的生意都沒有了
[00:01:20.000 --> 00:01:26.000]  我記得以前我住在中西區
[00:01:26.000 --> 00:01:30.000]  在香港的時候中西區有很多傳統工業
[00:01:30.000 --> 00:01:38.000]  其中一個傳統工業就是織藤的山貨舖
[00:01:38.000 --> 00:01:40.000]  知不知道什麼是山貨舖
[00:01:40.000 --> 00:01:43.000]  山貨舖專門賣那些煲
[00:01:43.000 --> 00:01:46.000]  沙煲鵪鶉
[00:01:46.000 --> 00:01:51.000]  你想一下那些蒸籠等等
[00:01:51.000 --> 00:01:54.000]  以前就不是像現在這樣
[00:01:54.000 --> 00:01:57.000]  我們這個世界現在浪費得很厲害
[00:01:57.000 --> 00:01:59.000]  就丟掉
[00:01:59.000 --> 00:02:02.000]  不適合就去淘寶買貨
[00:02:02.000 --> 00:02:05.000]  買貨很便宜
[00:02:05.000 --> 00:02:07.000]  以前不是這樣的
[00:02:07.000 --> 00:02:09.000]  我還記得我那個年代
[00:02:09.000 --> 00:02:13.000]  如果在家裏做工場
[00:02:13.000 --> 00:02:17.000]  我們做工場就要用很多大的篩
[00:02:17.000 --> 00:02:19.000]  那些篩是穿洞的
[00:02:19.000 --> 00:02:21.000]  用藤積的
[00:02:21.000 --> 00:02:23.000]  那些篩穿了很容易
[00:02:23.000 --> 00:02:25.000]  因為藤積
[00:02:25.000 --> 00:02:27.000]  我們要放在焗爐裏
[00:02:27.000 --> 00:02:28.000]  不是焗爐
[00:02:28.000 --> 00:02:29.000]  是一個乾櫃那裏
[00:02:29.000 --> 00:02:33.000]  那些篩很容易過一段時間就會穿
[00:02:33.000 --> 00:02:35.000]  因為乾了就斷了
