
[00:00:00.000 --> 00:00:07.200]  上次和大家講了新滅忌一至三章
[00:00:07.200 --> 00:00:11.040]  講了很多猶太人和以色列人的歷史
[00:00:11.040 --> 00:00:15.280]  我們說從以色列人的歷史或者過去
[00:00:15.280 --> 00:00:18.640]  可以幫助我們檢討過去
[00:00:18.640 --> 00:00:20.480]  展望將來
[00:00:20.480 --> 00:00:25.120]  今天是講新滅忌的四章和五章
[00:00:25.120 --> 00:00:27.280]  從神的話語當中
[00:00:27.280 --> 00:00:31.760]  我們能夠認識我們所敬拜的這位真神
[00:00:31.760 --> 00:00:35.600]  今天的大綱其實很簡單
[00:00:35.600 --> 00:00:39.360]  有五點我們一起來看
[00:00:39.360 --> 00:00:42.000]  第一點就是我們敬拜這位神
[00:00:42.000 --> 00:00:43.840]  他是絕對有主權的神
[00:00:43.840 --> 00:00:46.640]  我們是需要聽他的話
[00:00:46.640 --> 00:00:49.840]  第二點他是獨一的神
[00:00:49.840 --> 00:00:52.400]  我們單要敬拜他
[00:00:52.400 --> 00:00:55.680]  第三點他是智慧的神
[00:00:55.680 --> 00:00:58.240]  我們需要學習他的智慧
[00:00:58.240 --> 00:01:02.080]  第四點他是守約的神
[00:01:02.080 --> 00:01:04.480]  我們需要敬愛他
[00:01:04.480 --> 00:01:07.840]  第五點是他是公義的神
[00:01:07.840 --> 00:01:10.480]  所以我們要服從他
[00:01:10.480 --> 00:01:13.120]  讓我們一起來看看第一點
[00:01:13.120 --> 00:01:15.200]  他是主權的神
[00:01:15.200 --> 00:01:20.480]  在《約翰福音》四章四十二節
[00:01:20.480 --> 00:01:22.240]  經文告訴我們
[00:01:22.560 --> 00:01:23.920]  神是靈
[00:01:23.920 --> 00:01:28.000]  所以我們需要以心靈成實來敬拜他
[00:01:28.000 --> 00:01:29.600]  很多時候我們都會說
[00:01:29.600 --> 00:01:33.760]  我們敬拜神要用心靈成實
[00:01:33.760 --> 00:01:36.720]  Abraham Joshua Heschel
[00:01:36.720 --> 00:01:38.640]  他是一個猶太人的學者
[00:01:38.640 --> 00:01:41.120]  他說要信神
[00:01:41.120 --> 00:01:44.880]  我們需要認識這位是靈的神
[00:01:44.880 --> 00:01:47.840]  和認識他的話語
[00:01:47.840 --> 00:01:49.440]  因為我們相信神是靈
[00:01:49.440 --> 00:01:51.200]  我們看不到
