
[00:00:00.000 --> 00:00:09.560]  今天跟大家一起思想的經文是出自馬太福音第九章第十八至第二十六節
[00:00:09.560 --> 00:00:14.480]  我給了一個題目叫做彭謝信走出疾窮的思維
[00:00:14.480 --> 00:00:18.320]  by Faith Breakthrough from Old Thought
[00:00:18.320 --> 00:00:24.480]  無論是看電影還是看書
[00:00:24.480 --> 00:00:30.400]  我以前很喜歡看書 甚至看一些故事書
[00:00:30.400 --> 00:00:37.120]  但近幾年眼睛開始不太好 老花
[00:00:37.120 --> 00:00:42.200]  所以看書的情況少了 除了看神學書籍之外
[00:00:42.200 --> 00:00:46.040]  很多時候會看電影 我比較喜歡看電影
[00:00:46.040 --> 00:00:49.560]  我不太喜歡看電視劇 因為電影的故事很整全
[00:00:49.560 --> 00:00:52.960]  一個多小時可以知道故事的故事
[00:00:52.960 --> 00:00:57.960]  但如果看劇集就要不斷追 而且現在的劇集
[00:00:57.960 --> 00:01:03.960]  故事性不太強 只是打完一輪就散場
[00:01:03.960 --> 00:01:05.960]  結局也很詫異
[00:01:05.960 --> 00:01:10.760]  無論看書還是看電影
[00:01:10.760 --> 00:01:15.360]  最重要的是故事的脈絡
[00:01:15.360 --> 00:01:20.960]  一個好的故事是永遠不會離開主線
[00:01:20.960 --> 00:01:30.960]  所以當我們看電影 電視劇 或者看書
[00:01:30.960 --> 00:01:36.560]  當遇到一些故事情節雜亂無章的時候
[00:01:36.560 --> 00:01:41.680]  我們會覺得有沒有搞錯 這些東西都可以拿出來
[00:01:41.680 --> 00:01:43.880]  給觀眾看嗎?
[00:01:43.880 --> 00:01:47.400]  用一點心機去寫 應該會寫得比較好
[00:01:47.400 --> 00:01:54.560]  可以合邏輯一點的劇情 為什麼有人會寫出這樣的劇情呢?
[00:01:54.560 --> 00:01:59.160]  所以一個故事的脈絡一定要清晰
[00:01:59.160 --> 00:02:02.360]  而且不可以左跳右跳
[00:02:02.360 --> 00:02:05.560]  不過今天我們一起看的這段經文
[00:02:05.560 --> 00:02:12.040]  《馬太福音》第九章 從第十八至第二十六節這段經文
[00:02:12.040 --> 00:02:15.920]  可以說是大家非常熟悉的一段經文
[00:02:15.920 --> 00:02:20.000]  但是這段經文也誘發了很多情況
[00:02:20.000 --> 00:02:24.960]  就是很多人會覺得 為什麼故事會這樣被打斷呢?
[00:02:24.960 --> 00:02:29.720]  因為這段故事在第九章第十八節開始
[00:02:29.720 --> 00:02:32.360]  我們一開始看到的就是
[00:02:32.360 --> 00:02:34.600]  耶穌講話的時候
[00:02:34.600 --> 00:02:38.520]  有一個管會堂的人去拜祂
[00:02:38.520 --> 00:02:42.760]  故事的主線是一個管會堂的人
[00:02:42.760 --> 00:02:44.320]  他來找耶穌什麼事?
[00:02:44.320 --> 00:02:47.080]  原來他去求耶穌基督
[00:02:47.080 --> 00:02:52.240]  去拯救那個剛剛已經死去的女兒
[00:02:52.240 --> 00:02:54.160]  女兒死了
[00:02:54.160 --> 00:02:56.760]  但是卻是在這個過程當中
[00:02:56.760 --> 00:03:01.200]  他來拯救耶穌救回他的女兒的時候
[00:03:01.200 --> 00:03:05.120]  中間插入了一段我們很熟悉的故事
[00:03:05.120 --> 00:03:09.640]  就講到一個血流的女子的故事
