
[00:00:00.000 --> 00:00:05.000]  請大家低頭我們一起祈禱
[00:00:05.000 --> 00:00:11.000]  天父!整個世界一如你預言所說
[00:00:11.000 --> 00:00:14.000]  就是因為以色列
[00:00:14.000 --> 00:00:20.000]  整個世界都在撕裂中
[00:00:20.000 --> 00:00:23.000]  無一例外
[00:00:23.000 --> 00:00:28.000]  我為了你四千年前已經有的預言
[00:00:28.000 --> 00:00:33.000]  跟著三千五百多年前寫下的聖經
[00:00:33.000 --> 00:00:36.000]  清楚告訴我們
[00:00:36.000 --> 00:00:43.000]  是沒完沒了甚至到最後仍然存在
[00:00:43.000 --> 00:00:46.000]  但我們需要從你的說話
[00:00:46.000 --> 00:00:51.000]  認真看到你的心意到底是怎樣
[00:00:51.000 --> 00:00:54.000]  保守我們的心
[00:00:54.000 --> 00:00:59.000]  也讓我們知道原來一切發生的事
[00:00:59.000 --> 00:01:03.000]  你早就寫在聖經
[00:01:03.000 --> 00:01:06.000]  是會這樣發生
[00:01:06.000 --> 00:01:10.000]  但在這裏你又告訴我們
[00:01:10.000 --> 00:01:12.000]  你是有出路的
[00:01:12.000 --> 00:01:14.000]  我懇求你幫助
[00:01:14.000 --> 00:01:17.000]  特別是保守打仗的
[00:01:17.000 --> 00:01:21.000]  無論以色列巴勒斯坦
[00:01:21.000 --> 00:01:26.000]  絕大部分的人都不認識你
[00:01:26.000 --> 00:01:29.000]  是因為這個緣故他們無法經歷
[00:01:29.000 --> 00:01:36.000]  在主裏面的兩下合而為一和平共處
[00:01:36.000 --> 00:01:39.000]  我求你幫助我們
[00:01:39.000 --> 00:01:42.000]  當我們聽了你的說話
[00:01:42.000 --> 00:01:45.000]  日後有人提起這些問題
[00:01:45.000 --> 00:01:47.000]  求你給我們智慧
[00:01:47.000 --> 00:01:52.000]  以致我們有智慧跟他們分享
[00:01:52.000 --> 00:01:55.000]  處理自己的福音
[00:01:55.000 --> 00:01:58.000]  你早就預定這些事會發生
