
[00:00:00.000 --> 00:00:08.560]  今天主要跟大家分享一下神學是甚麼
[00:00:08.560 --> 00:00:11.360]  其實是一個Motivation Talk
[00:00:11.360 --> 00:00:12.320]  英文叫做
[00:00:12.320 --> 00:00:17.920]  鼓勵大家花點時間去思考神的話語
[00:00:17.920 --> 00:00:20.480]  開始的時候我們先做一個禱告
[00:00:20.480 --> 00:00:21.600]  主佑我們神
[00:00:21.600 --> 00:00:24.480]  求祢給我們一個盼望的心
[00:00:24.480 --> 00:00:26.720]  對祢的燈祢有一個盼望的心
[00:00:26.720 --> 00:00:33.440]  以致我們願意將生命時間擺上來認識祢
[00:00:33.440 --> 00:00:37.760]  幫助我們不要熱衷世上的事情
[00:00:37.760 --> 00:00:41.360]  而是知道我們真正人生的目的在哪裡
[00:00:41.360 --> 00:00:44.320]  求祢今天也對我們說話
[00:00:44.320 --> 00:00:46.800]  透過聖經的話語
[00:00:46.800 --> 00:00:48.080]  透過祢的真理
[00:00:48.080 --> 00:00:54.160]  給我們有對祢更多更熱切的一份渴望的心
[00:00:54.160 --> 00:00:57.280]  教導我們每一個人祈禱奉耶穌基督的名
[00:00:57.280 --> 00:01:01.200]  神學是甚麼呢?
[00:01:01.200 --> 00:01:06.160]  有些人會覺得神學是很虛無的東西
[00:01:06.160 --> 00:01:09.040]  我在中神其中教過一課叫做
[00:01:09.040 --> 00:01:10.320]  延伸教過一課
[00:01:10.320 --> 00:01:15.120]  神學的哲學基礎
[00:01:15.120 --> 00:01:19.200]  教完整課之後有一個同學的回應就是
[00:01:19.200 --> 00:01:22.160]  未上課之前都覺得哲學很虛的
[00:01:22.160 --> 00:01:24.480]  上完之後都覺得哲學很虛
[00:01:24.480 --> 00:01:27.280]  剛才子剛說過
[00:01:27.280 --> 00:01:30.640]  有些人即買即食
[00:01:30.640 --> 00:01:31.760]  即炒即食
[00:01:31.760 --> 00:01:34.800]  即是說老師教了一些東西
[00:01:34.800 --> 00:01:36.720]  馬上拿去煮一下鵝
[00:01:36.720 --> 00:01:38.000]  要應用
[00:01:38.000 --> 00:01:40.800]  你上我的課就很難即炒即買
[00:01:40.800 --> 00:01:41.760]  子剛就知道了
[00:01:41.760 --> 00:01:44.080]  上我的課叫做現代思潮
[00:01:44.080 --> 00:01:45.200]  沒甚麼看法的
[00:01:45.200 --> 00:01:46.480]  我上課就吹水
[00:01:46.480 --> 00:01:48.800]  吹到時間到了就下課
[00:01:48.800 --> 00:01:51.440]  所以很難即買即食
[00:01:51.440 --> 00:01:52.720]  我經常覺得
[00:01:52.720 --> 00:01:56.320]  教書我的理想就是誰呢?
[00:01:56.320 --> 00:01:58.880]  就是張三豐教張無忌
[00:01:58.880 --> 00:02:00.000]  不知道大家記不記得
[00:02:00.000 --> 00:02:04.480]  有一次張三豐在倚天屠龍記裡面教張無忌
[00:02:04.480 --> 00:02:06.880]  怎樣打太極劍
[00:02:06.880 --> 00:02:08.720]  打完一輪之後
[00:02:08.720 --> 00:02:11.440]  張三豐就問張無忌
[00:02:11.440 --> 00:02:13.360]  你忘記了沒有?
[00:02:13.360 --> 00:02:16.720]  他說忘記了七八成
[00:02:16.720 --> 00:02:19.040]  張三豐又出來又打一個
[00:02:19.040 --> 00:02:20.720]  招數完全不同的
[00:02:20.720 --> 00:02:22.720]  給張無忌再看一次
[00:02:22.720 --> 00:02:24.000]  然後問張無忌
[00:02:24.000 --> 00:02:25.520]  你忘記了沒有?
[00:02:25.520 --> 00:02:26.240]  張無忌說
[00:02:26.240 --> 00:02:28.400]  不行,我忘記了你的招數
[00:02:28.400 --> 00:02:29.120]  張三豐說
[00:02:29.120 --> 00:02:30.640]  不行,你出去打一筆
[00:02:30.640 --> 00:02:33.680]  所以我覺得你來讀神學就是這樣
[00:02:33.680 --> 00:02:35.200]  你上我的課最好上完
[00:02:35.200 --> 00:02:36.800]  忘記了我的招數
[00:02:36.800 --> 00:02:41.280]  不過神學就進入了你的生命當中
[00:02:41.280 --> 00:02:42.960]  這樣就成功了
[00:02:42.960 --> 00:02:44.400]  神學是甚麼呢?
[00:02:44.400 --> 00:02:47.520]  我強調神學不是一些
[00:02:47.520 --> 00:02:50.160]  所謂的很高賢大智的理論
[00:02:50.160 --> 00:02:51.440]  保羅也強調
[00:02:51.440 --> 00:02:54.240]  這些高賢大智是世間人所說的
[00:02:54.240 --> 00:02:55.440]  神學是甚麼呢?
[00:02:55.440 --> 00:03:00.880]  神學是一些有深度和闊度的神學反星
[00:03:00.880 --> 00:03:03.120]  有深度和闊度的神學反星
[00:03:03.120 --> 00:03:06.400]  甚麼是有深度和闊度的神學反星呢?
[00:03:06.400 --> 00:03:09.040]  我們從今天這篇講到上次
[00:03:09.040 --> 00:03:11.680]  去看多一點解釋一下
[00:03:11.680 --> 00:03:14.640]  剛才讀的經文
[00:03:14.640 --> 00:03:17.360]  很多人有時候會拿著這些經文
[00:03:17.360 --> 00:03:20.960]  說基督徒不要看那麼多書
[00:03:20.960 --> 00:03:22.160]  保羅也說了
[00:03:22.160 --> 00:03:25.600]  世人憑自己的智慧就不能夠認識神
[00:03:25.600 --> 00:03:29.520]  所以神就要樂意用那些愚蠢的道理
[00:03:29.520 --> 00:03:31.440]  去拯救信的人
[00:03:31.440 --> 00:03:33.520]  所以你讀那麼多世俗的書
[00:03:33.520 --> 00:03:35.120]  就學世間的智慧
[00:03:35.120 --> 00:03:39.360]  阻止你信仰的承諾
[00:03:39.360 --> 00:03:42.000]  我自己就很不認同這種說法
[00:03:42.000 --> 00:03:44.320]  我覺得保羅說的不是叫你
[00:03:44.320 --> 00:03:47.040]  不要認識世界的智慧
