
[00:00:00.000 --> 00:00:07.360]  約書亞記的這個系列已經接近尾聲
[00:00:07.360 --> 00:00:11.400]  我們說到以色列人已經進入了迦南地
[00:00:11.400 --> 00:00:14.840]  征服了迦南 還已經分了地
[00:00:14.840 --> 00:00:20.000]  接下來還有兩個信息就說完約書亞記
[00:00:20.000 --> 00:00:24.240]  就是約書亞對以色列人的一些憤悔的話
[00:00:24.240 --> 00:00:28.960]  23章是說到約書亞對領袖的鎮嚴
[00:00:28.960 --> 00:00:31.200]  也是鼓勵我們
[00:00:31.200 --> 00:00:36.000]  我叫今天的副標題做「福和之間的揀選」
[00:00:36.000 --> 00:00:40.320]  是福是禍是我們自己來揀選
[00:00:40.320 --> 00:00:42.080]  這個是神的家規
[00:00:42.080 --> 00:00:45.040]  當我們服從祂的時候
[00:00:45.040 --> 00:00:47.040]  我們能夠得到祂的祝福
[00:00:47.040 --> 00:00:50.240]  但是當我們背叛 我們不聽話
[00:00:50.240 --> 00:00:52.880]  就會得到神的管教
[00:00:52.880 --> 00:00:59.280]  今天23章是要和大家說約書亞的憤悔
[00:00:59.280 --> 00:01:02.400]  其實在這個時候 23章的時候
[00:01:02.400 --> 00:01:06.640]  以色列人已經進入了迦南地有20年
[00:01:06.640 --> 00:01:10.160]  打勝了 征服了迦南地20年
[00:01:10.160 --> 00:01:13.360]  約書亞的年紀已經很大
[00:01:13.360 --> 00:01:14.960]  超過100歲
[00:01:14.960 --> 00:01:19.520]  23章是向領袖的教導
[00:01:19.520 --> 00:01:23.760]  24章就是給全國國民的一些憤悔
[00:01:23.760 --> 00:01:28.000]  在說約書亞記的23章1至2節
[00:01:28.000 --> 00:01:29.200]  經文說
[00:01:29.200 --> 00:01:32.000]  「而和華使以色列人安靜
[00:01:32.000 --> 00:01:36.800]  不與四圍的一切仇敵爭戰已經多日
[00:01:36.800 --> 00:01:39.040]  約書亞年紀老邁
[00:01:39.040 --> 00:01:44.080]  就把以色列眾人的長老、族長、審判官
[00:01:44.080 --> 00:01:46.240]  並官長都召了來
[00:01:46.240 --> 00:01:50.080]  對他們說:我年紀已經老邁」
[00:01:50.080 --> 00:01:53.280]  由這節經文令我想起
[00:01:53.280 --> 00:01:56.240]  美國有一位很出名的將軍
[00:01:56.240 --> 00:01:58.400]  是一位五星的上將
[00:01:58.400 --> 00:02:00.720]  第二次世界大戰的將軍
[00:02:00.720 --> 00:02:02.720]  是Douglas MacArthur
[00:02:02.720 --> 00:02:06.960]  他最後去到美國的國會
[00:02:06.960 --> 00:02:08.800]  他和美國的國會說
[00:02:08.800 --> 00:02:13.520]  「我是一個努力進行任務的老兵
[00:02:13.520 --> 00:02:17.120]  是神令我見到他的任務
[00:02:17.120 --> 00:02:20.080]  我現在來到你們的面前
[00:02:20.080 --> 00:02:22.320]  是要和你們說再見
