
[00:00:00.000 --> 00:00:04.880]  鄭姐妹 新年快樂
[00:00:04.880 --> 00:00:13.040]  2026年開年 大家看新聞都發覺很多爆炸性的新聞
[00:00:13.040 --> 00:00:28.640]  伊朗政局不穩定 大家知道最大的新聞就是委內瑞拉的馬杜羅被活捉
[00:00:28.640 --> 00:00:41.280]  現在回到美國 鄭姐妹無論你在哪一邊 無論你政治的看法是怎樣
[00:00:41.280 --> 00:00:48.480]  我相信2026年不會平靜
[00:00:48.480 --> 00:00:55.360]  鄭姐妹你相不相信這個世界有一個叫烏托邦的世界
[00:00:55.360 --> 00:01:03.440]  大家知道什麼叫烏托邦嗎 是很理想的 很美好的
[00:01:03.440 --> 00:01:07.840]  大家都覺得一切都像天堂一樣
[00:01:07.840 --> 00:01:14.320]  其實很多人都以為這個世界是有一個理想之地
[00:01:14.320 --> 00:01:24.560]  Chuck Colson大概十幾二十年前寫了一本書叫How Now Shall We Live
[00:01:24.560 --> 00:01:31.200]  他分析現在很多人一直想追求一個烏托邦的世界
[00:01:31.200 --> 00:01:38.480]  烏托邦的世界有沒有存在呢 他們以為有 所以很多移民潮
[00:01:38.480 --> 00:01:48.400]  不知大家來美國是否都想尋找一個美國夢 美國夢其實就是一個烏托邦的世界
[00:01:48.400 --> 00:01:58.480]  大家如果實際一點去看 你來到美國 美加英澳紐這些都是很多亞洲人
[00:01:58.480 --> 00:02:04.720]  特別是極權統治下的人 他們很想去的地方
[00:02:04.720 --> 00:02:14.640]  但是當你來到之後 你會發現很多時候這些地方都是情慾放縱
[00:02:14.640 --> 00:02:22.480]  政治黑暗 學校暴力 種族互鬥 婚姻破裂 毒品充斥
[00:02:22.480 --> 00:02:27.920]  這些問題其實讓我們的世界變得很混亂
[00:02:27.920 --> 00:02:38.320]  人的期望和夢幻因此而破滅 無論是民主社會還是極權社會
[00:02:38.320 --> 00:02:44.320]  大家以為極權社會就會有這麼多問題 民主社會有沒有這樣的問題呢
[00:02:44.320 --> 00:02:50.000]  有啊 你看看美國 美國就是民主社會 都是這麼亂
[00:02:50.000 --> 00:02:56.400]  所以聖經告訴我們 我們是活在一個彎曲薄茂的世代
[00:02:56.400 --> 00:03:08.560]  所以不單單這個時代很混亂 其實自從人犯罪之後 人就一直都這麼亂
[00:03:08.560 --> 00:03:24.720]  為什麼呢 因為人有罪性 所以當人在罪性的作崇下 他就與神為敵
[00:03:24.720 --> 00:03:34.240]  他就是反基督信仰 他就無法安安分分地在這個地上
[00:03:34.240 --> 00:03:42.800]  大家剛剛過完聖誕 是不是 聖誕是否慶祝我們平安之王耶穌基督降生
[00:03:42.800 --> 00:03:52.800]  你會覺得聖誕很溫馨 是不是 馬槽的鷹鞋很平靜 平安夜
[00:03:52.800 --> 00:04:02.080]  然後天使的歌聲 博士的朝拜 很溫馨 很完美 很榮耀的一個畫面
[00:04:02.080 --> 00:04:11.280]  但是 你有沒有想過平安的王降生之後 其實這個世界沒有平安
[00:04:11.280 --> 00:04:23.120]  就是在耶穌基督降生之後 你就會發現一個很危險的 逃亡 眼淚和死亡的故事
[00:04:23.120 --> 00:04:31.120]  就跟著聖誕這個故事發生 如果要演劇或者演戲
[00:04:31.120 --> 00:04:39.120]  這個希律追殺耶穌的故事 我覺得是很能夠引人入城
[00:04:39.120 --> 00:04:45.120]  道成肉身的兒子 神的兒子耶穌基督來到這個世界
[00:04:45.120 --> 00:04:53.120]  這個世界有沒有張開一個歡迎的手來歡迎他呢 有沒有
[00:04:53.120 --> 00:05:02.800]  你們是不是還沒吃早餐呢 有沒有 這個世界有沒有張開雙手來歡迎他呢 沒有
[00:05:02.800 --> 00:05:09.200]  在神的容許之下 其實是神的旨意容許之下 主耶穌在來之前
[00:05:09.200 --> 00:05:19.200]  這個世界本身是失序 是失控 是失衡 是扭曲 是不完美
[00:05:19.200 --> 00:05:25.200]  所以今天我要跟大家探討這段聖誕之後的經文
[00:05:25.200 --> 00:05:37.200]  就是你們安排我要講的一段經文 就是當世界失序的時候 屬神的子民何去何從
[00:05:37.200 --> 00:05:47.200]  這麼亂 我們做基督徒怎麼辦呢 我們現在來讀一下這段經文
[00:05:47.200 --> 00:05:57.200]  文去後有主的使者向若瑟夢中顯然說 起來帶著小孩子和他的母親逃往埃及
[00:05:57.200 --> 00:06:05.200]  住在那裡 等我吩咐你 因為希律必尋找小孩子 要除滅他
[00:06:05.200 --> 00:06:13.200]  若瑟就起來夜間帶著小孩子和母親往埃及去 住在那裡直到希律死了
[00:06:13.200 --> 00:06:20.200]  那時候應嚴主席先知所說的話說 我從埃及召出我的兒子來
[00:06:20.200 --> 00:06:29.200]  希律看見自己被博士愚弄就大大發怒 差人將伯利恆城裡面四景所有的男孩
[00:06:29.200 --> 00:06:37.200]  召著他向博士仔細查問的時候 凡兩歲以內的盡都殺絕
[00:06:37.200 --> 00:06:44.200]  這就應了先知耶利米的話說 在拉瑪聽見浩濤大哭的聲音
[00:06:44.200 --> 00:06:50.200]  自拉傑哭他兒女不肯受安慰 因為他們都不在了
[00:06:50.200 --> 00:06:57.200]  希律死了以後有主的使者在埃及向若瑟夢中顯然說
[00:06:57.200 --> 00:07:06.200]  起來帶著小孩子和他母親往以色列地去 因為要害小孩子性命的人已經死了
[00:07:06.200 --> 00:07:11.200]  若瑟就起來把小孩子和他母親帶到以色列地去
[00:07:11.200 --> 00:07:20.200]  只因聽見雅基魯接著他父親希律做已投胎王就怕往那裡去
[00:07:20.200 --> 00:07:25.200]  又在夢中被主指示便往加利利境內去了
[00:07:25.200 --> 00:07:37.200]  到了一座城名叫拿撒勒就住在那裡 這是要應驗先知所說的他將稱為拿撒勒人的話了
[00:07:37.200 --> 00:07:44.200]  這段經文其實如果你要看我們先看一個文學的結構
[00:07:44.200 --> 00:07:49.200]  這段經文有一個三文字的結構 大家知道三文字是怎樣嗎?
[00:07:49.200 --> 00:07:58.200]  兩塊麵包一塊肉 兩塊麵包一塊肉 或者漢堡都可以
[00:07:58.200 --> 00:08:09.200]  只要中間一塊肉就可以了 那些兩塊肉的double whopper那些是不對的
[00:08:09.200 --> 00:08:21.200]  總之是兩塊麵包一塊肉 兩塊麵包就是神主權的帶領和人的順從
[00:08:21.200 --> 00:08:28.200]  而中間那塊肉就凸顯了人的敵對卻失敗
[00:08:28.200 --> 00:08:39.200]  人的敵對是誰呢?希律 所以如果你看這段經文的時候你會看到是三幕
[00:08:39.200 --> 00:08:50.200]  而頭尾兩幕很相似 而中間那一幕就是凸顯了人的敗壞
[00:08:50.200 --> 00:09:03.200]  在希律迫害之前 神就叫使者約瑟逃到埃及
[00:09:03.200 --> 00:09:08.200]  約瑟有沒有去?有 而迫害之後他們在埃及
[00:09:08.200 --> 00:09:17.200]  神又透過使者叫他們回到應許之地 而約瑟也同樣信服
[00:09:17.200 --> 00:09:24.200]  如果你看希律文的文法 兩個都有漢那開始
[00:09:24.200 --> 00:09:34.200]  然後夢中指示約瑟叫他起來 這邊也是夢中指示叫他起來
[00:09:34.200 --> 00:09:40.200]  約瑟就起來了 而開始的時候就夜間逃亡
[00:09:40.200 --> 00:09:47.200]  夜間逃亡其實是很特別的一個地方 半夜三更你都可以逃難
[00:09:47.200 --> 00:09:53.200]  但是回來的時候就輕鬆一點了 就沒那麼緊張了
[00:09:53.200 --> 00:09:58.200]  就不是夜間了 兩個都是應驗先知的話
[00:09:58.200 --> 00:10:05.200]  應驗的經文是不一樣的 都是應驗舊約先知所說的話
[00:10:05.200 --> 00:10:10.200]  所以大家有沒有看到這兩塊麵包是不是很相似
[00:10:10.200 --> 00:10:19.200]  都是屬於麵包類的 但中間就夾了這塊肉
[00:10:19.200 --> 00:10:24.200]  這塊肉就是希律的敵對卻失敗
[00:10:24.200 --> 00:10:33.200]  我們現在來看看當世界失序的時候 這個世界會怎樣呢
[00:10:33.200 --> 00:10:40.200]  當世界失序的時候殘暴的政權會導致無辜者的哀傷
[00:10:40.200 --> 00:10:45.200]  殘暴的政權會導致無辜者的哀傷
[00:10:45.200 --> 00:10:54.200]  我們看委內瑞拉已經很多年了 在暴政的底下 強權的底下
[00:10:54.200 --> 00:11:04.200]  很多的百姓已經怨聲載道 很多無辜的人受虧損甚至不在這個世界
[00:11:04.200 --> 00:11:12.200]  當世界失序的時候 你可以很清楚的看到這個世界是會有災難
[00:11:12.200 --> 00:11:18.200]  是會有政治的迫害 是會有強權來壓迫
[00:11:18.200 --> 00:11:27.200]  當這個世界失序的時候 就好像希律他覺得自己被博士來捉弄
[00:11:27.200 --> 00:11:38.200]  所以他大大的發怒 然後將伯利恆境內的所有的弟弟兩歲以下都殺了
[00:11:38.200 --> 00:11:43.200]  這個叫做什麼 有殺錯沒有放過
[00:11:43.200 --> 00:11:57.200]  就是你找一個人 你找一個小孩子耶穌 你就殺了伯利恆境內所有兩歲以下的百姓
[00:11:57.200 --> 00:12:03.200]  你猜伯利恆那個時候有多少人口呢
[00:12:03.200 --> 00:12:10.200]  大家有沒有聖誕的時候唱過那首Old Little Town of Bethlehem
[00:12:10.200 --> 00:12:17.200]  小伯利恆城 所以其實殺了兩歲以下都不是很多人
[00:12:17.200 --> 00:12:28.200]  不是很多人就是多少人呢 按照一些解經家和歷史學家的推斷
[00:12:28.200 --> 00:12:36.200]  大概三十到四十人 三十到四十人你說少不少呢
[00:12:36.200 --> 00:12:43.200]  當然多就不多 這個希律其實他也是一個極權者
[00:12:43.200 --> 00:12:50.200]  他以為他自己操生殺的大權 所以導致整個社會失衡失序
[00:12:50.200 --> 00:12:57.200]  無辜的百姓受害 生靈塗炭 哀鴻遍野
[00:12:57.200 --> 00:13:05.200]  所以你看到下面就講到應驗先知耶利米的說話
[00:13:05.200 --> 00:13:12.200]  我們也體會到在這個世界其實有很多悲劇發生
[00:13:12.200 --> 00:13:19.200]  有些我們解釋不了 比如德國納粹的時候對猶太人的大屠殺
[00:13:19.200 --> 00:13:27.200]  有多少無辜的人受害 或者紅色高棉 種族滅絕等等
[00:13:27.200 --> 00:13:34.200]  這些都是類似希律這次大屠殺的一個歷史迴響
[00:13:34.200 --> 00:13:38.200]  是人類失控的可怕後果
[00:13:38.200 --> 00:13:45.200]  而在今天這個世代也有很多基督徒在不同的國家受迫害
[00:13:45.200 --> 00:13:52.200]  這些當然我們經常聽到 你說我們在美國我們做基督徒有沒有被迫害呢
[00:13:52.200 --> 00:13:59.200]  有沒有 都有 你不要以為民主國家不要以為基督教立國的國家
[00:13:59.200 --> 00:14:04.200]  我們就可以好好地去崇拜 敬拜
[00:14:04.200 --> 00:14:09.200]  我們經常被排斥 被迫害
[00:14:09.200 --> 00:14:15.200]  在這個社會裏面很多時候我們變成二等公民
[00:14:15.200 --> 00:14:23.200]  馬太記載這件事 她忽然間就想起這個就好像什麼呢
[00:14:23.200 --> 00:14:28.200]  她現在想起伯利恆 伯利恆想起一個歷史事件
[00:14:28.200 --> 00:14:35.200]  就是拉傑 拉傑是誰的太太 瓦國
[00:14:35.200 --> 00:14:43.200]  瓦國的太太在拉瑪有大聲號圖的聲音
[00:14:43.200 --> 00:14:49.200]  拉傑哭他的兒女不肯受安慰 因為他們都不在了
[00:14:49.200 --> 00:14:55.200]  這一節的聖經其實是應驗兩個層次
[00:14:55.200 --> 00:15:01.200]  最早的層次就是前往伯利恆的路上
[00:15:01.200 --> 00:15:06.200]  拉傑他生了變亞敏之後就難產而死
[00:15:06.200 --> 00:15:09.200]  這個在創世紀裏面記載
[00:15:09.200 --> 00:15:14.200]  但是馬太她不是引用拉傑那件事
[00:15:14.200 --> 00:15:21.200]  她是引用耶利米 耶利米的記載
[00:15:21.200 --> 00:15:25.200]  耶利米記載什麼呢 以色列人被擄的時候
[00:15:25.200 --> 00:15:30.200]  在拉瑪他們做父母的那些 為了自己被擄的兒女
[00:15:30.200 --> 00:15:39.200]  他們在那裏哭 耶華如此說在拉瑪聽見號圖痛哭的聲音時
[00:15:39.200 --> 00:15:45.200]  拉傑哭他兒女不肯受安慰 因為他們都不在了
[00:15:45.200 --> 00:15:52.200]  他看到什麼呢 看到一班人被擄之後
[00:15:52.200 --> 00:15:59.200]  而很多父母親的母親仍然被留下在撒瑪利亞的地方
[00:15:59.200 --> 00:16:04.200]  他們的痛哭 哭自己的兒女
[00:16:04.200 --> 00:16:12.200]  所以這一段經文其實是描述世間很多的痛苦
[00:16:12.200 --> 00:16:20.200]  很多的眼淚 很多的母親的心被破碎
[00:16:20.200 --> 00:16:25.200]  而馬太她看到這個神聖的女童
[00:16:25.200 --> 00:16:33.200]  大家要記得這個應驗這個詞不是俗字的應驗
[00:16:33.200 --> 00:16:36.200]  是一種神聖的女童
[00:16:36.200 --> 00:16:47.200]  他的意思是如果拉傑仍然活著 他會以第一夫人的身份為以色列整個民族哀哭
[00:16:47.200 --> 00:16:55.200]  現在看到伯利恆的這些小朋友無辜的被殺 他會很傷心
[00:16:55.200 --> 00:17:02.200]  拉傑是不是第一夫人 是的 以色列 瓦國 瓦國就是以色列
[00:17:02.200 --> 00:17:06.200]  以色列的太太就是第一夫人 是不是
[00:17:06.200 --> 00:17:12.200]  如果以這樣的角度來看 如果拉傑仍然活著
[00:17:12.200 --> 00:17:19.200]  他會以第一夫人的身份為以色列整個民族哀哭
[00:17:19.200 --> 00:17:27.200]  所以頂梓梅你停止對這個世界抱有不切實際的幻想
[00:17:27.200 --> 00:17:32.200]  你不要以為這個世界會給你帶來完美
[00:17:32.200 --> 00:17:36.200]  這個世界會滿足你的理想 不一定
[00:17:36.200 --> 00:17:41.200]  不一定我們信耶穌 信來做什麼呢
[00:17:41.200 --> 00:17:45.200]  信耶穌信來做什麼 等一下我要和大家說
[00:17:45.200 --> 00:17:51.200]  那兩塊麵包就告訴你 信耶穌是做什麼
[00:17:51.200 --> 00:17:58.200]  所以頂梓梅當我們遇到不公 逼白 苦難 不要驚訝
[00:17:58.200 --> 00:18:02.200]  不要驚訝 嘩 原來是這樣的
[00:18:02.200 --> 00:18:07.200]  其實聖經早就和我們說 耶穌基督早就說了什麼
[00:18:07.200 --> 00:18:18.200]  在世上你們有苦難 在失序的世界裡你仍然不要失心
[00:18:18.200 --> 00:18:24.200]  你的心不要失去 你需要尋求神的指引
[00:18:24.200 --> 00:18:34.200]  大家如果認識美國的基督教的進展
[00:18:34.200 --> 00:18:39.200]  你會很熟悉這個人叫C.S. Lewis
