
[00:00:00.000 --> 00:00:03.920]  當我們去到農曆年最後一天的時候
[00:00:03.920 --> 00:00:07.440]  我很想跟大家分享
[00:00:07.440 --> 00:00:08.960]  掃垃圾
[00:00:08.960 --> 00:00:10.640]  清垃圾
[00:00:10.640 --> 00:00:13.760]  年二十八就清垃圾
[00:00:13.760 --> 00:00:16.180]  今天是年二十九
[00:00:16.180 --> 00:00:18.680]  未清的那些今天就清掉
[00:00:18.680 --> 00:00:22.320]  這些垃圾是什麼呢
[00:00:22.320 --> 00:00:24.360]  就是世俗
[00:00:24.360 --> 00:00:27.760]  或者世俗化的垃圾
[00:00:28.060 --> 00:00:31.700]  所以今天我會跟大家從創世紀去看一看
[00:00:31.700 --> 00:00:34.260]  一個小世界
[00:00:34.260 --> 00:00:38.220]  屬世界的信徒
[00:00:38.220 --> 00:00:41.020]  他的結局是怎樣的
[00:00:41.020 --> 00:00:44.940]  今天首先跟大家來看的經文
[00:00:44.940 --> 00:00:48.540]  是創世紀
[00:00:48.540 --> 00:00:50.400]  十九章
[00:00:50.400 --> 00:00:52.760]  第一節
[00:00:52.760 --> 00:00:57.900]  一直到第三節
[00:00:58.220 --> 00:00:59.380]  大家找到的時候
[00:00:59.380 --> 00:01:01.860]  我們先讀一讀這幾節的經文
[00:01:01.860 --> 00:01:02.860]  一起讀
[00:01:03.340 --> 00:01:06.340]  那兩個天使晚上到了所多瑪
[00:01:06.340 --> 00:01:09.580]  羅德正坐在所多瑪城門口
[00:01:09.580 --> 00:01:12.220]  看見他們就起來迎接
[00:01:12.220 --> 00:01:13.940]  臉伏於地下拜
[00:01:13.940 --> 00:01:15.420]  說:我主啊
[00:01:15.420 --> 00:01:17.660]  請你到僕人家裡洗洗腳
[00:01:17.660 --> 00:01:18.740]  住一夜
[00:01:18.740 --> 00:01:20.460]  清早起來再走
[00:01:20.460 --> 00:01:21.620]  他們說:不
[00:01:21.620 --> 00:01:23.940]  我們要在街上過夜
[00:01:23.940 --> 00:01:26.340]  羅德切切的請他們
[00:01:26.340 --> 00:01:29.300]  他們才到他屋來
[00:01:29.300 --> 00:01:32.060]  羅德為他們預備筵席
[00:01:32.380 --> 00:01:33.500]  敲無教柄
[00:01:33.500 --> 00:01:34.940]  他們就吃了
[00:01:34.940 --> 00:01:36.540]  在這段聖經當中
[00:01:36.540 --> 00:01:38.260]  我們可以看見
[00:01:38.260 --> 00:01:39.220]  羅德
[00:01:39.220 --> 00:01:41.740]  是非常清楚
[00:01:41.740 --> 00:01:43.460]  他是一個有信仰的人
[00:01:43.460 --> 00:01:45.540]  在哪裡看到呢
[00:01:45.540 --> 00:01:48.060]  就是這兩個天使到了所多瑪的時候
[00:01:48.060 --> 00:01:51.540]  羅德正坐在所多瑪城門口
[00:01:51.540 --> 00:01:52.860]  一看見他們
[00:01:52.860 --> 00:01:54.700]  他已經有一種洞悉力
[00:01:54.700 --> 00:01:55.620]  洞察力
[00:01:55.620 --> 00:01:58.100]  知道這是神來的天使
[00:01:58.100 --> 00:01:59.940]  是因為這樣的緣故
[00:01:59.940 --> 00:02:00.620]  第二節
[00:02:00.940 --> 00:02:02.740]  他就像阿伯拉罕一樣
[00:02:02.740 --> 00:02:03.860]  稱呼他
[00:02:03.860 --> 00:02:05.220]  「Adonai」
[00:02:05.220 --> 00:02:06.620]  我主啊
[00:02:06.620 --> 00:02:09.300]  其實這個字一般來說
[00:02:09.300 --> 00:02:10.900]  是對神的稱呼
[00:02:10.900 --> 00:02:13.860]  是單數的
[00:02:13.860 --> 00:02:17.340]  為什麼對著兩個天使用單數來說
[00:02:17.340 --> 00:02:18.460]  「Adonai」
[00:02:18.460 --> 00:02:19.300]  為什麼呢
[00:02:19.300 --> 00:02:20.340]  我相信
[00:02:20.340 --> 00:02:22.140]  他很清楚知道
[00:02:22.140 --> 00:02:23.420]  這兩個使者
[00:02:23.420 --> 00:02:25.140]  是從神而來的
[00:02:25.140 --> 00:02:26.940]  是因為這樣
[00:02:26.940 --> 00:02:29.380]  所以他就請他們到家裡洗腳
[00:02:29.380 --> 00:02:30.060]  住一天
[00:02:30.060 --> 00:02:33.300]  然後為他們擺上食物
[00:02:33.300 --> 00:02:35.860]  希望透過這樣招呼他們
[00:02:35.860 --> 00:02:37.340]  各位聽眾
[00:02:37.340 --> 00:02:39.060]  從這段聖經當中
[00:02:39.060 --> 00:02:40.220]  大家可以看見
[00:02:40.220 --> 00:02:40.980]  羅德
[00:02:40.980 --> 00:02:41.820]  第一
[00:02:41.820 --> 00:02:44.420]  是城的領袖
[00:02:44.420 --> 00:02:46.820]  我們在哪裡看到他是城的領袖呢
[00:02:46.820 --> 00:02:50.020]  你看到
[00:02:50.020 --> 00:02:52.660]  第一節
[00:02:52.660 --> 00:02:56.420]  當這兩個天使晚上到所多瑪的時候
[00:02:56.420 --> 00:02:59.780]  羅德正坐在所多瑪
[00:02:59.780 --> 00:03:00.900]  城門口
[00:03:00.900 --> 00:03:03.780]  我希望大家知道當時
[00:03:03.780 --> 00:03:05.540]  中東
[00:03:05.540 --> 00:03:06.860]  他們的習俗
[00:03:06.860 --> 00:03:07.940]  習慣
[00:03:07.940 --> 00:03:09.380]  每一個城
[00:03:09.380 --> 00:03:11.860]  坐在城門口的人
[00:03:11.860 --> 00:03:14.420]  不是普通的人
[00:03:14.420 --> 00:03:17.020]  一定是城裡面
[00:03:17.020 --> 00:03:18.940]  那些德高望重
[00:03:18.940 --> 00:03:21.540]  有影響力的領袖
[00:03:21.540 --> 00:03:23.100]  可能是長老
[00:03:23.100 --> 00:03:25.020]  可能是最有實力的人
[00:03:25.020 --> 00:03:26.860]  或者是他們一些官
[00:03:26.860 --> 00:03:28.060]  能夠做決定的
[00:03:28.060 --> 00:03:29.100]  為什麼呢
[00:03:29.100 --> 00:03:30.900]  因為坐在那個地方的人
[00:03:30.900 --> 00:03:32.100]  一般來說
