
[00:00:00.000 --> 00:00:07.520]  我金志成還有機會給我在大紀元節目中分享神的說話
[00:00:07.520 --> 00:00:10.760]  我記得上次來的時候還是在幼稚園的
[00:00:10.760 --> 00:00:14.760]  現在就來到這麼漂亮的地方
[00:00:14.760 --> 00:00:17.920]  想起漂亮的地方的時候
[00:00:17.920 --> 00:00:20.240]  我想我們很多人有時候去旅行
[00:00:20.240 --> 00:00:24.840]  無論去歐洲也好 去哪裡也好 或者去國內也好
[00:00:24.840 --> 00:00:33.380]  當然有一個地方 有一條線會去一些很漂亮的教堂
[00:00:33.380 --> 00:00:36.880]  大教堂 或者去一些廟宇
[00:00:36.880 --> 00:00:41.080]  很古舊的廟宇去觀光
[00:00:41.080 --> 00:00:43.360]  當然一方面我們欣賞
[00:00:43.360 --> 00:00:46.880]  那時候的人有沒有電腦竟然建得這麼好
[00:00:46.880 --> 00:00:49.080]  真是厲害 現在的人差很遠了
[00:00:49.080 --> 00:00:51.520]  建東西兩天就爛了
[00:00:51.520 --> 00:00:55.260]  接著又拍照 又拍照 接著在臉書
[00:00:55.260 --> 00:00:58.080]  Facebook全部都發放了
[00:00:58.080 --> 00:01:00.640]  通常拍完一條興奮照片之後
[00:01:00.640 --> 00:01:04.520]  尤其是基督徒 你坐在旅遊巴士上面
[00:01:04.520 --> 00:01:07.920]  應該差不多會這樣想
[00:01:07.920 --> 00:01:12.480]  這間東西其實是教堂來的
[00:01:12.480 --> 00:01:15.900]  它建的時候是教堂來的
[00:01:15.900 --> 00:01:18.880]  為什麼現在變成旅遊景點呢?
[00:01:18.880 --> 00:01:23.600]  官教會去了哪裡?
[00:01:23.600 --> 00:01:27.760]  這個建得很漂亮 又舒服
[00:01:27.760 --> 00:01:30.580]  如果想幾十年之後沒有人說
[00:01:30.580 --> 00:01:34.880]  這裏這麼漂亮 官教會的人去了哪裡?
[00:01:34.880 --> 00:01:36.880]  如果想避免這樣
[00:01:36.880 --> 00:01:41.520]  就要聽一下今天神怎樣透過先知易西傑
[00:01:41.520 --> 00:01:43.520]  和以色列人講話
[00:01:43.520 --> 00:01:48.020]  我等回時間再和大家看一下背景
[00:01:48.020 --> 00:01:50.720]  剛才讀的11至14節
[00:01:50.720 --> 00:01:57.360]  事實上是解釋1至10節的那個異象
[00:01:57.360 --> 00:02:00.400]  這次我已經二十多分鐘講到
[00:02:00.400 --> 00:02:01.900]  需要大家看書看的
[00:02:01.900 --> 00:02:03.580]  所以如果你沒有就拿吧
[00:02:03.580 --> 00:02:06.400]  你有的時候就不要關掉
