
[00:00:00.000 --> 00:00:06.000]  各位頂尖的朋友,早安
[00:00:06.000 --> 00:00:09.000]  這個世界有兩種問題
[00:00:09.000 --> 00:00:14.000]  第一種就是技術問題
[00:00:14.000 --> 00:00:18.000]  我沒有弦外之音
[00:00:18.000 --> 00:00:21.000]  第一種是技術問題
[00:00:21.000 --> 00:00:26.000]  譬如家裡的水喉壞了,那怎麼辦呢?
[00:00:26.000 --> 00:00:29.000]  修理,不懂修理
[00:00:29.000 --> 00:00:31.000]  找人修理
[00:00:31.000 --> 00:00:36.000]  如果修理不好,換人修理
[00:00:36.000 --> 00:00:40.000]  錢能解決的問題是什麼?
[00:00:40.000 --> 00:00:42.000]  不是問題
[00:00:42.000 --> 00:00:45.000]  錢能解決的問題不是問題
[00:00:45.000 --> 00:00:50.000]  但這個世界不只是這種簡單技術問題
[00:00:50.000 --> 00:00:52.000]  不是
[00:00:52.000 --> 00:00:57.000]  我問大家,如果這個世界的問題都是技術性的問題
[00:00:57.000 --> 00:01:02.000]  你覺得這個世界好一點還是不好一點呢?
[00:01:02.000 --> 00:01:04.000]  簡單一點
[00:01:04.000 --> 00:01:10.000]  其實不需要你和我這些萬物之靈存活在這個世界
[00:01:10.000 --> 00:01:15.000]  搞一些機械人,他們最懂得處理問題
[00:01:15.000 --> 00:01:19.000]  神助我們這些萬物之靈在世界
[00:01:19.000 --> 00:01:23.000]  是不是要我們接受更大的挑戰呢?
[00:01:23.000 --> 00:01:27.000]  所以這個世界多了另外一種問題
[00:01:27.000 --> 00:01:29.000]  這是什麼問題呢?
[00:01:29.000 --> 00:01:31.000]  人際問題
[00:01:31.000 --> 00:01:36.000]  有人說,東西做不死人,人就激死人
[00:01:36.000 --> 00:01:40.000]  教會也是,你叫我說哪一套很簡單
[00:01:40.000 --> 00:01:45.000]  但叫我處理人際關係,這些問題就很煩
[00:01:45.000 --> 00:01:51.000]  人際的問題,道德的問題
[00:01:51.000 --> 00:01:53.000]  抉擇的問題,信仰的問題
[00:01:53.000 --> 00:01:57.000]  這些都是辣手的問題
[00:01:57.000 --> 00:02:00.000]  要斷定一個教會是否健康
[00:02:00.000 --> 00:02:05.000]  就要看他面對問題的時候,他怎樣看
[00:02:05.000 --> 00:02:07.000]  教會如果是健康的話
[00:02:07.000 --> 00:02:10.000]  領袖他能夠拿得起
[00:02:10.000 --> 00:02:15.000]  放得低,積極的,建設性的去面對的話
[00:02:15.000 --> 00:02:19.000]  又加上我們的會友可以一起同心
[00:02:19.000 --> 00:02:24.000]  有方法,有機制,有整個資源去配合
[00:02:24.000 --> 00:02:30.000]  我相信教會經過這些問題之後會更上一層樓
