
[00:00:00.000 --> 00:00:05.520]  我現在很欣賞你們
[00:00:05.520 --> 00:00:09.200]  有時我經常這樣想
[00:00:09.200 --> 00:00:13.600]  香港人,中國人多,可能唐人街都多人
[00:00:13.600 --> 00:00:17.280]  你閉上眼睛拿個銀,扔唐人街的人
[00:00:17.280 --> 00:00:21.600]  到找街也好,你扔到他,多數都不是基督徒
[00:00:21.600 --> 00:00:27.680]  我們的比率,基督徒很少人做
[00:00:27.680 --> 00:00:34.080]  所以你閉上眼睛扔不到,但是我們現在就在教堂裡面
[00:00:34.080 --> 00:00:39.440]  比率很微,神的恩典選到我們,你真的能夠撿到
[00:00:39.440 --> 00:00:44.000]  而且不單止這樣,信主你閉上眼睛扔信主人
[00:00:44.000 --> 00:00:46.960]  沒有一個星期六浪費時間來聽聖經
[00:00:46.960 --> 00:00:51.840]  你們說我很敬虔,所以不是的
[00:00:51.840 --> 00:00:54.720]  是神恩代你,神呼喚你回來
[00:00:54.720 --> 00:00:58.560]  救了你,救了我們,然後叫我們有機會看聖經
[00:00:58.560 --> 00:01:03.680]  肯去學聖經,是神的恩上加恩
[00:01:03.680 --> 00:01:05.760]  很感謝神,大家在這裡
[00:01:05.760 --> 00:01:09.120]  真的不是這麼多人星期六有空
[00:01:09.120 --> 00:01:12.000]  你說陳牧師很久沒見,哪有這麼吸引
[00:01:12.000 --> 00:01:17.600]  其實不是的,是神的話令你們願意回來
[00:01:17.600 --> 00:01:23.440]  見到團長,我都很開心,見到大兄姐妹
[00:01:23.440 --> 00:01:26.240]  剛才可能有些是上午未來的
[00:01:26.240 --> 00:01:32.400]  我外面有些私心,我們介紹一下我現在的機構
[00:01:32.400 --> 00:01:39.600]  我機構是明道社,創辦人是鄺炳昭牧師和張無海牧師
[00:01:39.600 --> 00:01:43.600]  聽他們兩個招牌就知道我們是講正路的
[00:01:43.600 --> 00:01:48.080]  主要是講聖經的,外面有很多擺了這類的
[00:01:48.080 --> 00:01:50.400]  這個是五萬一期,最新一期的
[00:01:50.400 --> 00:01:53.920]  我想多講兩句,反正我都不逼了
[00:01:53.920 --> 00:01:57.280]  剛才Doris說你們可以坐一會,其實我心想
[00:01:57.280 --> 00:02:00.480]  什麼大把時間坐,我整天都站著
[00:02:00.480 --> 00:02:06.880]  既然我這麼辛苦,給我一點時間做我的私人事
[00:02:06.880 --> 00:02:09.920]  這個是五十一期,最新一期的
[00:02:09.920 --> 00:02:13.520]  我覺得有什麼特別呢
[00:02:13.520 --> 00:02:17.440]  我中文是不行的,我經常打英文
[00:02:17.440 --> 00:02:19.600]  我的同工幫我翻譯做中文
[00:02:19.600 --> 00:02:24.560]  所以寫得好,是我的同工,他問筆就好
[00:02:24.560 --> 00:02:27.920]  這裡是我打,然後我講的
[00:02:27.920 --> 00:02:32.400]  因為我發覺這幾年我去香港,港崇拜也好
[00:02:32.400 --> 00:02:36.400]  有很多所謂靈恩派的弟兄姊妹看聖經
[00:02:36.400 --> 00:02:40.800]  所以這篇全部都是講靈恩派的弟兄姊妹
[00:02:40.800 --> 00:02:42.800]  為什麼要來明道社看聖經
[00:02:43.120 --> 00:02:50.160]  舉例,五旬節聖結會、神召會、四方福音會
[00:02:50.160 --> 00:02:56.080]  如果你稍為認識,四方福音會是Four Square Church
[00:02:56.080 --> 00:03:00.560]  你應該唱過它的歌,它的歌是Majesty
[00:03:00.560 --> 00:03:06.720]  是它的主席作的,那首詩歌
[00:03:06.720 --> 00:03:10.880]  我們覺得它是靈恩派,但原來在靈恩派裡面
[00:03:10.880 --> 00:03:14.640]  有些弟兄姊妹開始看聖經
[00:03:14.640 --> 00:03:18.640]  你說我們講來幹嘛?我們又不是靈恩派
[00:03:18.640 --> 00:03:20.800]  我想給自己一個例子
[00:03:20.800 --> 00:03:23.520]  靈恩派的弟兄姊妹已經看聖經了
[00:03:23.520 --> 00:03:25.760]  我們自己說自己是福音派
[00:03:25.760 --> 00:03:29.120]  又說尊重聖經的,都不看聖經
[00:03:29.120 --> 00:03:32.800]  沒有意思的了,說不通的
[00:03:32.800 --> 00:03:35.760]  我們去學人家靈恩,靈恩看聖經
[00:03:35.760 --> 00:03:38.960]  那個潮流應該這樣,不是我們去他們的
[00:03:38.960 --> 00:03:41.520]  我希望你幫我們看看,明白我們
[00:03:41.520 --> 00:03:44.160]  我特意選了不同的時段
[00:03:44.160 --> 00:03:47.520]  我們有的季刊,你知道我們的時服
[00:03:47.520 --> 00:03:51.440]  都希望你看看我們的書,上我的Facebook
[00:03:51.440 --> 00:03:54.880]  如果你是年輕的,現在不年輕都用手機了
[00:03:54.880 --> 00:03:59.600]  你想找明道社有限公司,你就可以Like
[00:03:59.600 --> 00:04:01.600]  Like了之後,你會看到我們的東西
[00:04:01.600 --> 00:04:03.360]  久不久你會看到我的樣子出來
[00:04:03.360 --> 00:04:05.840]  如果你掛念我,你可以上去看看
[00:04:06.560 --> 00:04:09.600]  有時有片段,有時有相片
[00:04:09.600 --> 00:04:12.640]  亦有時是講尷尬的消息
[00:04:12.640 --> 00:04:15.280]  同樣這裡有一張扇子
[00:04:15.280 --> 00:04:20.880]  打開後面介紹我們這個很特別的言經重書
[00:04:20.880 --> 00:04:22.160]  我不浪費時間說了
[00:04:22.160 --> 00:04:24.800]  我只說幾個作者,你已經知道不是差的了
[00:04:24.800 --> 00:04:30.720]  有鄺炳超博士、孫寶玲、馮任坤、王朱倫
[00:04:30.720 --> 00:04:34.960]  吳全仁,全部都是幫我們寫的
[00:04:34.960 --> 00:04:39.440]  桌面上有請你拿
[00:04:39.440 --> 00:04:41.680]  特別不是報道會的弟兄姊妹
[00:04:41.680 --> 00:04:44.240]  麻煩你幫我拿回教會給你的目者
[00:04:44.240 --> 00:04:46.640]  給你的傳導人或弟兄姊妹
[00:04:46.640 --> 00:04:48.640]  認識一下我們機構
[00:04:48.640 --> 00:04:52.720]  我下面的行李箱,還有的
[00:04:52.720 --> 00:04:54.000]  我有存貨的
[00:04:54.000 --> 00:04:56.000]  我不想拿那麼辛苦拿回來
[00:04:56.000 --> 00:04:58.000]  然後又拿回香港
[00:04:58.000 --> 00:04:59.280]  你幫我拿回去
[00:04:59.280 --> 00:05:01.840]  你說教會沒有那麼多人看聖經
[00:05:01.840 --> 00:05:03.760]  不要緊,你的弟兄姊妹會來的
[00:05:03.760 --> 00:05:05.760]  過境的時候你就給一點給她
[00:05:05.760 --> 00:05:07.760]  好過我拿回去或放在堆填區
[00:05:07.760 --> 00:05:09.760]  我就不想了
[00:05:09.760 --> 00:05:11.280]  OK,告白就這麼多了
[00:05:11.280 --> 00:05:12.560]  我們可以說回聖經
[00:05:12.560 --> 00:05:16.560]  這次真的請你揭開二章十四節
[00:05:16.560 --> 00:05:23.520]  剛才我們已經開始跟大家說了
[00:05:23.520 --> 00:05:26.000]  記得嗎?考考大家
[00:05:26.000 --> 00:05:28.000]  我不再問大家地理問題了
