
[00:00:00.000 --> 00:00:06.000]  我們回到最早的經文
[00:00:06.000 --> 00:00:14.000]  也是聖經提到男女的第一段經文
[00:00:14.000 --> 00:00:16.000]  《創世記》第一章
[00:00:16.000 --> 00:00:24.000]  我們由二十四節讀完第二章第三節
[00:00:24.000 --> 00:00:34.000]  《創世記》第一章二十四節到第二章第三節
[00:00:34.000 --> 00:00:36.000]  科技的發達
[00:00:36.000 --> 00:00:40.000]  我們有電腦的聖經在螢幕上
[00:00:40.000 --> 00:00:43.000]  可以我們一起讀嗎?我們同聲讀
[00:00:43.000 --> 00:00:46.000]  神說地要生出活物來
[00:00:46.000 --> 00:00:48.000]  各從其類
[00:00:48.000 --> 00:00:51.000]  生出昆蟲野獸
[00:00:51.000 --> 00:00:53.000]  各從其類
[00:00:53.000 --> 00:00:55.000]  自就這樣成了
[00:00:55.000 --> 00:00:58.000]  於是神造出野獸
[00:00:58.000 --> 00:01:00.000]  有沒有?
[00:01:00.000 --> 00:01:02.000]  不是第一、第二、第三、四節
[00:01:02.000 --> 00:01:05.000]  是第二十五節
[00:01:05.000 --> 00:01:08.000]  我們等一下
[00:01:08.000 --> 00:01:10.000]  到了
[00:01:10.000 --> 00:01:11.000]  二十五節
[00:01:11.000 --> 00:01:14.000]  於是神造出野獸
[00:01:14.000 --> 00:01:16.000]  各從其類
[00:01:16.000 --> 00:01:19.000]  生出各從其類
[00:01:19.000 --> 00:01:21.000]  地上一切昆蟲
[00:01:21.000 --> 00:01:23.000]  各從其類
[00:01:23.000 --> 00:01:26.000]  神看著是好的
[00:01:26.000 --> 00:01:27.000]  神說
[00:01:27.000 --> 00:01:30.000]  我們要照著我們的形象
[00:01:30.000 --> 00:01:33.000]  按著我們的樣式做人
[00:01:33.000 --> 00:01:36.000]  使它們管理海裡的魚
[00:01:36.000 --> 00:01:38.000]  空中的鳥
[00:01:38.000 --> 00:01:41.000]  地上的生畜和全地
[00:01:41.000 --> 00:01:45.000]  並地上所爬的一切昆蟲
[00:01:45.000 --> 00:01:49.000]  神就照著自己的形象做人
[00:01:49.000 --> 00:01:53.000]  乃是照著它的形象做男、做女
[00:01:53.000 --> 00:01:56.000]  神就賜福給它們
[00:01:56.000 --> 00:01:58.000]  又對它們說
[00:01:58.000 --> 00:02:01.000]  要生養眾多
[00:02:01.000 --> 00:02:03.000]  遍滿地面
[00:02:03.000 --> 00:02:05.000]  治理這地
[00:02:05.000 --> 00:02:08.000]  也要管理海裡的魚
[00:02:08.000 --> 00:02:10.000]  空中的鳥
[00:02:10.000 --> 00:02:14.000]  和地上各樣行動的活物
[00:02:14.000 --> 00:02:15.000]  二十九節
[00:02:15.000 --> 00:02:16.000]  神說
[00:02:16.000 --> 00:02:22.000]  看啊!我將遍地上一切結種子的菜蔬
[00:02:22.000 --> 00:02:26.000]  和一切樹上所結有核的果子
[00:02:26.000 --> 00:02:29.000]  全賜給你們作食物
[00:02:29.000 --> 00:02:34.000]  至於地上的走獸和空中的飛鳥
[00:02:34.000 --> 00:02:38.000]  並各樣爬在地上有生命的物
[00:02:38.000 --> 00:02:42.000]  我將清草賜給它們作食物
[00:02:42.000 --> 00:02:45.000]  是就這樣成了
[00:02:45.000 --> 00:02:49.000]  神看著一切所做的都甚好
[00:02:49.000 --> 00:02:54.000]  有晚上、有早晨是第六日
[00:02:54.000 --> 00:02:58.000]  天地萬物都做齊了
[00:02:58.000 --> 00:02:59.000]  到第七日
[00:02:59.000 --> 00:03:03.000]  神做物的功已經完畢
[00:03:03.000 --> 00:03:04.000]  就在第七日
[00:03:04.000 --> 00:03:07.000]  揭了它一切的功
[00:03:07.000 --> 00:03:08.000]  安息了
[00:03:08.000 --> 00:03:11.000]  神賜福給第七日
[00:03:11.000 --> 00:03:13.000]  定為聖日
[00:03:13.000 --> 00:03:14.000]  就在這日
[00:03:14.000 --> 00:03:18.000]  神揭了它一切創造的功
[00:03:18.000 --> 00:03:21.000]  就安息了
[00:03:21.000 --> 00:03:26.000]  創世記記載六日的創造
[00:03:26.000 --> 00:03:27.000]  很清楚
[00:03:27.000 --> 00:03:30.000]  人、獸、造
[00:03:30.000 --> 00:03:36.000]  不是六日創造的最高潮
[00:03:36.000 --> 00:03:39.000]  或者最高峰
[00:03:39.000 --> 00:03:43.000]  神看著這一切都甚好
[00:03:43.000 --> 00:03:45.000]  不只是說人
[00:03:45.000 --> 00:03:46.000]  其他的好
[00:03:46.000 --> 00:03:48.000]  到人的時候就甚好
[00:03:48.000 --> 00:03:49.000]  這樣讀錯了
[00:03:49.000 --> 00:03:52.000]  神看著一切所做的
[00:03:52.000 --> 00:03:56.000]  是所有六日所做的加起來
[00:03:56.000 --> 00:03:59.000]  上帝就說非常好
[00:03:59.000 --> 00:04:07.000]  人在第六日和動物一起被造
[00:04:07.000 --> 00:04:11.000]  而且在做動物的說話
[00:04:11.000 --> 00:04:12.000]  二十五節
[00:04:12.000 --> 00:04:15.000]  地上一切昆蟲
[00:04:15.000 --> 00:04:17.000]  這句說話很奇怪
[00:04:17.000 --> 00:04:23.000]  因為希伯來文用了「adama」這個字
[00:04:23.000 --> 00:04:25.000]  土地
[00:04:25.000 --> 00:04:27.000]  其實它不需要
[00:04:27.000 --> 00:04:30.000]  因為在前面後面
[00:04:30.000 --> 00:04:34.000]  它再說地上的昆蟲的時候
[00:04:34.000 --> 00:04:37.000]  它是用天地的地
[00:04:37.000 --> 00:04:38.000]  「arets」
[00:04:38.000 --> 00:04:41.000]  「adama」在二十五節出現
[00:04:41.000 --> 00:04:43.000]  是因為二十六節
[00:04:43.000 --> 00:04:46.000]  上帝說我們要做「adam」
[00:04:46.000 --> 00:04:54.000]  人和地在原文有很密切的關係
[00:04:54.000 --> 00:04:57.000]  人是屬於地的
[00:04:57.000 --> 00:05:00.000]  不是屬於天的
[00:05:00.000 --> 00:05:04.000]  上帝祝福人生養眾多
[00:05:04.000 --> 00:05:07.000]  遍滿地面
[00:05:07.000 --> 00:05:10.000]  是第二次這樣說這句祝福
[00:05:10.000 --> 00:05:14.000]  第一次相同的句語
[00:05:14.000 --> 00:05:17.000]  不過我們中文聖經就譯了
[00:05:17.000 --> 00:05:20.000]  要滋生繁多
[00:05:20.000 --> 00:05:25.000]  在充滿海中滴水
[00:05:25.000 --> 00:05:29.000]  二十二節前面說魚的
[00:05:29.000 --> 00:05:31.000]  祝福
[00:05:31.000 --> 00:05:33.000]  一翼滋生
[00:05:33.000 --> 00:05:35.000]  我們想起蚊蟲
[00:05:35.000 --> 00:05:37.000]  就覺得是低等的動物
[00:05:37.000 --> 00:05:42.000]  其實「be fruitful and multiply」
[00:05:42.000 --> 00:05:45.000]  用King James的英文容易記
[00:05:45.000 --> 00:05:49.000]  完全一樣
[00:05:49.000 --> 00:05:53.000]  甚至二章第七節
[00:05:53.000 --> 00:05:57.000]  中文聖經譯作「有靈的活人」
