
[00:00:00.000 --> 00:00:08.960]  咁呢就眨下眼呢原來呢我呢就呢廿幾年啦咁呢香港真係改變咗好多呀
[00:00:08.960 --> 00:00:16.400]  咁呀尤其是最近嗰幾年啦係咪呀咁呀咁最近呢就大家都知道呢我哋就
[00:00:16.400 --> 00:00:25.600]  焗住喺香港嗰度有排冇得出去係咪呀咁一開返關之後呢咁呢我即刻衝出去呢就返去鄉下嗰度我開下嗰度
[00:00:25.600 --> 00:00:42.400]  咁我返去咁我有個朋友啦我同阿太奶有個朋友咁呢就喺嗰度呢就買咗一間豪宅喎咁呢佢就住咗幾日嘅啫
[00:00:42.400 --> 00:00:58.000]  咁呢佢就同我哋講話不如你呢就幫我哋嗰度住十日八日因為我哋喺嗰度十日八日嘛幫我哋睇下有邊度漏水呀或者係咩嘅嘛嘩咁當然好啦又唔洗錢又豪宅喎咁呀Yes咁呀咁呀返咗去
[00:00:58.000 --> 00:01:19.760]  實在呢佢同我講畀個地址我哋嗰陣時呢我一睇呢我係唔知道喺邊度㗎嗱嗰個地方呢實在呢就係我長大嗰個地區嚟㗎即係好似沙田區大家係沙田區長大跟住呢就有一間屋喺沙田區大家唔知喺邊度咁囉嘩我真係唔知喺邊度
[00:01:19.760 --> 00:01:37.360]  咁後來我返到去之後呢咁就發覺原來嗰個地方呢改變得幾緊要下嘅所以大家唔好以為呢就淨係香港先係改變得緊要㗎就有好多地方都係改變緊甚至即係加拿大都係改變得就好緊要嘅
[00:01:37.360 --> 00:02:07.320]  事實上我哋嘅城市係會改變我哋會改變呢個生命係唔會停留嘅一直都會繼續係改變嘅呢個應該呢就係傳道者講嗰個虛空嗰樣嘢嚟㗎嗱首先講佢乜嘢唔係叫做虛空先啦佢一定唔係話呢好虛空呀點解呢因為都唔可以enjoy過日子咁樣佢一定唔係講一樣嘢囉
[00:02:07.320 --> 00:02:36.520]  有時我哋都會㗎嘛覺得真係好悶呀或者都唔enjoy嘅咁好虛空呀佢唔係點解呢因為佢叫人哋去享受生命㗎嘛既然佢叫人享受生命同埋佢自己係享受生命咁即是話呢佢覺得係生命係有得享受㗎囉所以唔係因為一樣嘢嘅亦都唔係呢有時我哋覺得話好虛空呀即係咩都冇用嗰個feel啦佢都一定唔係一樣嘢囉點解呢
[00:02:36.520 --> 00:03:05.960]  佢知道就因為佢同人講呢最低限度智慧係有用㗎囉佢話智慧可以保護個智者係甚至呢使到個智者呢係即係強起上嚟嘅所以佢覺得最低限度智慧係有用囉所以佢唔係嗰隻呢就係話咩都冇用嗰個囉智慧最低限度有用囉佢最有可能呢話虛空嘅原因呢就喺第十四字度嘅佢話全是虛空全是虛空
[00:03:05.960 --> 00:03:35.880]  虛空全是暴風佢自己解釋咗嗰句嘢㗎咩叫做虛空係暴風㗎嘛咩叫做暴風呀咁大家可能而家呢就感覺到aircon㗎係咪你感覺到個風但係我哋捉唔住個風㗎嘛生命都係咁嘅嘢嚟㗎嘛我哋係經歷生命嘅我哋可以享受生命嘅我哋甚至可以好enjoy我哋嘅生命但係呢生命唔係一樣嘢我哋可以捉得住嘅嘢嚟㗎嘛
