
[00:00:00.000 --> 00:00:05.280]  各位弟兄姊妹朋友平安
[00:00:05.280 --> 00:00:13.280]  今天和大家分享的題目是最大的戒命與兩個小前的奉獻
[00:00:13.280 --> 00:00:17.680]  我現在拿到下面的奉獻箱給大家看
[00:00:17.680 --> 00:00:22.240]  這些就是其中一個奉獻箱
[00:00:22.240 --> 00:00:23.920]  今天有很多新朋友
[00:00:23.920 --> 00:00:25.760]  可能你不知道什麼是奉獻
[00:00:25.760 --> 00:00:27.360]  今天和大家分享一下
[00:00:27.360 --> 00:00:29.440]  和奉獻也有關係
[00:00:29.440 --> 00:00:34.960]  教會在入口或者一些地方有一個很大的木箱
[00:00:34.960 --> 00:00:38.640]  我們教的奉獻箱在哪裡呢?
[00:00:38.640 --> 00:00:40.960]  在後面有這麼大的嗎?
[00:00:40.960 --> 00:00:42.960]  沒有的 我們那個很小的
[00:00:42.960 --> 00:00:44.160]  小到什麼程度呢?
[00:00:44.160 --> 00:00:45.840]  和這個差不多大
[00:00:45.840 --> 00:00:48.080]  這個是我們另一個奉獻箱
[00:00:48.080 --> 00:00:49.680]  這個奉獻箱是什麼時候用的?
[00:00:49.680 --> 00:00:51.040]  大家記不記得?
[00:00:51.040 --> 00:00:52.960]  吃飯 沒錯
[00:00:52.960 --> 00:00:54.960]  我去宴的時候就用的
[00:00:54.960 --> 00:00:56.960]  這個是我們弟兄設計
[00:00:56.960 --> 00:00:58.160]  這是一隻
[00:00:58.160 --> 00:01:00.160]  另外不知道大家有沒有見過
[00:01:00.160 --> 00:01:02.000]  這一類叫做什麼?
[00:01:02.000 --> 00:01:03.200]  奉獻袋
[00:01:03.200 --> 00:01:04.880]  我們也有奉獻袋
[00:01:04.880 --> 00:01:06.720]  是不是之前用的?
[00:01:06.720 --> 00:01:08.720]  我們也有奉獻袋
[00:01:08.720 --> 00:01:10.560]  不過我們現在沒有用奉獻袋
[00:01:10.560 --> 00:01:11.920]  奉獻袋是什麼時候用的呢?
[00:01:11.920 --> 00:01:14.720]  崇拜裡面有些教會有個環節
[00:01:14.720 --> 00:01:16.480]  就是奉獻的環節
[00:01:16.480 --> 00:01:19.280]  大家就存袋
[00:01:19.280 --> 00:01:20.640]  另外還有一隻
[00:01:20.640 --> 00:01:22.720]  你說這個這麼肉酸
[00:01:22.720 --> 00:01:24.720]  我們沒有用這個
[00:01:24.720 --> 00:01:26.560]  不過我們想象一下
[00:01:26.560 --> 00:01:29.920]  如果奉獻箱是透明
[00:01:29.920 --> 00:01:33.760]  其實我展示這三本給大家
[00:01:33.760 --> 00:01:35.600]  就是想大家去想想
[00:01:35.600 --> 00:01:37.040]  如果讓你選擇
[00:01:37.040 --> 00:01:44.080]  你想教會或者你想你用哪一種奉獻的方式是最好的呢?
[00:01:44.080 --> 00:01:45.200]  這個是透明的
[00:01:45.200 --> 00:01:46.720]  然後我就上網看看
[00:01:46.720 --> 00:01:49.040]  有沒有人用透明的奉獻箱呢?
[00:01:49.040 --> 00:01:50.240]  原來有的
[00:01:50.240 --> 00:01:51.040]  有的
[00:01:51.040 --> 00:01:52.800]  還可以買的
[00:01:52.800 --> 00:01:55.520]  都挺有趣的
[00:01:55.520 --> 00:01:57.200]  整個像個屋似的
[00:01:57.200 --> 00:01:59.040]  透明的奉獻箱
[00:01:59.040 --> 00:02:01.520]  那你又想選哪一種呢?
[00:02:01.520 --> 00:02:02.400]  這樣完了
[00:02:02.400 --> 00:02:03.840]  我們一起選吧
[00:02:03.840 --> 00:02:05.200]  我現在上去
[00:02:05.200 --> 00:02:07.040]  我們上一次也分享過
[00:02:07.040 --> 00:02:09.040]  最大的誡命
[00:02:09.040 --> 00:02:11.760]  就是耶穌說第一要緊的
[00:02:11.760 --> 00:02:13.200]  就是以色列
[00:02:13.200 --> 00:02:14.640]  你要聽主
[00:02:14.640 --> 00:02:17.360]  我們的神是獨一的主
[00:02:17.360 --> 00:02:21.840]  你要盡心盡性盡義盡力愛主
[00:02:21.840 --> 00:02:23.040]  你的神
[00:02:23.040 --> 00:02:24.640]  馬太芬就說
[00:02:24.640 --> 00:02:28.320]  耶穌說這是最大的
[00:02:28.320 --> 00:02:30.640]  而且是第一的
[00:02:30.640 --> 00:02:31.840]  上次分享完
[00:02:31.840 --> 00:02:33.280]  大家都很清楚
[00:02:33.280 --> 00:02:36.160]  最就只有一
[00:02:36.160 --> 00:02:37.200]  最就最
[00:02:37.200 --> 00:02:40.800]  我又問一下GPT
[00:02:40.800 --> 00:02:42.560]  他問了一個問題
[00:02:42.560 --> 00:02:45.840]  我說你看最上那裡
