
[00:00:00.000 --> 00:00:06.000]  親愛的主,我們每一次要打開祢的說話來研讀的時候
[00:00:06.000 --> 00:00:11.000]  我們都要傳一個謹慎、賤敬的心
[00:00:11.000 --> 00:00:17.000]  因為知道祢的話是我們生命的糧食
[00:00:17.000 --> 00:00:22.000]  祢用祢的說話、祢的真道來餵養我們
[00:00:22.000 --> 00:00:30.000]  但我們真的很需要在祢的面前傳一個謙卑等候的靈
[00:00:30.000 --> 00:00:37.000]  讓我們聽得見祢所說的
[00:00:37.000 --> 00:00:44.000]  讓我們能夠明白,更加幫助我們能夠去進行
[00:00:44.000 --> 00:00:49.000]  如果我們單單只是討論,有一些知識
[00:00:49.000 --> 00:00:54.000]  就算是聖經裡面的說話都對我們益處不大
[00:00:54.000 --> 00:00:58.000]  所以我們求主不單幫助我們
[00:00:58.000 --> 00:01:02.000]  在這段時間我們可以彼此勉勵
[00:01:02.000 --> 00:01:05.000]  更加重要的是在我們的生命裡面
[00:01:05.000 --> 00:01:12.000]  我們怎樣可以去實踐祢的教導
[00:01:12.000 --> 00:01:15.000]  我們傳了這樣的心來到祢的面前
[00:01:15.000 --> 00:01:20.000]  求聖靈與我們同在,幫助我們
[00:01:20.000 --> 00:01:24.000]  來做我們真理的導師,來親自指教我們
[00:01:24.000 --> 00:01:26.000]  奉耶穌基督的名義
[00:01:26.000 --> 00:01:40.000]  上一堂我們已經開始看了十誡開頭的兩段
[00:01:40.000 --> 00:01:53.000]  關鍵我們說過,第一,十誡的開始不是不可,而是我事
[00:01:53.000 --> 00:02:01.000]  第一誡,如果我們還喜歡習慣用慣了「誡」字
[00:02:01.000 --> 00:02:07.000]  第一誡不是除我以外,你不可有別的神
[00:02:07.000 --> 00:02:12.000]  但是上帝一開始說的是,我是耶和華你的神
[00:02:12.000 --> 00:02:23.000]  你已經認識了耶和華這位從埃及遺留之地釋放我們的神
[00:02:23.000 --> 00:02:29.000]  是因為你認識了祂,所以不是不可以有其他的神
[00:02:29.000 --> 00:02:34.000]  是不需要,對你來說不是你做決定的
[00:02:34.000 --> 00:02:39.000]  是你現在去選擇的,而是對你來說,你是被動的
[00:02:39.000 --> 00:02:44.000]  你是接受了耶和華上帝的拯救和恩典
[00:02:44.000 --> 00:02:50.000]  對你來說,再沒有其他的神在我的面前
[00:02:50.000 --> 00:02:55.000]  我開頭,我結束,這是第一句
[00:02:55.000 --> 00:03:04.000]  第二句,我們也嘗試討論過,關鍵在於這些像
[00:03:04.000 --> 00:03:10.000]  究竟是耶和華以外的偶像呢?
[00:03:10.000 --> 00:03:20.000]  抑或是指敬拜耶和華,以神像來敬拜耶和華
[00:03:20.000 --> 00:03:26.000]  我猜如果我們將第二句的說話
[00:03:26.000 --> 00:03:30.000]  按馬丁路德和羅馬天主教會的傳統
[00:03:30.000 --> 00:03:34.000]  仍然歸入第一界,即是說
[00:03:34.000 --> 00:03:40.000]  不可有別的神,就等於不可雕刻偶像
[00:03:40.000 --> 00:03:47.000]  這很明顯是在說其他的神,其他的假神
[00:03:47.000 --> 00:03:54.000]  我們之所以不贊成這樣的解釋
[00:03:54.000 --> 00:03:58.000]  有幾個原因,我們嘗試去看
[00:03:58.000 --> 00:04:04.000]  春埃及記同一章20章的下文第22節開始
[00:04:04.000 --> 00:04:10.000]  上帝在那裡禁止以色列人不要做神像
[00:04:10.000 --> 00:04:17.000]  是直接很清楚指出,那個神像是代表耶和華
[00:04:17.000 --> 00:04:25.000]  新命記提到,他們見不到在西乃在河列向他們說話的耶和華
[00:04:25.000 --> 00:04:28.000]  有任何的形象
[00:04:28.000 --> 00:04:36.000]  所以這裡所說的,我們說最基本的先是敬拜耶和華
[00:04:36.000 --> 00:04:40.000]  不需要用任何的像
[00:04:40.000 --> 00:04:46.000]  當然連帶說下去,你拜其他的神已經不對
[00:04:46.000 --> 00:04:51.000]  再用偶像去敬拜,就更加錯上加錯
[00:04:51.000 --> 00:04:54.000]  這個不需要討論的,我們大家都明白的
[00:04:54.000 --> 00:05:01.000]  在今天,我們已經在華人教會的歷史裡
[00:05:01.000 --> 00:05:06.000]  敬拜偶像是大家知道不能妥協的事
[00:05:06.000 --> 00:05:12.000]  但是為什麼上帝要禁止敬拜他的時候
[00:05:12.000 --> 00:05:14.000]  真神,不是敬拜假神
[00:05:14.000 --> 00:05:21.000]  敬拜真神的時候,不可以用像呢
[00:05:21.000 --> 00:05:26.000]  事實上祭壇,如果你讀春埃及記,新命記
[00:05:26.000 --> 00:05:32.000]  這個壇也是迦南其他宗教的風俗
[00:05:32.000 --> 00:05:37.000]  所以這裡的關鍵不是說,其他宗教用這種方法敬拜
[00:05:37.000 --> 00:05:41.000]  我們敬拜獨一的真神,一定是與別不同的
[00:05:41.000 --> 00:05:47.000]  不是,大家都在壇上獻祭,這是所有宗教都有的禮儀
[00:05:47.000 --> 00:05:50.000]  特別在舊約的聖經背景裡
[00:05:50.000 --> 00:05:54.000]  所以我們再問多一個問題
[00:05:54.000 --> 00:06:01.000]  在春埃及記,上帝在西乃山上除了頒布十誡
[00:06:01.000 --> 00:06:04.000]  還教他們做會幕
[00:06:04.000 --> 00:06:11.000]  而在做會幕的經文中間,我們讀到的是金牛獨的事件
[00:06:11.000 --> 00:06:16.000]  金牛獨的事件,又再一次告訴我們,很清楚的經文說
[00:06:16.000 --> 00:06:19.000]  這個是帶領你們春埃及的神
[00:06:19.000 --> 00:06:26.000]  明天我們向耶和華守節,對著金牛獨向耶和華守節
[00:06:26.000 --> 00:06:29.000]  這個不是其他的神
[00:06:29.000 --> 00:06:32.000]  金牛獨為什麼這麼得罪上帝
[00:06:32.000 --> 00:06:36.000]  我們嘗試在這個角度去問的時候
[00:06:36.000 --> 00:06:50.000]  我們發覺,人的宗教本能往往是很願意將最好的拿出來去敬拜上帝
[00:06:50.000 --> 00:06:57.000]  宗教不是邪教,宗教是人類文化的極高成就
[00:06:57.000 --> 00:07:03.000]  無論在道德操守,以至精神修養方面
[00:07:03.000 --> 00:07:14.000]  但這個同時也將上帝困在我們人的能力範圍之內
[00:07:14.000 --> 00:07:19.000]  我們能夠做得到最好的就等於上帝了
[00:07:19.000 --> 00:07:21.000]  這就是金牛獨
[00:07:21.000 --> 00:07:28.000]  在曠野的地方,能夠做出這麼高科技的金屬製成品,毫不簡單
[00:07:28.000 --> 00:07:34.000]  我們說上帝是一個愛的上帝
[00:07:34.000 --> 00:07:41.000]  上帝的愛不是在於我們能夠拿出什麼來跟祂交換
[00:07:41.000 --> 00:07:47.000]  上帝的愛純粹是因為祂愛我們
[00:07:47.000 --> 00:07:55.000]  祂願意祝福,願意幫助,願意在我們的生命當中改變我們
