
[00:00:00.000 --> 00:00:05.000]  大家好,我想問一件事,昨晚聽過郭台銘講座,
[00:00:05.000 --> 00:00:09.000]  他說要全部人做完,
[00:00:09.000 --> 00:00:14.000]  在拉薩講了一個很多大把的講座,
[00:00:14.000 --> 00:00:16.000]  當然不是這個題目,
[00:00:16.000 --> 00:00:19.000]  其實今晚這個題目要作一個答案,
[00:00:19.000 --> 00:00:25.000]  極端的,都是同樣的,我認識很多人,
[00:00:25.000 --> 00:00:27.000]  不過問題就是幾何安若,
[00:00:27.000 --> 00:00:36.000]  他說如果成長是大件事,成長就正常大,
[00:00:36.000 --> 00:00:44.000]  即是兩可,即是你兒子或女兒讀書讀得很辛苦,
[00:00:44.000 --> 00:00:49.000]  朋友不喜歡看,反過來你也不喜歡看,
[00:00:49.000 --> 00:00:57.000]  或者家族中男一類或中女一類,一是要成長,
[00:00:57.000 --> 00:01:04.000]  要成長的第一,他就會對男女更難,
[00:01:04.000 --> 00:01:09.000]  肥材齡全部都覺得過了,
[00:01:09.000 --> 00:01:14.000]  都表達看透了,應該幫一些到達不了的人,
[00:01:14.000 --> 00:01:18.000]  你的兒女就要自願嫁,
[00:01:18.000 --> 00:01:22.000]  如果你的兒女讀不上書,讀書,
[00:01:22.000 --> 00:01:26.000]  他們喜歡去做黑白,或者拍拍人家的身,
[00:01:26.000 --> 00:01:29.000]  你相處不好,他們就出走,
[00:01:29.000 --> 00:01:35.000]  最後很老祖,很內疚,就變成了正常人,
[00:01:35.000 --> 00:01:38.000]  所以這是一個很重要的決定,
[00:01:38.000 --> 00:01:41.000]  在誰手上呢?在你手上,
[00:01:41.000 --> 00:01:46.000]  每日我都好像有種蝴蝶種,經常做了日記,
[00:01:46.000 --> 00:01:51.000]  我經常收到這幾天都是很厲害的,
[00:01:51.000 --> 00:01:55.000]  很厲害的,個個全部都記住,
[00:01:55.000 --> 00:02:01.000]  就是一個人的家庭有兩個兒女,
[00:02:01.000 --> 00:02:05.000]  一個就變成了秀身,
[00:02:05.000 --> 00:02:10.000]  一個就變成了男人,
[00:02:10.000 --> 00:02:15.000]  女兒就自殺,
[00:02:15.000 --> 00:02:20.000]  男朋友就想救她,
[00:02:20.000 --> 00:02:24.000]  把她推出去,放飾她,
[00:02:24.000 --> 00:02:28.000]  我父母很不喜歡,因為要互戀愛,
[00:02:28.000 --> 00:02:32.000]  所以我爸爸就發現,
[00:02:32.000 --> 00:02:37.000]  為什麼我家裡有這麼多女生,
[00:02:37.000 --> 00:02:42.000]  你看她有多少個,我叫她家人,
[00:02:42.000 --> 00:02:45.000]  我年輕的時候收到一個電郵,
[00:02:45.000 --> 00:02:48.000]  有一個女孩子23歲,
[00:02:48.000 --> 00:02:51.000]  她本來很好的,她開著學校讀書,
