
[00:00:00.000 --> 00:00:02.180]  各位早晨 主席
[00:00:02.180 --> 00:00:05.600]  這是我第一次在這個地方跟大家分享整個說話
[00:00:05.600 --> 00:00:07.060]  上一次來的時候
[00:00:07.060 --> 00:00:10.360]  就在那個… 我不懂得說那間堂
[00:00:10.360 --> 00:00:12.800]  就是那個謝西人堂的地方聚會
[00:00:12.800 --> 00:00:16.860]  其實這次也有一點難為了主席
[00:00:16.860 --> 00:00:19.820]  主席剛才問我 開會前問我
[00:00:19.820 --> 00:00:22.640]  要不要讀經文?我說讀就很長
[00:00:22.640 --> 00:00:24.520]  不讀就不完整
[00:00:24.520 --> 00:00:26.360]  所以他最後選擇很急的讀
[00:00:26.360 --> 00:00:30.900]  謝謝你幫忙在有限的時間裡
[00:00:30.900 --> 00:00:34.480]  將這段經文很重要的訊息跟我們說
[00:00:34.480 --> 00:00:37.320]  剛才在敬拜的時候
[00:00:37.320 --> 00:00:38.900]  敬拜隊帶領我來唱一首詩歌
[00:00:38.900 --> 00:00:40.680]  有一首詩歌我不懂得唱的
[00:00:40.680 --> 00:00:44.080]  後來看見原來要堅守播道心
[00:00:44.080 --> 00:00:47.500]  我想應該是你們30週年的一個很特別
[00:00:47.500 --> 00:00:50.040]  弟兄姊妹創作的一首詩歌
[00:00:50.040 --> 00:00:51.600]  特別提到播道會的時間
[00:00:51.600 --> 00:00:54.920]  我也想將播道神學院的文案帶給大家
[00:00:54.920 --> 00:00:58.640]  我們播道神學院在香港已經是85週年了
[00:00:58.640 --> 00:01:02.040]  如果有機會在10月重返香港的話
[00:01:02.040 --> 00:01:04.840]  歡迎你們參加我們的院慶
[00:01:04.840 --> 00:01:08.760]  我在播道會已經有很多年的時間
[00:01:08.760 --> 00:01:10.240]  回頭一看的時候
[00:01:10.240 --> 00:01:16.120]  由我1979年在第一間播道會
[00:01:16.120 --> 00:01:17.960]  去做習神學生的時候
[00:01:17.960 --> 00:01:21.200]  轉眼間差不多已經有接近40年的時間
[00:01:21.200 --> 00:01:24.920]  所以雖然靈福堂我不是很認識
[00:01:24.920 --> 00:01:28.480]  但是能夠去到一間播道會的堂會
[00:01:28.480 --> 00:01:30.200]  我覺得特別有親切感的
[00:01:30.200 --> 00:01:33.920]  我希望神使用不同的地方
[00:01:33.920 --> 00:01:35.360]  不同的地方的播道會
[00:01:35.360 --> 00:01:37.840]  能夠成就祂自己的心意
[00:01:37.840 --> 00:01:41.360]  我也代表播道神學院帶了一些
[00:01:41.360 --> 00:01:42.920]  不知道可不可以說是禮物
[00:01:42.920 --> 00:01:44.440]  一些手信給大家
[00:01:44.440 --> 00:01:45.840]  我帶了三本書
[00:01:45.840 --> 00:01:48.360]  我很想你們有機會看一下
[00:01:48.360 --> 00:01:52.400]  除了我寫的一本叫《聖經論》之外
[00:01:52.400 --> 00:01:53.800]  我帶了一套書
[00:01:53.800 --> 00:01:58.440]  將在播道會很多年的宣教士許得利姑娘
[00:01:58.440 --> 00:02:00.360]  可能有部分人已經認識她
[00:02:00.360 --> 00:02:01.800]  還有她爸爸
[00:02:01.800 --> 00:02:05.120]  她爸爸是大約1911年
[00:02:05.120 --> 00:02:08.400]  從美國去到內蒙古的宣教士
[00:02:08.400 --> 00:02:12.560]  兩個人的生平寫了兩本書
[00:02:12.560 --> 00:02:15.320]  歡迎你們一會兒到外面參考一下
[00:02:15.320 --> 00:02:16.520]  或者需要的時候
[00:02:16.520 --> 00:02:19.840]  看看怎樣可以上網訂得到的
[00:02:19.840 --> 00:02:23.360]  今天是聖餓和聖餐的主日
[00:02:23.360 --> 00:02:25.440]  所以時間是比較有限
[00:02:25.440 --> 00:02:27.160]  當我想起聖餓主日的時候
[00:02:27.160 --> 00:02:28.440]  其實我都是門外漢
[00:02:28.440 --> 00:02:31.440]  我對聖餓的認識是非常的膚淺
[00:02:31.440 --> 00:02:36.040]  但我相信基督教說的聖餓
[00:02:36.040 --> 00:02:39.280]  最後都是為了在崇拜裏面
[00:02:39.280 --> 00:02:40.840]  能夠帶領弟兄姊妹
[00:02:40.840 --> 00:02:43.960]  更好、更真的敬拜上帝
[00:02:43.960 --> 00:02:45.760]  所以我就想起這段聖經和大家分享
[00:02:45.760 --> 00:02:49.120]  就是《約翰福音》第四章一到三十節
[00:02:49.120 --> 00:02:51.640]  這段聖經可以翻開
[00:02:51.640 --> 00:02:53.960]  其實這段經文如果更加完整一點
[00:02:53.960 --> 00:02:57.360]  應該是第一節到第四十二節
[00:02:57.360 --> 00:02:58.280]  但因為時間關係
[00:02:58.280 --> 00:03:02.200]  我們只停在三十節的地方
[00:03:02.200 --> 00:03:04.440]  我曾經聽過一個這樣的故事
[00:03:04.440 --> 00:03:06.440]  在一個農場裏面
[00:03:06.440 --> 00:03:08.840]  有隻雞和一隻豬
[00:03:08.840 --> 00:03:12.520]  很感激牠的主人對牠們的關心
[00:03:12.520 --> 00:03:13.920]  對牠們的幫忙
[00:03:13.920 --> 00:03:16.720]  所以這隻雞和一隻豬就商量一下
[00:03:16.720 --> 00:03:18.880]  我們是不是應該好好回報
[00:03:18.880 --> 00:03:21.280]  報答、多謝我們的主人呢?
