
[00:00:00.000 --> 00:00:09.580]  有一次有兩個基督徒坐在一起
[00:00:09.580 --> 00:00:14.320]  他們在一起交談
[00:00:14.320 --> 00:00:17.800]  其中一個基督徒他很喜歡說話
[00:00:17.800 --> 00:00:25.600]  他坐在一起的時候 他說話美美動聽不停地說
[00:00:25.600 --> 00:00:33.840]  而且當他在一些基督徒群體聚會裡面的傾談
[00:00:33.840 --> 00:00:40.680]  也經常用很多屬靈的用語
[00:00:40.680 --> 00:00:46.760]  去說上帝怎樣幫助他 上帝怎樣帶領他
[00:00:46.760 --> 00:00:53.920]  甚至有時候說到上帝怎樣向他特別的啟示
[00:00:53.920 --> 00:01:02.560]  有一次他就和另外一個基督徒坐在一起的時候
[00:01:02.560 --> 00:01:08.600]  他就這樣說 他說感謝主啊
[00:01:08.600 --> 00:01:15.520]  我很蒙主的福音 上帝很祝福我
[00:01:15.520 --> 00:01:21.240]  經常都給我有很多的經歷、體會等等
[00:01:21.240 --> 00:01:26.120]  所以我每做一份工作
[00:01:26.120 --> 00:01:29.800]  有上帝的靈引導我進入這份工作當中
[00:01:29.800 --> 00:01:37.800]  你知道我最近有做一份幽差
[00:01:37.800 --> 00:01:43.560]  上帝愛我愛到真的很貼心
[00:01:43.560 --> 00:01:56.440]  首先人工高 福利好 最重要是不怎麼工作
[00:01:56.440 --> 00:02:02.200]  但是很可惜 一個這樣的環境
[00:02:02.200 --> 00:02:09.680]  原來最後讓我知道那個老闆不是基督徒
[00:02:09.680 --> 00:02:16.800]  在我工作的環境裡也沒有什麼基督徒
[00:02:16.800 --> 00:02:22.800]  於是我就祈禱 不斷的懇求上帝
[00:02:22.800 --> 00:02:28.600]  給我一份新的工作 我要在祝福裡面
[00:02:28.600 --> 00:02:32.160]  帶更多的祝福給其他的人
[00:02:32.160 --> 00:02:37.520]  誰知道我真的祈禱 真是成為事實
[00:02:37.520 --> 00:02:43.040]  後來真是一個基督徒的老闆
[00:02:43.040 --> 00:02:47.600]  認識我請我去做他的工作
[00:02:47.600 --> 00:02:55.440]  在這份工作裡面 身邊所有做的童工都是基督徒
[00:02:55.440 --> 00:03:01.440]  你說上帝是不是很疼我呢?
[00:03:01.440 --> 00:03:07.680]  在這個時候他講完這番話 很興奮的心情
[00:03:07.680 --> 00:03:11.860]  希望對方另外一個基督徒能夠跟他說一句
[00:03:11.860 --> 00:03:14.600]  Hallelujah 非常興奮的心情
[00:03:14.600 --> 00:03:16.600]  希望對方的基督徒可以跟他說一句
[00:03:16.600 --> 00:03:22.080]  Hallelujah 誰知道這個基督徒竟然沒有說一句
[00:03:22.080 --> 00:03:24.800]  Hallelujah 去讚美主
[00:03:24.800 --> 00:03:28.560]  這個基督徒竟然沒有說一句Hallelujah去讚美主
[00:03:28.560 --> 00:03:31.120]  這個基督徒說話要不就不說
[00:03:31.120 --> 00:03:33.360]  這個基督徒說話要不就不說
[00:03:33.360 --> 00:03:35.600]  一說就中的了
[00:03:35.600 --> 00:03:37.120]  一說就中的
[00:03:37.120 --> 00:03:40.800]  他說 在我聽完你這個故事之後
[00:03:40.800 --> 00:03:43.200]  他說當我聽完你這個故事以後
[00:03:43.200 --> 00:03:46.640]  我想問你一個問題
[00:03:46.640 --> 00:03:51.800]  其實你是在侍奉你自己呢?
[00:03:51.800 --> 00:03:53.640]  你是在侍奉你自己呢?
[00:03:53.640 --> 00:03:56.800]  還是你是想真的侍奉上帝呢?
[00:03:56.800 --> 00:04:00.160]  還是你真的是想侍奉上帝?
[00:04:00.160 --> 00:04:04.040]  當他問完這個問題以後
[00:04:04.040 --> 00:04:07.800]  對方無言以對
[00:04:07.800 --> 00:04:12.240]  弟兄姊妹 這類型的分享或者傾談
[00:04:12.240 --> 00:04:15.120]  經常都發生在我們的身邊
[00:04:15.120 --> 00:04:16.440]  甚至在教會群體當中
[00:04:16.440 --> 00:04:19.280]  這種類型的傾談或者分享
[00:04:19.280 --> 00:04:21.080]  常常發生在我們身邊
[00:04:21.080 --> 00:04:23.800]  甚至在教會的弟兄姊妹身上
[00:04:23.800 --> 00:04:27.920]  但是當我們聽到這一類的分享之後
[00:04:27.920 --> 00:04:33.040]  還聽到這樣的一個基督徒的回應
[00:04:33.040 --> 00:04:37.520]  你會有什麼反應呢?
[00:04:37.520 --> 00:04:39.440]  你認為這個做回應的基督徒
[00:04:39.440 --> 00:04:42.960]  他的回應是不體會上帝的恩典呢?
[00:04:42.960 --> 00:04:49.600]  還是他說的話正正是智慧所在呢?
[00:04:49.600 --> 00:04:53.840]  很多時候我們在教會裡面
[00:04:53.840 --> 00:04:56.720]  我們都會說 啊 真是一件美事了
[00:04:56.720 --> 00:04:59.200]  在教會我們常常都會說 啊 真是一件美事了
[00:04:59.200 --> 00:05:01.920]  一個基督徒在基督徒的公司裡面
[00:05:01.920 --> 00:05:03.720]  和基督徒一起工作
[00:05:03.720 --> 00:05:06.000]  一個基督徒在一個基督徒的公司裡面
[00:05:06.000 --> 00:05:07.600]  和很多基督徒一起工作
[00:05:07.600 --> 00:05:11.160]  但這個是不是真的是祝福呢?
[00:05:11.160 --> 00:05:16.480]  是不是上帝想我們有的經驗?
[00:05:16.480 --> 00:05:20.880]  真正的侍奉是不是真的在基督徒的群體裡面做呢?
[00:05:20.880 --> 00:05:24.240]  真正的侍奉是不是真的在基督徒的群體裡面做呢?
[00:05:24.240 --> 00:05:27.080]  還是在非基督徒的群體裡面做呢?
[00:05:27.080 --> 00:05:30.240]  還是在非基督徒的群體裡面做呢?
[00:05:30.240 --> 00:05:34.320]  剛才這番對話 沒有對與錯
[00:05:34.320 --> 00:05:35.600]  沒有對與錯
