
[00:00:00.000 --> 00:00:08.000]  今天能夠在聖餐的主人和大家一起思想神的說話
[00:00:08.000 --> 00:00:09.400]  我都很期待
[00:00:09.400 --> 00:00:15.640]  因為我預備了一篇正正是聖餐有關很重要的
[00:00:15.640 --> 00:00:18.960]  從聖經裏面的一個講道
[00:00:18.960 --> 00:00:21.400]  我和大家一起來思想
[00:00:21.400 --> 00:00:25.080]  好 大家今天是聖餐的主人
[00:00:25.080 --> 00:00:31.200]  尤其是我們信徒待會會領受聖餐的禮儀
[00:00:31.200 --> 00:00:40.280]  但為什麼我們要定期不斷地舉行聖餐禮呢?
[00:00:40.280 --> 00:00:43.200]  我相信很多影子妹都會記得
[00:00:43.200 --> 00:00:46.560]  因為你會回答 耶穌基督是設立的
[00:00:46.560 --> 00:00:47.760]  我們聽祂的話
[00:00:47.760 --> 00:00:51.200]  我們就繼續如此行為紀念祂
[00:00:51.200 --> 00:00:52.600]  沒錯 正確
[00:00:52.600 --> 00:00:59.600]  所以今天我們首先回到當日耶穌設立聖餐的日子
[00:00:59.600 --> 00:01:01.280]  大家應該記得了
[00:01:01.280 --> 00:01:03.920]  耶穌什麼時候設立聖餐呢?
[00:01:03.920 --> 00:01:07.680]  就是祂最後晚餐的時間
[00:01:07.680 --> 00:01:12.360]  最後晚餐就是我們主耶穌基督離開這個世界
[00:01:12.360 --> 00:01:18.400]  上十字架之前最後一餐的禦節晚餐
[00:01:18.400 --> 00:01:22.640]  所以在那裡耶穌告訴門徒很清楚
[00:01:22.640 --> 00:01:24.760]  祂說現在我要上十字架了
[00:01:24.760 --> 00:01:31.280]  我很願意在受害已先和你們一起吃這個禦節的筵席
[00:01:31.280 --> 00:01:33.840]  但吃這個禦節的筵席
[00:01:33.840 --> 00:01:37.040]  猶太人時常都吃的
[00:01:37.040 --> 00:01:39.160]  禦節的筵席就是一個愛言
[00:01:39.160 --> 00:01:43.480]  又抹餅又喝酒或者葡萄汁
[00:01:43.480 --> 00:01:45.760]  所以他們沒什麼特別
[00:01:45.760 --> 00:01:48.120]  但耶穌說從今之後
[00:01:48.120 --> 00:01:51.040]  我就將這個很普通的筵席
[00:01:51.040 --> 00:01:54.080]  變成一個很特別的禮儀
[00:01:54.080 --> 00:01:59.640]  所以當我這次舉起這個餅來抹開
[00:01:59.640 --> 00:02:02.160]  舉起這個杯來喝的時候
[00:02:02.160 --> 00:02:06.120]  我想告訴你以後你做這種動作
[00:02:06.120 --> 00:02:07.640]  你就要記住
[00:02:07.640 --> 00:02:09.160]  我是想告訴你
[00:02:09.160 --> 00:02:12.080]  我的身體為你們抹開
[00:02:12.080 --> 00:02:13.480]  就好像這個餅一樣
[00:02:13.480 --> 00:02:15.600]  我的血為你們流出
[00:02:15.600 --> 00:02:20.160]  就好像這一杯紅酒或者葡萄汁一樣
[00:02:20.160 --> 00:02:26.680]  所以你們就將這個很普通的生活的晚餐
[00:02:26.680 --> 00:02:32.120]  變成一個信仰裡面很重要的禮儀
[00:02:32.120 --> 00:02:36.000]  所以第一樣在這個最後晚餐裡面
[00:02:36.000 --> 00:02:39.840]  他設立了聖餐這件事
[00:02:39.840 --> 00:02:42.040]  還有如果你看聖經
[00:02:42.040 --> 00:02:43.520]  原來那一晚
[00:02:43.520 --> 00:02:45.720]  你也可以想像耶穌離開
[00:02:45.720 --> 00:02:47.520]  所以那一晚真的很珍貴
[00:02:47.520 --> 00:02:49.920]  最後和門徒在一起
[00:02:49.920 --> 00:02:51.240]  這麼珍貴的時刻
[00:02:51.240 --> 00:02:53.600]  除了他要設立這個聖餐
[00:02:53.600 --> 00:02:56.640]  然後還有另外一件很重要的事
[00:02:56.640 --> 00:02:58.440]  今天我就說這兩件事
[00:02:58.440 --> 00:02:59.600]  第二件事是什麼呢
[00:02:59.600 --> 00:03:01.400]  原來你接著看下去
[00:03:01.400 --> 00:03:05.440]  在聖經的約翰福音第十四至第十六章
[00:03:05.440 --> 00:03:07.640]  連續三章都不短
[00:03:07.640 --> 00:03:10.440]  原來耶穌設立這個聖餐之後
[00:03:10.440 --> 00:03:12.520]  就說了一篇道
[00:03:12.520 --> 00:03:16.040]  那篇道通常我們叫做臨別的贈言
[00:03:16.040 --> 00:03:17.520]  因為說完之後
[00:03:17.520 --> 00:03:19.840]  接著他就說我們起身我們就去
[00:03:19.840 --> 00:03:22.520]  大家就去黑色馬尼園祈禱
[00:03:22.520 --> 00:03:24.200]  接著耶穌就被賣
[00:03:24.200 --> 00:03:25.720]  接著就上十字架
[00:03:25.720 --> 00:03:28.880]  所以這個臨別贈言
[00:03:28.880 --> 00:03:33.480]  也是耶穌很有心很想留下給門徒
[00:03:33.480 --> 00:03:37.320]  今天我們來看看這兩個最重要的事情
[00:03:37.320 --> 00:03:38.840]  有什麼意思
[00:03:38.840 --> 00:03:42.280]  如果你說究竟他為什麼要做這些事情
[00:03:42.280 --> 00:03:45.320]  我相信你和我一猜都猜到
[00:03:45.320 --> 00:03:47.920]  因為耶穌現在要離開了
[00:03:47.920 --> 00:03:50.960]  以後這些門徒包括你和我
[00:03:50.960 --> 00:03:52.440]  相信他的人
[00:03:52.440 --> 00:03:56.440]  怎麼可以繼續在我們的信仰上進步呢
[00:03:56.440 --> 00:04:00.920]  怎麼可以令我們繼續去成長呢
[00:04:00.920 --> 00:04:03.640]  這也是我們主耶穌離開之前
[00:04:03.640 --> 00:04:07.400]  很掛心和很想幫我們
[00:04:07.400 --> 00:04:10.240]  原來耶穌做這兩件事
[00:04:10.240 --> 00:04:14.160]  就是想讓我們繼續成長
[00:04:14.160 --> 00:04:16.240]  繼續進步
[00:04:16.240 --> 00:04:18.720]  你會說我也知道這個心意
