
[00:00:00.000 --> 00:00:05.520]  各位兄弟姐妹 主佬平安
[00:00:05.520 --> 00:00:13.440]  感謝神今早我們一同在此同心敬拜
[00:00:13.440 --> 00:00:21.280]  我們選讀約翰福音第十五章一到十七節
[00:00:21.280 --> 00:00:26.560]  很熟悉 但可能心裡說為什麼要讀這麼長
[00:00:26.560 --> 00:00:30.560]  這句話就行了
[00:00:30.560 --> 00:00:43.680]  約翰福音第十五章是主耶穌七次說我的最後一次
[00:00:43.680 --> 00:00:47.680]  我估你背不出那七次
[00:00:47.680 --> 00:00:52.720]  在約翰福音裡面 耶穌第一次說我是生命的糧
[00:00:52.720 --> 00:01:01.040]  我是世界的光 我是羊的門 我是好木人
[00:01:01.040 --> 00:01:03.680]  還有呢
[00:01:03.680 --> 00:01:08.720]  復活在我 生命也在我
[00:01:08.720 --> 00:01:14.160]  然後我就是道路 真理 生命
[00:01:14.160 --> 00:01:19.920]  第七次 我是真葡萄樹
[00:01:19.920 --> 00:01:27.600]  這七句話其實都是從舊約正經有典故的
[00:01:27.600 --> 00:01:32.240]  我是 中文聖經沒有這樣翻譯
[00:01:32.240 --> 00:01:39.600]  這是上帝啟示告訴摩西他是誰
[00:01:39.600 --> 00:01:42.720]  我是 你讀英文聖經
[00:01:42.720 --> 00:01:47.120]  你就會讀到這個直接從希伯來文的翻譯
[00:01:47.120 --> 00:01:50.000]  I am 我是
[00:01:50.000 --> 00:01:52.640]  這不是普通一句話
[00:01:52.640 --> 00:01:57.200]  這是上帝的名詞
[00:01:57.200 --> 00:02:02.320]  葡萄樹也是舊約正經的比喻
[00:02:02.320 --> 00:02:07.040]  《貽賽亞書》第五章 葡萄園的比喻
[00:02:07.040 --> 00:02:14.560]  這是上帝和他的子民之間的關係
[00:02:14.560 --> 00:02:18.560]  我父是栽培的人
[00:02:18.560 --> 00:02:21.760]  這就是《先知書》裏面提到
[00:02:21.760 --> 00:02:26.320]  上帝對葡萄園要做些什麼事情
[00:02:26.320 --> 00:02:28.480]  所以如果我們有時間
[00:02:28.480 --> 00:02:31.280]  我們可以慢慢從舊約正經
[00:02:31.280 --> 00:02:36.400]  去理解主耶穌來到最後一次
[00:02:36.400 --> 00:02:41.680]  七次裏面壓軸的說話
[00:02:41.680 --> 00:02:44.240]  不過今天我想和你看的
[00:02:44.240 --> 00:02:49.600]  就是你剛才所讀過的這半章的聖經
[00:02:49.600 --> 00:02:51.360]  耶穌在說些什麼
[00:02:51.360 --> 00:02:54.160]  耶穌在說一個比喻
[00:02:54.160 --> 00:02:56.160]  沒有人讀完這篇聖經之後
[00:02:56.160 --> 00:02:59.440]  會認為耶穌是一棵植物
[00:02:59.440 --> 00:03:06.000]  不是 讀聖經就連最基本都未曾讀得到
[00:03:06.000 --> 00:03:09.440]  是一個比喻 耶穌說了很多的比喻
[00:03:09.440 --> 00:03:12.800]  我是生命的量 比喻來的
[00:03:12.800 --> 00:03:16.640]  我是世界的光 比喻來的
[00:03:16.640 --> 00:03:23.840]  比喻我們要抓得到它的焦點在哪裡
[00:03:23.840 --> 00:03:26.720]  我經常用這個例子
[00:03:26.720 --> 00:03:28.880]  這個不是比喻 是真的
[00:03:28.880 --> 00:03:32.880]  我們的女兒小時候紅繃繃的臉很漂亮
[00:03:32.880 --> 00:03:35.920]  見到一些朋友會稱讚她
[00:03:35.920 --> 00:03:40.800]  哎呀 你真的好像一個蘋果
[00:03:40.800 --> 00:03:44.640]  我們不會問那個「定」在哪裡
[00:03:44.640 --> 00:03:47.040]  你抓錯了用神了
[00:03:47.040 --> 00:03:53.600]  蘋果的比喻是健康的膚色
[00:03:53.600 --> 00:03:54.240]  是不是?
[00:03:54.240 --> 00:04:00.240]  所以耶穌說真葡萄樹這個比喻
