
[00:00:00.000 --> 00:00:08.000]  我們今天繼續講聖經可信媽系列
[00:00:08.000 --> 00:00:10.000]  我們已經講了四個信息
[00:00:10.000 --> 00:00:12.000]  第一個信息我們說
[00:00:12.000 --> 00:00:14.000]  聖經真是神的話語
[00:00:14.000 --> 00:00:16.000]  是祂將自己顯示出來
[00:00:16.000 --> 00:00:20.000]  如果祂真是將自己顯示出來
[00:00:20.000 --> 00:00:24.000]  祂是怎樣將內容傳達給聖經的作者呢?
[00:00:24.000 --> 00:00:26.000]  第二個信息我們就講
[00:00:26.000 --> 00:00:28.000]  這個是聖靈的密使
[00:00:28.000 --> 00:00:31.000]  如果真是聖靈的密使
[00:00:31.000 --> 00:00:35.000]  那麼聖經的原稿就應該沒錯了
[00:00:35.000 --> 00:00:38.000]  所以第三講我們講了
[00:00:38.000 --> 00:00:41.000]  聖經的原稿真是沒錯
[00:00:41.000 --> 00:00:45.000]  上一次和大家分享了聖經的來源
[00:00:45.000 --> 00:00:47.000]  你說原稿沒錯
[00:00:47.000 --> 00:00:51.000]  但是文士抄寫聖經是會抄錯
[00:00:51.000 --> 00:00:55.000]  但我們上次是很仔細地來看
[00:00:55.000 --> 00:01:02.000]  十萬分之一的字才有一個字是錯誤
[00:01:02.000 --> 00:01:04.000]  是微之又微
[00:01:04.000 --> 00:01:06.000]  我們的確可以相信
[00:01:06.000 --> 00:01:12.000]  我們手上的聖經和原稿是相差很少很少
[00:01:12.000 --> 00:01:17.000]  今天我們要講的就是聖經裏面的神蹟奇事
[00:01:17.000 --> 00:01:22.000]  很多的自由派神學家他們都不相信神蹟
[00:01:22.000 --> 00:01:26.000]  他們說神蹟正是聖經的問題
[00:01:26.000 --> 00:01:30.000]  他們說如果聖經裏面是把所有神蹟都拿走的話
[00:01:30.000 --> 00:01:34.000]  就會有更多的人能夠相信聖經
[00:01:34.000 --> 00:01:39.000]  更多的人能夠接受耶穌基督成為他們的救主
[00:01:39.000 --> 00:01:41.000]  他們為什麼會這樣說呢?
[00:01:41.000 --> 00:01:44.000]  因為他們說現在已經是太空時代了
[00:01:44.000 --> 00:01:48.000]  還哪裏會有人相信聖經的神蹟呢?
[00:01:48.000 --> 00:01:51.000]  所以要將這些一切都拿走
[00:01:51.000 --> 00:01:55.000]  但我們在這個系列曾經講過
[00:01:55.000 --> 00:02:02.000]  神蹟其實是三個神將祂自己顯現出來的途徑之一
[00:02:02.000 --> 00:02:06.000]  第一個就是因為祂是無處不在的神
