
[00:00:00.000 --> 00:00:09.000]  刚才针研师告诉我们不要黑漫睡,不要打盹,免得被人抓了你去
[00:00:09.000 --> 00:00:11.000]  请我们同心低头,我们同祈祷
[00:00:11.000 --> 00:00:15.000]  天父我们再次感谢你给你宝贵的话语作为我们生命的指引
[00:00:15.000 --> 00:00:21.000]  求你借着你的话语去提醒、劝勉、教导、安慰、督扎,改变我们
[00:00:21.000 --> 00:00:24.000]  祈祷奉耶稣基督名号
[00:00:24.000 --> 00:00:27.000]  我们继续说劳家福音的信息
[00:00:27.000 --> 00:00:32.000]  我们经常听到一些不信的人说
[00:00:32.000 --> 00:00:38.000]  神,神迹,除非让我看一看,否则我永远不会相信
[00:00:38.000 --> 00:00:41.000]  所以西人说,Seeing is believing
[00:00:41.000 --> 00:00:45.000]  我看见就信了,我不看见的东西我就不会信
[00:00:45.000 --> 00:00:51.000]  他们以为这个Seeing is believing是合理、合科学、合逻辑
[00:00:51.000 --> 00:00:57.000]  但近代不少学者,尤其是心理学家就觉得错
[00:00:57.000 --> 00:01:00.000]  你看见的东西未必是真的
[00:01:00.000 --> 00:01:03.000]  你以为是真的,其实未必是真的
[00:01:03.000 --> 00:01:06.000]  所以心理学家就叫Perception
[00:01:06.000 --> 00:01:09.000]  你所看到的只不过是你的Perception
[00:01:09.000 --> 00:01:11.000]  未必是真的这样
[00:01:11.000 --> 00:01:14.000]  或者我们试一下做一些实验
[00:01:14.000 --> 00:01:17.000]  我在秩序表里面就夹着一张这样的图画
[00:01:17.000 --> 00:01:20.000]  我就给大家去看一看
[00:01:20.000 --> 00:01:25.000]  首先我请大家看右边上角的图画
[00:01:25.000 --> 00:01:28.000]  右边上角的图画
[00:01:28.000 --> 00:01:36.000]  我想问一问,有多少人看到一个很丑的巫婆?
[00:01:36.000 --> 00:01:39.000]  有多少人看到巫婆?
[00:01:39.000 --> 00:01:42.000]  看不看得到巫婆?
[00:01:46.000 --> 00:01:52.000]  有多少人看到一个很年轻、很漂亮的女孩?
[00:01:52.000 --> 00:01:57.000]  为什么每个人都看到漂亮的女孩,大多数都看不见巫婆?
[00:01:57.000 --> 00:02:00.000]  有多少人两样都看得到?
[00:02:00.000 --> 00:02:03.000]  有多少人两样都看不见?
[00:02:03.000 --> 00:02:06.000]  有多少人只看到一个?
[00:02:06.000 --> 00:02:09.000]  只看到漂亮的女孩?
[00:02:09.000 --> 00:02:12.000]  有多少人只看到巫婆?
[00:02:13.000 --> 00:02:16.000]  哪有巫婆在这里?
[00:02:16.000 --> 00:02:25.000]  你试一下,这边的下巴,后面的是下巴
[00:02:25.000 --> 00:02:31.000]  你以为是漂亮的女孩的下巴,其实是大鼻子
[00:02:31.000 --> 00:02:33.000]  那你看不看到?
[00:02:33.000 --> 00:02:35.000]  看到什么?
[00:02:35.000 --> 00:02:38.000]  很丑的巫婆,对不对?
[00:02:38.000 --> 00:02:48.000]  但如果你把每个人反过来看,就这样看着,就看到一个很漂亮的女孩
[00:02:48.000 --> 00:02:55.000]  有些人只看到漂亮的女孩,因为喜欢漂亮的东西,所以什么都觉得漂亮
[00:02:55.000 --> 00:03:00.000]  有些人看到巫婆,不是因为喜欢,而是怕那些丑的东西
[00:03:00.000 --> 00:03:02.000]  一见到就以为是丑的东西
[00:03:02.000 --> 00:03:08.000]  很可能你看到的东西是很受你自己的角度去看的
[00:03:08.000 --> 00:03:13.000]  我们看第二幅,第二幅图画,小一点的图画
[00:03:13.000 --> 00:03:17.000]  有多少人看到一只杯子?
[00:03:17.000 --> 00:03:22.000]  每个人都看到杯子,有多少人看到人?两个人?
[00:03:22.000 --> 00:03:25.000]  有没有人看不到两个人?
[00:03:25.000 --> 00:03:28.000]  看不到两个人?
[00:03:28.000 --> 00:03:35.000]  你不要被白色的东西控制着,你看黑色的东西,你就会看到有两个人在对着
[00:03:35.000 --> 00:03:37.000]  是不是?
[00:03:37.000 --> 00:03:44.000]  所以你看到杯子,可能你喜欢喝,尤其是颈链,你想喝多点东西
[00:03:44.000 --> 00:03:48.000]  你看到人呢?不知道,你没有需要喝
[00:03:48.000 --> 00:03:51.000]  第三个,我看了很久才看到
[00:03:51.000 --> 00:03:54.000]  Fatass
[00:03:54.000 --> 00:03:58.000]  有多少人看到一个箭嘴?
[00:03:58.000 --> 00:04:01.000]  Fatass的箭嘴
[00:04:01.000 --> 00:04:04.000]  哪里有箭嘴?有多少人看到箭嘴?请举手
[00:04:04.000 --> 00:04:07.000]  有多少人看不到箭嘴?
[00:04:07.000 --> 00:04:09.000]  大多数人都看不到箭嘴
[00:04:09.000 --> 00:04:12.000]  我给你这么近看都看不到
[00:04:12.000 --> 00:04:14.000]  Fatass的车走过,你肯定看不到
[00:04:14.000 --> 00:04:16.000]  我看不到
[00:04:16.000 --> 00:04:21.000]  我看来看去都看不到箭嘴
[00:04:21.000 --> 00:04:24.000]  我太太说,这样都看不到?
[00:04:24.000 --> 00:04:26.000]  你相信我吧,真的有箭嘴
[00:04:26.000 --> 00:04:29.000]  我凭着信心再看
[00:04:29.000 --> 00:04:32.000]  果然就是
[00:04:32.000 --> 00:04:35.000]  你相信我吧,是有的,白色
[00:04:35.000 --> 00:04:38.000]  你看看是白色的箭嘴
[00:04:38.000 --> 00:04:44.000]  是E和X之间
[00:04:44.000 --> 00:04:47.000]  有多少人看到箭嘴?请举手
[00:04:47.000 --> 00:04:49.000]  现在看到了
[00:04:49.000 --> 00:04:52.000]  以前是隐藏的
[00:04:52.000 --> 00:04:57.000]  所以不是看到才相信
[00:04:57.000 --> 00:04:59.000]  是相信才看到
[00:04:59.000 --> 00:05:02.000]  你相信我太太说的话
[00:05:02.000 --> 00:05:04.000]  那我就看到白色的箭嘴
[00:05:04.000 --> 00:05:05.000]  你相信我说的话
[00:05:05.000 --> 00:05:07.000]  所以你就看到白色的箭嘴
[00:05:07.000 --> 00:05:10.000]  你看不到就是因为你不相信我
[00:05:10.000 --> 00:05:14.000]  所以不是Seeing is Believing是错的
[00:05:14.000 --> 00:05:16.000]  Believing is Seeing
[00:05:16.000 --> 00:05:19.000]  是你相信我的时候你就看到了
[00:05:19.000 --> 00:05:23.000]  好了,我们再看右手边
[00:05:23.000 --> 00:05:25.000]  你的左手边
[00:05:25.000 --> 00:05:29.000]  上面你看到什么?
[00:05:29.000 --> 00:05:34.000]  有多少人看到兔子的?请举手
[00:05:34.000 --> 00:05:38.000]  兔子?有多少人看到小鳕的?举手
[00:05:38.000 --> 00:05:43.000]  那究竟是小鳕还是兔子?
[00:05:43.000 --> 00:05:46.000]  It all depends,看你在哪里看
[00:05:46.000 --> 00:05:50.000]  你见到小鳕的嘴是E
[00:05:50.000 --> 00:05:53.000]  那就是兔子
[00:05:53.000 --> 00:05:57.000]  你见到小鳕的嘴是小鳕
[00:05:57.000 --> 00:06:02.000]  最有趣的是你左手边下面的图
[00:06:02.000 --> 00:06:08.000]  你见不见到右手边有两个人在走路
[00:06:08.000 --> 00:06:12.000]  在走路,同一方向
[00:06:12.000 --> 00:06:19.000]  但是永远不会相遇的,为什么?
[00:06:19.000 --> 00:06:20.000]  是不是?
[00:06:20.000 --> 00:06:23.000]  你不知道上下有很多东西
[00:06:23.000 --> 00:06:26.000]  这幅是名画
[00:06:26.000 --> 00:06:30.000]  我觉得很精彩,画到你都乱了
