
[00:00:00.000 --> 00:00:05.000]  各位電影姊妹主女平安
[00:00:05.000 --> 00:00:13.000]  今年我們沙宣慶祝40週年的唐慶
[00:00:13.000 --> 00:00:19.000]  我準備了這個追本溯源的系列
[00:00:19.000 --> 00:00:27.000]  來跟大家一起崇拜彼此的提醒和鍛鍊
[00:00:27.000 --> 00:00:32.000]  我們問教會慶祝唐慶
[00:00:32.000 --> 00:00:39.000]  所算主的恩典從何說起
[00:00:39.000 --> 00:00:44.000]  我們願意謙卑聆聽
[00:00:44.000 --> 00:00:50.000]  超越歷史的局限
[00:00:50.000 --> 00:00:52.000]  雖然很具體
[00:00:52.000 --> 00:00:55.000]  現在我們流行說五利地
[00:00:55.000 --> 00:00:58.000]  但我們的信仰也屬天
[00:00:58.000 --> 00:01:06.000]  所以我們要辨識的是天賦的世界
[00:01:06.000 --> 00:01:10.000]  我們小時候很喜歡的一首聖詩
[00:01:10.000 --> 00:01:11.000]  你唱過嘛
[00:01:11.000 --> 00:01:16.000]  「這是天賦的世界」
[00:01:16.000 --> 00:01:24.000]  所以我們有六次的題目
[00:01:24.000 --> 00:01:27.000]  從上個月開始
[00:01:27.000 --> 00:01:34.000]  今天我們來到第二課
[00:01:34.000 --> 00:01:41.000]  今課的題目是福音信仰
[00:01:41.000 --> 00:01:45.000]  十六世紀宗教改革
[00:01:45.000 --> 00:01:47.000]  可能你聽過
[00:01:47.000 --> 00:01:49.000]  可能你沒聽過
[00:01:49.000 --> 00:01:51.000]  可能你知一點
[00:01:51.000 --> 00:01:53.000]  又不知一點
[00:01:53.000 --> 00:01:55.000]  不要緊
[00:01:55.000 --> 00:02:01.000]  我們想集中來看清楚的是
[00:02:01.000 --> 00:02:07.000]  500年前在教會歷史上所發生的事情
[00:02:07.000 --> 00:02:22.000]  是歷患西方教會悔改、回轉、聚焦、申約、福音的核心
[00:02:22.000 --> 00:02:25.000]  所以福音信仰是這樣解釋的
[00:02:25.000 --> 00:02:28.000]  回到聖經
[00:02:28.000 --> 00:02:34.000]  回到申約聖經的福音核心
[00:02:34.000 --> 00:02:37.000]  但十六世紀發生的事情
[00:02:37.000 --> 00:02:42.000]  跟我們第一課所討論的就很不同
[00:02:42.000 --> 00:02:44.000]  如果你上一課在這裡
[00:02:44.000 --> 00:02:48.000]  你記得我們從哪裡開始說起
[00:02:48.000 --> 00:02:53.000]  不是從我參加教會開始
[00:02:53.000 --> 00:02:55.000]  當然這是很重要的開始
[00:02:55.000 --> 00:02:56.000]  你有份了
[00:02:56.000 --> 00:02:57.000]  你出現了
[00:02:57.000 --> 00:02:59.000]  你參與了
[00:02:59.000 --> 00:03:05.000]  但是我們說教會的起源
[00:03:05.000 --> 00:03:16.000]  追上去申約一聖大公使徒的教會
[00:03:16.000 --> 00:03:21.000]  這個直到地極的使命
[00:03:21.000 --> 00:03:23.000]  有印象吧
[00:03:23.000 --> 00:03:26.000]  福音書結束的時候
[00:03:26.000 --> 00:03:29.000]  都重複強調
[00:03:29.000 --> 00:03:36.000]  所以教會如果沒有這個直到地極的使命
[00:03:36.000 --> 00:03:41.000]  到今天仍然是耶路撒冷
[00:03:41.000 --> 00:03:43.000]  無論有多少百萬人
[00:03:43.000 --> 00:03:45.000]  有多大都好
[00:03:45.000 --> 00:03:47.000]  都是一間教會
[00:03:47.000 --> 00:03:49.000]  你去朝聖
[00:03:49.000 --> 00:03:51.000]  你去打卡
[00:03:51.000 --> 00:03:53.000]  你去約旦河洗禮
[00:03:53.000 --> 00:03:55.000]  不會有沙孫
[00:03:55.000 --> 00:04:01.000]  不會有在外邦當中的不同的教會
[00:04:01.000 --> 00:04:05.000]  是因為主的使命
[00:04:05.000 --> 00:04:07.000]  吩咐我們
[00:04:07.000 --> 00:04:12.000]  從耶路撒冷猶太傳遞撒瑪利亞直到地極
[00:04:12.000 --> 00:04:16.000]  使徒行傳一章第八節
[00:04:16.000 --> 00:04:17.000]  很熟悉的金句
[00:04:17.000 --> 00:04:22.000]  我們解釋這個地極就是外邦
