
[00:00:00.000 --> 00:00:05.600]  感謝神讓我平安可以回來
[00:00:05.600 --> 00:00:11.440]  昨晚我是一大早九點半就出門
[00:00:11.440 --> 00:00:14.940]  離開菲律賓我住的地方
[00:00:14.940 --> 00:00:18.540]  本來要去兩點半的飛機
[00:00:18.540 --> 00:00:23.840]  等了三個小時 它才說那班飛機取消
[00:00:23.840 --> 00:00:27.880]  然後群情洶湧
[00:00:27.880 --> 00:00:31.920]  大家都爭著要去預約
[00:00:31.920 --> 00:00:34.640]  那個代理人就說
[00:00:34.640 --> 00:00:38.240]  很可能明天才可以有飛機回來
[00:00:38.240 --> 00:00:42.800]  今晚就會預備酒店給你們
[00:00:42.800 --> 00:00:48.440]  我就千不怨萬不要
[00:00:48.440 --> 00:00:51.760]  因為今早如果又搭不到飛機
[00:00:51.760 --> 00:00:56.280]  就真的要黃牧師上來臨時拉庫
[00:00:56.280 --> 00:00:59.280]  不過我相信他OK的
[00:00:59.280 --> 00:01:03.520]  神的靈在他身上 感謝神
[00:01:03.520 --> 00:01:07.440]  因為我開完刀 腳不是很好
[00:01:07.440 --> 00:01:10.280]  我就叫了一個輪椅
[00:01:10.280 --> 00:01:12.840]  叫了一個輪椅就慘了
[00:01:12.840 --> 00:01:15.320]  我們要搶就不夠人搶的
[00:01:15.320 --> 00:01:17.080]  走就不夠人快的
[00:01:17.080 --> 00:01:20.600]  幸好有一個神差派的天使
[00:01:20.600 --> 00:01:24.000]  是他們其中的一個代理人
[00:01:24.000 --> 00:01:29.600]  看到我這麼可憐 坐在輪椅上幫我
[00:01:29.600 --> 00:01:35.080]  本來是最後的了 後來去到前面
[00:01:35.080 --> 00:01:38.440]  是前面幾個人的
[00:01:38.440 --> 00:01:40.680]  就是最前面幾個人中間的一個
[00:01:40.680 --> 00:01:43.280]  感謝神 神恩典
[00:01:43.280 --> 00:01:47.400]  其實有很多在小事上就可以顯明
[00:01:47.400 --> 00:01:53.120]  這個地方其實說起47屆的下令會
[00:01:53.120 --> 00:01:56.320]  我就想起原來我入神學院那一年
[00:01:56.320 --> 00:02:00.280]  就是第一屆 我入神學院那一年就是第一屆
[00:02:00.280 --> 00:02:05.720]  我最少做了三年的神學院下令會的導師
[00:02:05.720 --> 00:02:10.040]  在這個地方 那時候三格床
[00:02:10.040 --> 00:02:13.640]  然後到處都是人 這個小小的地方
[00:02:13.640 --> 00:02:17.920]  可以住一百多人 你能不能想像到
[00:02:17.920 --> 00:02:20.960]  那時候真的看見神的恩典
[00:02:20.960 --> 00:02:23.520]  神的靈在這裡做工
[00:02:23.520 --> 00:02:25.040]  而在那幾年裏面
[00:02:25.040 --> 00:02:27.680]  我自己可以親眼見到神的作為
[00:02:27.680 --> 00:02:30.280]  在這個地方彰顯
[00:02:30.280 --> 00:02:33.880]  我不知道後來那些年日是怎麼樣的
[00:02:33.880 --> 00:02:36.480]  我記得有一年來過你們中間
[00:02:36.480 --> 00:02:38.320]  除了那一年之外
[00:02:38.320 --> 00:02:40.880]  其他的年日我都不是很知道
[00:02:40.880 --> 00:02:45.360]  神在我們中間是怎樣去做工
[00:02:45.360 --> 00:02:50.200]  但我相信這個工作神開始 神會繼續
[00:02:50.200 --> 00:02:54.760]  今天感謝神讓我可以再一次回到你們中間
[00:02:54.760 --> 00:02:58.560]  我也相信這一次這個地方是你們安靜
[00:02:58.560 --> 00:03:02.040]  在神面前 不是偶然的一個地方
[00:03:02.040 --> 00:03:06.840]  這個也是幾天 我相信今天我開會禮所要說的
[00:03:06.840 --> 00:03:09.760]  就是神預備給你的一個學院
[00:03:09.760 --> 00:03:12.680]  這個學院可能是四天
[00:03:12.680 --> 00:03:18.560]  但是這四天裏面 神有功課讓你來學習
[00:03:18.560 --> 00:03:21.200]  有信息讓你來聆聽
[00:03:21.200 --> 00:03:25.600]  然後有聲音讓你來回應祂的呼召
