
[00:00:00.000 --> 00:00:03.040]  如果大家有程序單
[00:00:03.040 --> 00:00:05.360]  裏面已經有這個港島大綱
[00:00:05.360 --> 00:00:06.560]  大家可以拿出來
[00:00:06.560 --> 00:00:08.960]  如果能夠請你打開聖經
[00:00:08.960 --> 00:00:10.640]  因為今天我不是只是說
[00:00:10.640 --> 00:00:12.560]  剛才讀過幾節聖經
[00:00:12.560 --> 00:00:15.600]  我們主要會說這個歷代之下
[00:00:15.600 --> 00:00:18.480]  29、30兩章的聖經
[00:00:18.480 --> 00:00:21.600]  所以講到的時候比較容易看
[00:00:21.600 --> 00:00:24.160]  好嗎 我們一起去翻開聖經
[00:00:24.160 --> 00:00:25.600]  歷代之下
[00:00:25.600 --> 00:00:27.440]  我們看這個《西西家王》
[00:00:27.440 --> 00:00:29.600]  因為關於《西西家王》的記載
[00:00:29.600 --> 00:00:30.880]  都相當多聖經
[00:00:30.880 --> 00:00:33.760]  今天我只能夠很快的跳出來跟大家說
[00:00:33.760 --> 00:00:36.640]  有機會回去可以自己去看
[00:00:36.640 --> 00:00:38.240]  也是很值得的
[00:00:38.240 --> 00:00:39.520]  為什麼說《西西家》
[00:00:39.520 --> 00:00:41.920]  因為我自己心裏面和大家都是一樣
[00:00:41.920 --> 00:00:44.880]  在過去這兩個星期很不快樂
[00:00:44.880 --> 00:00:46.960]  我看見香港所發生的事情
[00:00:46.960 --> 00:00:49.520]  或者我們看見2016年
[00:00:49.520 --> 00:00:50.720]  我們一直看下去
[00:00:50.720 --> 00:00:52.240]  發覺都不會再
[00:00:52.240 --> 00:00:54.560]  有很多可能還有越來越多
[00:00:54.560 --> 00:00:58.240]  令我們心裏面很不開心的事情
[00:00:58.240 --> 00:01:01.200]  甚至我們茶與飯和人聊天
[00:01:01.200 --> 00:01:02.240]  在辦公室
[00:01:02.240 --> 00:01:03.520]  我們在家裏面
[00:01:03.520 --> 00:01:05.680]  很多時候我們一打開電視機
[00:01:05.680 --> 00:01:07.120]  或者是我們
[00:01:07.120 --> 00:01:08.640]  總之我們都在那裏
[00:01:08.640 --> 00:01:10.160]  甚至有時候我們在那裏辯論
[00:01:10.160 --> 00:01:11.600]  誰對誰不對
[00:01:11.600 --> 00:01:13.040]  為什麼香港會搞成這樣
[00:01:13.040 --> 00:01:14.480]  究竟是誰不好
[00:01:14.480 --> 00:01:15.280]  是不是
[00:01:15.280 --> 00:01:16.080]  那些人又不好
[00:01:16.080 --> 00:01:16.800]  我們又不好
[00:01:16.800 --> 00:01:17.440]  那些人又不好
[00:01:17.440 --> 00:01:18.480]  每個人都不好
[00:01:18.480 --> 00:01:21.120]  於是大家都是很不快樂
[00:01:21.120 --> 00:01:22.080]  我一直都在想
[00:01:22.080 --> 00:01:24.720]  究竟我們在聖經裏面有什麼信息
[00:01:24.720 --> 00:01:27.520]  在這裏我想今天和大家分享一點
[00:01:27.520 --> 00:01:29.040]  我本身在心裏面的說話
[00:01:29.040 --> 00:01:31.520]  就不是幫大家決定
[00:01:31.520 --> 00:01:33.520]  究竟拿個磚頭打他
[00:01:33.520 --> 00:01:35.440]  是對還是不對
[00:01:35.440 --> 00:01:36.640]  是誰不好
[00:01:36.640 --> 00:01:37.840]  我不是說這些
