
[00:00:00.000 --> 00:00:04.000]  各位電視節目的觀眾 早安
[00:00:04.000 --> 00:00:06.000]  早安 真是
[00:00:06.000 --> 00:00:09.000]  我想見到大家的時候很開心
[00:00:09.000 --> 00:00:13.500]  因為我想你們經常都有機會在街上碰到 是吧
[00:00:13.500 --> 00:00:16.000]  我相信很多人都住大埔
[00:00:16.000 --> 00:00:17.500]  香港不容易的
[00:00:17.500 --> 00:00:20.500]  很多時候那些人去完教會
[00:00:20.500 --> 00:00:22.500]  走呢 坐不同的車
[00:00:22.500 --> 00:00:25.500]  接著就說7天之後我們再見了
[00:00:25.500 --> 00:00:27.500]  但我估計你們未必是
[00:00:27.500 --> 00:00:33.500]  你們有機會在飲茶 買菜 抽放學
[00:00:33.500 --> 00:00:37.500]  還見到一些在星期日 或者星期六
[00:00:37.500 --> 00:00:39.500]  在教會的基督徒
[00:00:39.500 --> 00:00:41.500]  你猜有什麼不同呢
[00:00:41.500 --> 00:00:43.500]  不同就是你突然間感覺到
[00:00:43.500 --> 00:00:45.500]  有一個很大的家庭
[00:00:45.500 --> 00:00:47.500]  這個家庭的感覺是強過
[00:00:47.500 --> 00:00:50.500]  我相信在香港 九龍 其他地方
[00:00:50.500 --> 00:00:52.500]  其他地方真是不容易
[00:00:52.500 --> 00:00:54.500]  如果你想一下大埔
[00:00:54.500 --> 00:00:56.500]  如果10個人有一個是基督徒
[00:00:56.500 --> 00:00:58.500]  那會是怎樣呢
[00:00:58.500 --> 00:01:00.500]  就是你見到周圍的人聊天的時候
[00:01:00.500 --> 00:01:04.500]  都會說 你今天見到耶穌了沒有
[00:01:04.500 --> 00:01:06.500]  今天我就說這個題目
[00:01:06.500 --> 00:01:10.500]  就是讓我遇見你
[00:01:10.500 --> 00:01:12.500]  其實你知不知道看聖經
[00:01:12.500 --> 00:01:14.500]  看馬太 馬可 盧迦 約翰
[00:01:14.500 --> 00:01:20.500]  都分別說三個見到耶穌的過程
[00:01:20.500 --> 00:01:22.500]  但這三個過程的人
[00:01:22.500 --> 00:01:25.500]  那些人是認識耶穌的
[00:01:25.500 --> 00:01:28.500]  是認識了有三年
[00:01:28.500 --> 00:01:31.500]  但是都不認得耶穌的
[00:01:31.500 --> 00:01:33.500]  你相不相信有一天
[00:01:33.500 --> 00:01:35.500]  你不認得你的老公呢
[00:01:35.500 --> 00:01:37.500]  或者老婆呢
[00:01:37.500 --> 00:01:39.500]  我想你不敢不認吧
[00:01:39.500 --> 00:01:41.500]  他罵你老婆都不認得
[00:01:41.500 --> 00:01:43.500]  但你相不相信一個人
[00:01:43.500 --> 00:01:46.500]  是認不出一個很熟的人呢
[00:01:46.500 --> 00:01:48.500]  有沒有可能呢
[00:01:48.500 --> 00:01:50.500]  不如我們又想一下
[00:01:50.500 --> 00:01:52.500]  剛才讀的聖經
[00:01:52.500 --> 00:01:57.500]  先見到耶穌的是
[00:01:57.500 --> 00:01:59.500]  茉大拉 瑪利亞
[00:01:59.500 --> 00:02:02.500]  其實當時是一個小組合
[00:02:02.500 --> 00:02:05.500]  還有另一個又叫瑪利亞的
[00:02:05.500 --> 00:02:07.500]  是雅各的媽媽
[00:02:07.500 --> 00:02:09.500]  還有薩羅米
[00:02:09.500 --> 00:02:11.500]  不過特別說瑪利亞
[00:02:11.500 --> 00:02:13.500]  這個茉大拉 瑪利亞
[00:02:13.500 --> 00:02:15.500]  不是耶穌的媽媽那個瑪利亞
[00:02:15.500 --> 00:02:17.500]  因為當時很多人都叫瑪利亞
[00:02:17.500 --> 00:02:20.500]  他走進去墳墓那裡
[00:02:20.500 --> 00:02:23.500]  就見到天使
[00:02:23.500 --> 00:02:25.500]  天使就說
[00:02:25.500 --> 00:02:27.500]  你現在找的
[00:02:27.500 --> 00:02:30.500]  是不是釘十字架的耶穌呢
[00:02:30.500 --> 00:02:32.500]  不過他現在不在了
[00:02:32.500 --> 00:02:34.500]  他已經復活了
[00:02:34.500 --> 00:02:37.500]  你看約翰福音
[00:02:37.500 --> 00:02:40.500]  那瑪利亞接著怎樣呢
[00:02:40.500 --> 00:02:43.500]  瑪利亞哭了
[00:02:43.500 --> 00:02:45.500]  忽然間
[00:02:45.500 --> 00:02:47.500]  他就
[00:02:47.500 --> 00:02:49.500]  耶穌出來了
[00:02:49.500 --> 00:02:51.500]  但是他哭了
[00:02:51.500 --> 00:02:53.500]  他不知道那個是耶穌
[00:02:53.500 --> 00:02:55.500]  他還猜測
[00:02:55.500 --> 00:02:59.500]  他說你是不是這道墳場的管理員
[00:02:59.500 --> 00:03:04.500]  他說如果你拿走了這個屍體
[00:03:04.500 --> 00:03:06.500]  麻煩你告訴我
[00:03:06.500 --> 00:03:08.500]  你拿去哪裡了
[00:03:08.500 --> 00:03:10.500]  我想找這個屍體
[00:03:10.500 --> 00:03:15.500]  瑪利亞看著這個耶穌
[00:03:15.500 --> 00:03:17.500]  搞錯了
[00:03:17.500 --> 00:03:20.500]  這個不是看墳場的職員
[00:03:20.500 --> 00:03:22.500]  那耶穌怎樣呢
[00:03:22.500 --> 00:03:25.500]  耶穌叫他不要哭
[00:03:25.500 --> 00:03:27.500]  接著呢
[00:03:27.500 --> 00:03:31.500]  瑪利亞仍然不知道
[00:03:31.500 --> 00:03:36.500]  也就是說連聲音都聽了都不認得
[00:03:36.500 --> 00:03:39.500]  你說眼又矇耳又聾
[00:03:39.500 --> 00:03:41.500]  瑪利亞不是90歲
[00:03:41.500 --> 00:03:44.500]  我猜他是40歲
[00:03:44.500 --> 00:03:46.500]  甚至可能還年輕
[00:03:46.500 --> 00:03:48.500]  為什麼呢
[00:03:48.500 --> 00:03:51.500]  不過後來他知道是耶穌了
[00:03:51.500 --> 00:03:53.500]  為什麼呢
[00:03:53.500 --> 00:03:55.500]  就是耶穌叫他的名字
[00:03:55.500 --> 00:03:57.500]  瑪利亞
[00:03:57.500 --> 00:03:59.500]  如果在大埔大原村
[00:03:59.500 --> 00:04:01.500]  有個人
[00:04:01.500 --> 00:04:03.500]  叫你的名字
[00:04:03.500 --> 00:04:05.500]  你一定說你怎麼認識我的
[00:04:05.500 --> 00:04:07.500]  當然認識你的
[00:04:07.500 --> 00:04:08.500]  就會叫你的名字
[00:04:08.500 --> 00:04:10.500]  但是不認識你的人叫你的名字
[00:04:10.500 --> 00:04:12.500]  而當時的地方是什麼呢
[00:04:12.500 --> 00:04:14.500]  是墳墓
[00:04:14.500 --> 00:04:16.500]  那瑪利亞馬上說什麼呢
[00:04:16.500 --> 00:04:18.500]  老師
[00:04:18.500 --> 00:04:20.500]  就是說他一直都聽了這麼多年
[00:04:20.500 --> 00:04:22.500]  耶穌講道
[00:04:22.500 --> 00:04:24.500]  他稱呼他為夫子老師
