
[00:00:00.000 --> 00:00:06.000]  曾經有人用四季來比喻人生
[00:00:06.000 --> 00:00:10.000]  春、夏、秋、冬
[00:00:10.000 --> 00:00:14.000]  我現在看下去應該有些人是初夏的
[00:00:14.000 --> 00:00:17.000]  有沒有?應該有
[00:00:17.000 --> 00:00:21.000]  有些人可能是深秋的
[00:00:21.000 --> 00:00:24.000]  不知道有沒有初冬的
[00:00:24.000 --> 00:00:27.000]  有的,都有的
[00:00:27.000 --> 00:00:31.000]  不管你是哪個季節都有它的特色
[00:00:31.000 --> 00:00:35.000]  我們都要接納神在我們生命裏面每一個階段
[00:00:35.000 --> 00:00:40.000]  而且每一個季節當他轉換的時候都有一些轉變
[00:00:40.000 --> 00:00:47.000]  特別有同工叫我一會去看看你們屋泰華的楓葉
[00:00:47.000 --> 00:00:52.000]  怎樣美麗的顏色
[00:00:52.000 --> 00:00:58.000]  也有人用日出和日落來比喻人生
[00:00:58.000 --> 00:01:01.000]  夕陽無限好
[00:01:01.000 --> 00:01:04.000]  下面那句就不是很好
[00:01:04.000 --> 00:01:07.000]  只是近黃昏
[00:01:07.000 --> 00:01:10.000]  前面那句都挺摧殘的
[00:01:10.000 --> 00:01:15.000]  後面那句就挺無奈的
[00:01:15.000 --> 00:01:21.000]  我不知道大家會不會覺得有時步入晚年或者老年的時候
[00:01:21.000 --> 00:01:26.000]  都有一種無奈無助甚至無望的感覺
[00:01:26.000 --> 00:01:29.000]  我就不是很喜歡這個比喻
[00:01:29.000 --> 00:01:31.000]  雖然它好像很美麗
[00:01:31.000 --> 00:01:34.000]  但是暗藏了一些很負面的情緒
[00:01:34.000 --> 00:01:36.000]  不是很好
[00:01:36.000 --> 00:01:41.000]  另外有人用汽車來比喻人生
[00:01:41.000 --> 00:01:45.000]  新車的時候馬力夠
[00:01:45.000 --> 00:01:47.000]  走得快
[00:01:47.000 --> 00:01:50.000]  然後根本不需要有什麼問題
[00:01:50.000 --> 00:01:54.000]  而且新車的味道都不同
[00:01:54.000 --> 00:02:00.000]  有時都希望新車的味道不要那麼快離開
[00:02:00.000 --> 00:02:03.000]  到了差不多的時候你就知道
[00:02:03.000 --> 00:02:05.000]  有時有很多問題
[00:02:05.000 --> 00:02:07.000]  要進廠修理
[00:02:07.000 --> 00:02:09.000]  有時走著走著又死著
[00:02:09.000 --> 00:02:11.000]  死著又要走著
[00:02:11.000 --> 00:02:15.000]  是不是這樣來比喻人生呢
[00:02:15.000 --> 00:02:17.000]  其實也是很負面的
[00:02:17.000 --> 00:02:21.000]  如果車老了怎麼辦
[00:02:21.000 --> 00:02:24.000]  普通就可以換駕
[00:02:24.000 --> 00:02:26.000]  我們人沒辦法換
[00:02:26.000 --> 00:02:28.000]  沒得換的
[00:02:28.000 --> 00:02:32.000]  所以我都不是很喜歡用車來比喻人生
[00:02:32.000 --> 00:02:37.000]  我喜歡用爬山來比喻人生
[00:02:37.000 --> 00:02:42.000]  爬山其實爬的時候是不是都很辛苦
[00:02:42.000 --> 00:02:44.000]  是不是
[00:02:44.000 --> 00:02:46.000]  身水身汗
[00:02:46.000 --> 00:02:48.000]  一路爬
