
[00:00:00.000 --> 00:00:06.560]  列王記合一王朝系列的第十講
[00:00:06.560 --> 00:00:10.320]  我每五講或者十講就會提醒大家
[00:00:10.320 --> 00:00:13.680]  我講這麼多的道、這麼多的系列做什麼?
[00:00:13.680 --> 00:00:16.800]  就是希望鼓勵大家一起來讀經
[00:00:16.800 --> 00:00:21.280]  如果你是一個星期聽我五篇道
[00:00:21.280 --> 00:00:25.440]  你可以是兩年半就讀完整部聖經
[00:00:25.440 --> 00:00:29.200]  而且你是會對聖經有很深入的認識
[00:00:29.200 --> 00:00:30.240]  為什麼?
[00:00:30.240 --> 00:00:34.160]  因為我是用聖經來解釋聖經
[00:00:34.160 --> 00:00:36.320]  我是用字面來解經
[00:00:36.320 --> 00:00:38.320]  所以如果大家一起讀經
[00:00:38.320 --> 00:00:41.520]  是會明白怎樣來閱讀聖經
[00:00:41.520 --> 00:00:43.760]  能夠有很深入的了解
[00:00:43.760 --> 00:00:47.920]  而我在每一個系列第一篇道
[00:00:47.920 --> 00:00:50.720]  我都是會講一個介紹
[00:00:50.720 --> 00:00:53.760]  給大家很多的資料、很多的背景
[00:00:53.760 --> 00:00:57.840]  以致能夠更加深入明白聖經
[00:00:57.840 --> 00:01:02.320]  我今天要講的是列王紀上第十一章
[00:01:02.320 --> 00:01:06.400]  要講所羅門最後的故事
[00:01:06.400 --> 00:01:08.400]  他人生最後的故事
[00:01:08.400 --> 00:01:11.760]  我給的題目是愚昧的智者
[00:01:11.760 --> 00:01:13.760]  誰是愚昧的智者?
[00:01:13.760 --> 00:01:15.280]  就是所羅門
[00:01:15.280 --> 00:01:19.120]  神給他智慧成為世上最有智慧的人
[00:01:19.120 --> 00:01:22.000]  但是他就沒有用到這些智慧
[00:01:22.000 --> 00:01:24.240]  他是用了自己的手段
[00:01:24.240 --> 00:01:27.280]  很多時候作出很愚昧的行為
[00:01:27.280 --> 00:01:29.280]  所以我們都要小心
[00:01:29.280 --> 00:01:31.040]  今天的副標題就是
[00:01:31.040 --> 00:01:33.040]  心偏離神一寸
[00:01:33.040 --> 00:01:35.520]  人生偏離神一里
[00:01:35.520 --> 00:01:37.520]  當我們在心裏面
[00:01:37.520 --> 00:01:40.000]  慢慢慢慢離棄神的時候
[00:01:40.000 --> 00:01:41.520]  我們可能不覺得
[00:01:41.520 --> 00:01:44.160]  但是當我們的心偏離一寸
[00:01:44.160 --> 00:01:46.160]  我們所做出來的事
[00:01:46.160 --> 00:01:49.600]  我們的人生就會偏離神很遠
[00:01:49.600 --> 00:01:51.600]  所以我們要很小心
[00:01:51.600 --> 00:01:55.440]  愚蠢的智者就是所羅門
[00:01:55.440 --> 00:02:01.200]  聖經絕對不會忽視在聖經裏面英雄人物的缺點
