
[00:00:00.000 --> 00:00:07.000]  在30多年前,當時我在加拿大信了主沒多久之後
[00:00:07.000 --> 00:00:13.000]  有個機會就回到我自己的原居地香港
[00:00:13.000 --> 00:00:16.000]  見一見我自己一班的朋友
[00:00:16.000 --> 00:00:22.000]  然後才開始我的大學學習的時間
[00:00:22.000 --> 00:00:27.000]  當我回到香港的時候,我發現原來香港
[00:00:27.000 --> 00:00:30.000]  是一個很複雜的地方
[00:00:30.000 --> 00:00:33.000]  當我回到香港的時候,見到一班朋友
[00:00:33.000 --> 00:00:35.000]  大家見到面就很興奮
[00:00:35.000 --> 00:00:38.000]  見到你已經大半年了
[00:00:38.000 --> 00:00:43.000]  見到你現在準備升學,真的很開心
[00:00:43.000 --> 00:00:46.000]  不如你講一下過去半年發生了什麼事情
[00:00:46.000 --> 00:00:50.000]  希望我們能夠在過程當中
[00:00:50.000 --> 00:00:57.000]  去明白到,究竟你在加拿大短短半年的生活裏面
[00:00:57.000 --> 00:00:58.000]  有什麼經驗和學習
[00:00:58.000 --> 00:01:01.000]  我就和他們分享一件事
[00:01:01.000 --> 00:01:04.000]  在短短半年的過程當中
[00:01:04.000 --> 00:01:09.000]  我就認識了我們所相信的創造主
[00:01:09.000 --> 00:01:13.000]  接受耶穌的幾個請求,我相信了耶穌
[00:01:13.000 --> 00:01:17.000]  我和他的朋友其實都很熟的
[00:01:17.000 --> 00:01:22.000]  有很多時候都會出來交談
[00:01:22.000 --> 00:01:25.000]  一起吃飯,聊天
[00:01:25.000 --> 00:01:28.000]  因為我的朋友比較老
[00:01:28.000 --> 00:01:31.000]  所以通常會談一些比較深入的問題
[00:01:31.000 --> 00:01:35.000]  當我分享到這一件經歷的時候
[00:01:35.000 --> 00:01:38.000]  我的朋友第一個很熟悉的
[00:01:38.000 --> 00:01:40.000]  就和我有一個這樣的反應
[00:01:40.000 --> 00:01:42.000]  他很自然地作出了一個反應
[00:01:42.000 --> 00:01:45.000]  他說,信耶穌,信了耶穌
[00:01:45.000 --> 00:01:51.000]  你就真的有很多規矩要慢慢遵守
[00:01:51.000 --> 00:01:53.000]  而且在往後的日子
[00:01:53.000 --> 00:01:56.000]  有很多事情你都不能做了
[00:01:56.000 --> 00:02:00.000]  我就沒有再問他
[00:02:00.000 --> 00:02:03.000]  有什麼事情我可以在信了耶穌之後不能做
[00:02:03.000 --> 00:02:07.000]  不過似乎在很多人的心目中
[00:02:07.000 --> 00:02:10.000]  信耶穌是一個捆綁
[00:02:10.000 --> 00:02:13.000]  他覺得信了耶穌之後
[00:02:13.000 --> 00:02:15.000]  很多事情不能做
[00:02:15.000 --> 00:02:17.000]  究竟什麼事情不能做呢?
[00:02:17.000 --> 00:02:20.000]  我相信好事就不會說不能做的
[00:02:20.000 --> 00:02:26.000]  通常我想指的可能是一些灰色地帶的事情
[00:02:26.000 --> 00:02:29.000]  或者甚至有些過界的事情
[00:02:29.000 --> 00:02:31.000]  你未必可以做得到
[00:02:31.000 --> 00:02:34.000]  尤其是他們會明白到
[00:02:34.000 --> 00:02:37.000]  在這個世界上,充滿罪惡的世界
[00:02:37.000 --> 00:02:39.000]  人怎會不犯罪
[00:02:39.000 --> 00:02:41.000]  人怎會不說謊
[00:02:41.000 --> 00:02:45.000]  人怎會做得這麼純潔
[00:02:45.000 --> 00:02:50.000]  如果你要真的守住信耶穌的身份的話
[00:02:50.000 --> 00:02:54.000]  那你就預了很多事情
[00:02:54.000 --> 00:02:56.000]  就沒有份你了
[00:02:56.000 --> 00:02:59.000]  沒有份你可以參與了
[00:02:59.000 --> 00:03:01.000]  升官發財那些
[00:03:01.000 --> 00:03:05.000]  可能也都排到你最後才考慮到你
[00:03:05.000 --> 00:03:08.000]  經過了三十多年的日子
[00:03:08.000 --> 00:03:12.000]  經過了三十多年信主的日子之後
[00:03:12.000 --> 00:03:15.000]  到底我會不會覺得真的有很多事情
[00:03:15.000 --> 00:03:17.000]  因為我信了耶穌之後
[00:03:17.000 --> 00:03:20.000]  是掣肘重重的呢?
[00:03:20.000 --> 00:03:23.000]  很多事情不能做的呢?
[00:03:23.000 --> 00:03:25.000]  在今天我相信
[00:03:25.000 --> 00:03:28.000]  透過我們今天所看的這段經文
[00:03:28.000 --> 00:03:32.000]  其實是一個很好的反思的機會
[00:03:32.000 --> 00:03:35.000]  因為今天我們會看到聖經裡的一個人物
[00:03:35.000 --> 00:03:38.000]  他的名字叫做馬太
[00:03:38.000 --> 00:03:40.000]  你一聽到馬太
[00:03:40.000 --> 00:03:43.000]  這個人真是我們需要去了解一下
[00:03:43.000 --> 00:03:46.000]  因為他正正就是我們現在看的
[00:03:46.000 --> 00:03:49.000]  福音書馬太福音的作者
[00:03:49.000 --> 00:03:52.000]  或者我們說是一個記錄者
[00:03:52.000 --> 00:04:00.000]  他是親自去記錄有關於他自己信主的過程
[00:04:00.000 --> 00:04:03.000]  今天我們希望藉著馬太
[00:04:03.000 --> 00:04:06.000]  在他寫馬太福音的裡面
[00:04:06.000 --> 00:04:11.000]  談論他信主的過程和相關的事情
[00:04:11.000 --> 00:04:13.000]  讓我們去看一下
[00:04:13.000 --> 00:04:19.000]  究竟他怎樣透過主耶穌基督對他的連述
[00:04:19.000 --> 00:04:25.000]  而全面展示出馬太他自己是一個怎樣的靈性的人
[00:04:25.000 --> 00:04:28.000]  我相信這個題目
[00:04:28.000 --> 00:04:34.000]  也成為了我們每一個基督徒應該去進行的一個反思
[00:04:34.000 --> 00:04:38.000]  或許透過這段聖經的介紹
[00:04:38.000 --> 00:04:42.000]  同時帶我們每一個去看我們自己的信主過程
[00:04:42.000 --> 00:04:46.000]  然後再重新準確去找定
[00:04:46.000 --> 00:04:51.000]  我們蒙主呼召之後的往後的角色是什麼
[00:04:51.000 --> 00:04:55.000]  所以今天和大家一起思想的這段講道的題目
[00:04:55.000 --> 00:04:59.000]  叫做被主呼召後的往後角色
[00:04:59.000 --> 00:05:04.000]  The role as a being called disciples
[00:05:04.000 --> 00:05:06.000]  今天這段經文不是很長
[00:05:06.000 --> 00:05:08.000]  但是是一篇見證
[00:05:08.000 --> 00:05:11.000]  我們基督徒很喜歡聽見證的
[00:05:11.000 --> 00:05:14.000]  我們不妨再去看一下這段聖經
[00:05:14.000 --> 00:05:17.000]  究竟裡面的內容是說些什麼
[00:05:17.000 --> 00:05:21.000]  我們不如再打開馬太福音第九章
[00:05:21.000 --> 00:05:23.000]  第九節至到第十三節
[00:05:23.000 --> 00:05:25.000]  我們再讀多一次好不好
[00:05:25.000 --> 00:05:26.000]  不是很長的
[00:05:26.000 --> 00:05:31.000]  看一下這篇所謂的蒙召得救見證
[00:05:31.000 --> 00:05:35.000]  以及一個得救蒙呼召的人
[00:05:35.000 --> 00:05:37.000]  他往後的表現是怎麼樣的
[00:05:37.000 --> 00:05:38.000]  好不好
[00:05:38.000 --> 00:05:40.000]  我們一起找到的時候
[00:05:40.000 --> 00:05:42.000]  再次一起打開這段經文
[00:05:42.000 --> 00:05:47.000]  我找回我的大字版的聖經版本
[00:05:47.000 --> 00:05:48.000]  OK
[00:05:48.000 --> 00:05:51.000]  找到之後我們一起讀好不好
[00:05:52.000 --> 00:05:55.000]  耶穌從那裡往前走
[00:05:55.000 --> 00:05:58.000]  看見一個人名叫馬太
[00:05:58.000 --> 00:06:01.000]  坐在隧棺上
[00:06:01.000 --> 00:06:05.000]  就對他說:你跟從我來
[00:06:05.000 --> 00:06:08.000]  他就起來跟從了耶穌
[00:06:08.000 --> 00:06:12.000]  耶穌在屋裡坐直的時候
[00:06:12.000 --> 00:06:15.000]  有好些稅吏和罪人來
[00:06:15.000 --> 00:06:19.000]  與耶穌和他的門徒一同坐直
[00:06:19.000 --> 00:06:23.000]  伐利賽人看見就對耶穌的門徒說
[00:06:23.000 --> 00:06:29.000]  你們的先生為什麼和稅吏並罪人一同吃飯呢?
[00:06:29.000 --> 00:06:32.000]  耶穌聽見就說
[00:06:32.000 --> 00:06:35.000]  健康的人用不著醫生
[00:06:35.000 --> 00:06:38.000]  有病的人才得著
[00:06:38.000 --> 00:06:41.000]  經上說:我喜愛連說
[00:06:41.000 --> 00:06:43.000]  不喜愛祭祀
[00:06:43.000 --> 00:06:45.000]  這句話的意思
[00:06:45.000 --> 00:06:47.000]  你們且去揣摩
[00:06:47.000 --> 00:06:50.000]  我來本不是召義人
[00:06:50.000 --> 00:06:53.000]  乃是召罪人
[00:06:53.000 --> 00:06:56.000]  這段聖經我會分為兩個部分
[00:06:56.000 --> 00:06:58.000]  跟大家一起思想
[00:06:58.000 --> 00:07:01.000]  第一個部分是看到第九節至第十節
[00:07:01.000 --> 00:07:03.000]  我給了一個副題
[00:07:03.000 --> 00:07:07.000]  它是叫做體貼主心的理性付出
