
[00:00:00.000 --> 00:00:05.680]  歡迎每一樣我們在聆聽主的說話
[00:00:05.680 --> 00:00:08.320]  而先讓我們一齊同心低頭祈求
[00:00:08.320 --> 00:00:15.440]  護神多謝你 多謝你讓我們能夠再次回到你的根前
[00:00:15.440 --> 00:00:18.240]  並且打開你的啟示
[00:00:18.240 --> 00:00:22.800]  在你這裡去監察我們每人的心思意念
[00:00:22.800 --> 00:00:28.480]  好使能夠準確有正義來分解主你的說話
[00:00:28.480 --> 00:00:31.520]  在此為止就自獻上禱告
[00:00:31.520 --> 00:00:35.520]  讓聖靈在當中有道每一個
[00:00:35.520 --> 00:00:38.320]  使在實體崇拜的每一個弟兄姊妹
[00:00:38.320 --> 00:00:42.880]  以及在網絡上透過網絡的傳遞
[00:00:42.880 --> 00:00:45.440]  能夠去參與崇拜的每一個
[00:00:45.440 --> 00:00:50.080]  都能夠掌握到上帝你真正的意思
[00:00:50.080 --> 00:00:53.680]  並且能夠明白主你的心思
[00:00:53.680 --> 00:00:56.480]  讓我們在這個世界的裡面
[00:00:56.480 --> 00:01:02.640]  能夠合宜地恰當地活出有屬神子民應有的生命
[00:01:02.640 --> 00:01:05.120]  我們再次將這段時間交上
[00:01:05.120 --> 00:01:11.120]  求你的大力禱告奉靠主耶穌基督得聖名字而求
[00:01:11.120 --> 00:01:11.920]  阿們
[00:01:11.920 --> 00:01:16.160]  其實在這個世界的裡面
[00:01:16.160 --> 00:01:22.320]  很多人就喜歡阿諛奉承或者見風洗舌
[00:01:22.320 --> 00:01:24.320]  甚至可以這麼說
[00:01:24.320 --> 00:01:26.320]  看到哪裡有好處
[00:01:26.320 --> 00:01:31.680]  他就會去那裡被吸引進到那個群體當中
[00:01:31.680 --> 00:01:37.440]  這種情況我覺得其中一個很好的故事
[00:01:37.440 --> 00:01:39.440]  在伊索寓言裡面
[00:01:39.440 --> 00:01:42.240]  阿華德臨離盡知
[00:01:42.240 --> 00:01:49.280]  在伊索寓言裡面曾經有一個叫做鳥獸大戰的一幅圖畫
[00:01:49.280 --> 00:01:53.600]  就指道原來在不知道哪個時間
[00:01:53.600 --> 00:01:58.560]  鳥類和獸類都進行了一場戰爭
[00:01:58.560 --> 00:02:00.160]  不知道什麼原因
[00:02:00.160 --> 00:02:03.920]  可能是為了地盤或者為了謀生之類
[00:02:03.920 --> 00:02:07.440]  但是在最初的這場戰爭裡面
[00:02:07.440 --> 00:02:10.240]  鳥類就戰盡上風
[00:02:10.240 --> 00:02:11.280]  為什麼呢?
[00:02:11.280 --> 00:02:13.680]  因為有制空拳
[00:02:13.680 --> 00:02:18.400]  從空中可以打地上的走獸
