
[00:00:00.000 --> 00:00:04.000]  我們開始吧
[00:00:04.000 --> 00:00:10.000]  剛才有一位女士跟我提起
[00:00:10.000 --> 00:00:13.000]  她正在做一篇論文
[00:00:13.000 --> 00:00:17.000]  就是關於Hans-Ervon Balthasar
[00:00:17.000 --> 00:00:23.000]  天主教一個非常偉大的神學家
[00:00:23.000 --> 00:00:31.000]  我會視他為天主教或基督教
[00:00:31.000 --> 00:00:37.000]  是二十世紀少數最偉大的神學家之一
[00:00:37.000 --> 00:00:41.000]  堪稱是最偉大的神學家之一
[00:00:41.000 --> 00:00:45.000]  如果基督教以巴特作為二十世紀最偉大的神學家
[00:00:45.000 --> 00:00:50.000]  天主教就以Hans-Ervon Balthasar
[00:00:50.000 --> 00:00:59.000]  而Hans-Ervon Balthasar甚至有些地方比卡爾巴特更加精彩
[00:00:59.000 --> 00:01:03.000]  特別是他講到上帝的榮耀
[00:01:03.000 --> 00:01:06.000]  上帝的榮耀講上帝的美
[00:01:06.000 --> 00:01:09.000]  很多人講上帝的美
[00:01:09.000 --> 00:01:11.000]  很精彩的
[00:01:11.000 --> 00:01:13.000]  為什麼會提他呢
[00:01:13.000 --> 00:01:16.000]  我提到Hans-Ervon Balthasar
[00:01:16.000 --> 00:01:18.000]  就想起他寫的一本書
[00:01:18.000 --> 00:01:20.000]  叫做Man in History
[00:01:20.000 --> 00:01:26.000]  這本書裡面是借助了很多奧古斯丁的歷史哲學
[00:01:26.000 --> 00:01:36.000]  來寫這本《神學人觀》
[00:01:36.000 --> 00:01:38.000]  好,我們繼續
[00:01:38.000 --> 00:01:40.000]  我剛才很累
[00:01:40.000 --> 00:01:42.000]  整個人很累
[00:01:42.000 --> 00:01:47.000]  所以剛才講得很亂
[00:01:47.000 --> 00:01:49.000]  幸好你們沒有睡覺
[00:01:49.000 --> 00:01:57.000]  剛才我講到一個公共的空間
[00:01:57.000 --> 00:01:59.000]  如何建立公共的空間呢
[00:01:59.000 --> 00:02:01.000]  透過文化批判
[00:02:01.000 --> 00:02:04.000]  透過回應文化危機
[00:02:04.000 --> 00:02:06.000]  來展述信仰
[00:02:06.000 --> 00:02:10.000]  在這裡我稍微提一提
[00:02:10.000 --> 00:02:17.000]  小弟有一本書叫做Being and Relations
[00:02:17.000 --> 00:02:19.000]  在1987年出版的
[00:02:19.000 --> 00:02:20.000]  在外町堡
[00:02:20.000 --> 00:02:22.000]  Being and Relations
[00:02:22.000 --> 00:02:27.000]  A Theological Critique of Western Individualism and Dualism
[00:02:27.000 --> 00:02:35.000]  就是批判西方的個人主義和語言主義
[00:02:35.000 --> 00:02:41.000]  這本書我用的方法
