
[00:00:00.000 --> 00:00:07.080]  各位早安 多謝你幫忙
[00:00:07.080 --> 00:00:12.680]  剛才你看到唱歌的小朋友中英文水準很高
[00:00:12.680 --> 00:00:21.880]  我14歲的時候還不知道怎麼唱
[00:00:21.880 --> 00:00:28.280]  但他也唱了我今天的題目 護心工程
[00:00:28.280 --> 00:00:32.120]  什麼人令你快樂呢?
[00:00:32.120 --> 00:00:39.800]  什麼人令你的心經常感覺到日子是很好的呢?
[00:00:39.800 --> 00:00:48.240]  在我看小朋友的經驗裡面 有兩個極端
[00:00:48.240 --> 00:00:56.120]  一是他很認真去讀書 同時認真讀書的人
[00:00:56.120 --> 00:01:00.960]  當然擔心將來下一間學校會不會越考越好
[00:01:00.960 --> 00:01:10.280]  又擔心大學的時候能不能進到最好的大學
[00:01:10.280 --> 00:01:15.000]  於是就出了焦慮症
[00:01:15.000 --> 00:01:19.840]  另外一種是沒有興趣讀書的小朋友
[00:01:19.840 --> 00:01:25.760]  他們覺得自己學東西的能力很低
[00:01:25.760 --> 00:01:29.360]  父母都告訴他你沒用的
[00:01:29.360 --> 00:01:33.760]  所以看到同學也不開心
[00:01:33.760 --> 00:01:37.840]  覺得一輩子都不及別人
[00:01:37.840 --> 00:01:41.440]  出了抑鬱症
[00:01:41.440 --> 00:01:48.880]  其實我們教育可能會有個後遺症出現了
[00:01:48.880 --> 00:01:52.120]  出現了一班學生
[00:01:52.120 --> 00:01:55.440]  他們學東西之後結果就是焦慮或者抑鬱
[00:01:55.440 --> 00:01:58.920]  他們學習了以後就有了焦慮和憂鬱
[00:01:58.920 --> 00:02:01.400]  那究竟看到小朋友的時候
[00:02:01.400 --> 00:02:04.080]  是不是很容易看到先生是個什麼樣的人呢?
[00:02:04.080 --> 00:02:05.560]  但到小孩子的樣子
[00:02:05.560 --> 00:02:08.680]  能不能知道他的老師是怎麼樣的人呢?
[00:02:08.680 --> 00:02:10.880]  我在20多年前是教大學的
[00:02:10.880 --> 00:02:13.520]  我20多年前在大學裡面教
[00:02:13.520 --> 00:02:15.360]  每逢見新生的時候
[00:02:15.360 --> 00:02:18.480]  每次見新學生的時候
[00:02:18.480 --> 00:02:20.240]  特別做了第五年
[00:02:20.240 --> 00:02:21.400]  到了第五年
[00:02:21.400 --> 00:02:23.680]  我差不多都可以猜到
[00:02:23.680 --> 00:02:26.120]  我差不多已經估計到了
[00:02:26.120 --> 00:02:28.960]  這個申請的學生是哪一間中學來的?
[00:02:28.960 --> 00:02:31.920]  這個學生是來自哪一個中學?
[00:02:31.920 --> 00:02:34.520]  真的有些中學是很認真的中學
[00:02:34.520 --> 00:02:36.680]  真的有些中學是很認真的
