
[00:00:00.000 --> 00:00:02.000]  早晨各位朋友
[00:00:02.000 --> 00:00:04.000]  今天首先要對不起
[00:00:04.000 --> 00:00:06.000]  因為來了很早
[00:00:06.000 --> 00:00:08.000]  不過繞了很多個圈才能繞到來
[00:00:08.000 --> 00:00:10.000]  是自己有少少能力的限制
[00:00:10.000 --> 00:00:12.000]  就是看那個Google的地圖
[00:00:12.000 --> 00:00:14.000]  只是看它的箭咀指
[00:00:14.000 --> 00:00:18.000]  就沒有看它在多少尺之後轉
[00:00:18.000 --> 00:00:20.000]  所以這個是很倫敦的
[00:00:20.000 --> 00:00:22.000]  我們人生有很多人
[00:00:22.000 --> 00:00:24.000]  我們都會說
[00:00:24.000 --> 00:00:26.000]  我們都會說
[00:00:26.000 --> 00:00:30.000]  所以這個是很倫敦的
[00:00:30.000 --> 00:00:32.000]  我們人生有時候都是這樣
[00:00:32.000 --> 00:00:34.000]  我們以為自己可以
[00:00:34.000 --> 00:00:36.000]  其實很多東西是嘮嘮叨叨
[00:00:36.000 --> 00:00:38.000]  兜兜轉轉
[00:00:38.000 --> 00:00:40.000]  是不行的
[00:00:40.000 --> 00:00:44.000]  我知道今天有很多親戚朋友
[00:00:44.000 --> 00:00:48.000]  是這麼早來到這個柴灣宣導會
[00:00:48.000 --> 00:00:50.000]  我和你一樣
[00:00:50.000 --> 00:00:52.000]  都是第一次來的
[00:00:52.000 --> 00:00:54.000]  所以大家都不用那麼害怕
[00:00:54.000 --> 00:00:56.000]  這裡的人看起來都挺好
[00:00:56.000 --> 00:00:58.000]  挺純良
[00:00:58.000 --> 00:01:02.000]  最重要今天就是來聽
[00:01:02.000 --> 00:01:04.000]  聽一個叫做
[00:01:04.000 --> 00:01:06.000]  好消息福音
[00:01:06.000 --> 00:01:08.000]  我想你自己想想
[00:01:08.000 --> 00:01:10.000]  你最想聽到的是什麼
[00:01:10.000 --> 00:01:12.000]  好消息
[00:01:12.000 --> 00:01:14.000]  你聽過的好消息
[00:01:14.000 --> 00:01:16.000]  最好的
[00:01:16.000 --> 00:01:18.000]  到現在好不好
[00:01:18.000 --> 00:01:20.000]  我不知道你的心情
[00:01:20.000 --> 00:01:22.000]  是否好
[00:01:22.000 --> 00:01:24.000]  我不知道你的好消息是什麼
[00:01:24.000 --> 00:01:26.000]  可能
[00:01:26.000 --> 00:01:28.000]  可能就是
[00:01:28.000 --> 00:01:30.000]  你說牧師你也好
[00:01:30.000 --> 00:01:32.000]  兩個兒子都儲到
[00:01:32.000 --> 00:01:34.000]  我兒子也沒有儲到
[00:01:34.000 --> 00:01:36.000]  如果兒子儲到就好消息了
[00:01:36.000 --> 00:01:38.000]  可能是你最近回去
[00:01:38.000 --> 00:01:40.000]  做檢查
[00:01:40.000 --> 00:01:42.000]  檢查之後就說
[00:01:42.000 --> 00:01:44.000]  你一高二高三高
[00:01:44.000 --> 00:01:46.000]  都降低了
[00:01:46.000 --> 00:01:48.000]  沒有啊
[00:01:48.000 --> 00:01:50.000]  那就好消息
[00:01:50.000 --> 00:01:52.000]  我覺得人
[00:01:52.000 --> 00:01:54.000]  沒有好消息聽
[00:01:54.000 --> 00:01:56.000]  是真的挺沉悶的
[00:01:56.000 --> 00:01:58.000]  不過
[00:01:58.000 --> 00:02:00.000]  我很想今天
[00:02:00.000 --> 00:02:02.000]  就將這個耶穌基督
[00:02:02.000 --> 00:02:04.000]  的好消息
[00:02:04.000 --> 00:02:06.000]  那個來源
[00:02:06.000 --> 00:02:08.000]  那個意義
[00:02:08.000 --> 00:02:10.000]  和那個終點
[00:02:10.000 --> 00:02:12.000]  和大家分享一下
[00:02:12.000 --> 00:02:14.000]  最近我就在Sydney那裏
[00:02:14.000 --> 00:02:16.000]  回來
[00:02:16.000 --> 00:02:18.000]  遇到一位長輩
[00:02:18.000 --> 00:02:20.000]  他真是好
[00:02:20.000 --> 00:02:22.000]  責心人口
[00:02:22.000 --> 00:02:24.000]  就是
