
[00:00:00.000 --> 00:00:07.080]  今天主要用你
[00:00:07.080 --> 00:00:10.080]  我不知道你聽到這個題目會不會害怕
[00:00:10.080 --> 00:00:12.080]  想不想立刻離開現場
[00:00:12.080 --> 00:00:16.280]  因為我待會可能會派報名表回應
[00:00:16.280 --> 00:00:20.880]  今天其實描述一個場面
[00:00:20.880 --> 00:00:23.880]  如果大家讀聖經的時候應該很熟悉的
[00:00:23.880 --> 00:00:29.080]  上年有一次蔡司茉莉也分享得很詳細
[00:00:29.080 --> 00:00:32.480]  就是說有一天耶穌已經要去耶路撒冷
[00:00:32.480 --> 00:00:36.080]  最後被釘十字架之前的一星期
[00:00:36.080 --> 00:00:37.680]  究竟發生了甚麼事
[00:00:37.680 --> 00:00:40.880]  這就是一個進城的畫面
[00:00:40.880 --> 00:00:42.080]  進耶路撒冷
[00:00:42.080 --> 00:00:45.680]  很多人去歡迎耶穌
[00:00:45.680 --> 00:00:48.480]  如果大家想起這段很熟悉的經文
[00:00:48.480 --> 00:00:51.680]  不知道你會想起甚麼
[00:00:51.680 --> 00:00:53.280]  給幾秒鐘時間想一想
[00:00:53.280 --> 00:00:55.080]  如果你想起這個事蹟
[00:00:55.080 --> 00:00:56.280]  如果你不看聖經
[00:00:56.280 --> 00:00:59.680]  或者以前有甚麼亮光給你
[00:00:59.680 --> 00:01:02.880]  你記得些甚麼呢?
[00:01:02.880 --> 00:01:05.080]  很多時很多弟兄姊妹都說
[00:01:05.080 --> 00:01:08.480]  呂全道你經常在講道裏面提到
[00:01:08.480 --> 00:01:10.280]  看聖經不同的版本
[00:01:10.280 --> 00:01:12.080]  其實有甚麼方法?
[00:01:12.080 --> 00:01:15.480]  這是我其中一個在網上很喜歡用
[00:01:15.480 --> 00:01:17.280]  為甚麼今天講這段經文呢?
[00:01:17.280 --> 00:01:21.480]  首先我會看到和合本
[00:01:21.480 --> 00:01:23.280]  這是和合本修訂本
[00:01:23.280 --> 00:01:25.080]  你選了哪一卷書呢?
[00:01:25.080 --> 00:01:27.080]  譬如《馬福音》十一章
[00:01:27.080 --> 00:01:29.080]  它就會出十一章
[00:01:29.080 --> 00:01:32.280]  出十一章它就會說「榮入聖城」
[00:01:32.280 --> 00:01:33.880]  這一行很重要的
[00:01:33.880 --> 00:01:36.680]  所以為甚麼呂全道你經常很容易說了
[00:01:36.680 --> 00:01:41.880]  這段事蹟究竟有哪幾卷福音書記載呢?
[00:01:41.880 --> 00:01:43.680]  這裏一出就告訴你
[00:01:43.680 --> 00:01:46.480]  原來《馬太》有記載
[00:01:46.480 --> 00:01:48.080]  《路加》有記載
[00:01:48.080 --> 00:01:49.680]  《約翰》有記載
[00:01:49.680 --> 00:01:52.080]  即是《馬可》都有記載
[00:01:52.080 --> 00:01:56.480]  原來四卷福音書都有記載這件事情
[00:01:56.480 --> 00:01:58.680]  如果你很想看到這個版面
[00:01:58.680 --> 00:02:02.280]  或者學用這個系統叫Online Bible
[00:02:02.280 --> 00:02:04.680]  我已經幫你弄了一個QR Code
[00:02:04.680 --> 00:02:07.880]  這個QR Code你弄進去
[00:02:07.880 --> 00:02:12.280]  你用電話或者電腦就可以進去
[00:02:12.280 --> 00:02:13.280]  可能有些人問
[00:02:13.280 --> 00:02:19.080]  為甚麼同一件事要幾卷福音書都記載呢?
[00:02:19.080 --> 00:02:21.880]  我不知道大家知不知道出甚麼戲了
[00:02:21.880 --> 00:02:24.080]  我不喜歡幫人賣廣告的
[00:02:24.080 --> 00:02:25.880]  這一齣戲上映了
[00:02:25.880 --> 00:02:27.080]  我昨天看報導
[00:02:27.080 --> 00:02:30.280]  昨晚上映了不夠15天
[00:02:30.280 --> 00:02:32.480]  它的賣座
[00:02:32.480 --> 00:02:36.680]  即是賣到的票房是多少呢?
[00:02:36.680 --> 00:02:37.680]  多少萬?
[00:02:37.680 --> 00:02:38.880]  超過一千萬
[00:02:38.880 --> 00:02:40.480]  超過一千萬
[00:02:40.480 --> 00:02:42.080]  是在說港幣
[00:02:42.080 --> 00:02:46.480]  它現在已經是去到六千萬港幣
[00:02:46.480 --> 00:02:47.880]  不夠15天
[00:02:47.880 --> 00:02:49.680]  極有可能說預測
[00:02:49.680 --> 00:02:53.680]  是上到香港有史以來最賣座的電影
[00:02:53.680 --> 00:02:57.680]  為甚麼這個電影這麼賣座呢?
[00:02:57.680 --> 00:02:58.680]  我反而覺得
[00:02:58.680 --> 00:02:59.680]  當我看完之後
[00:02:59.680 --> 00:03:03.680]  我覺得很多的配角做得很好
[00:03:03.680 --> 00:03:06.080]  其中有一個我很欣賞
[00:03:06.080 --> 00:03:07.680]  它出場了不是很多
[00:03:07.680 --> 00:03:09.880]  它的對白都不夠十句
[00:03:09.880 --> 00:03:11.880]  但是它每次一出場
[00:03:11.880 --> 00:03:14.880]  令到人家覺得它很有氣勢
[00:03:14.880 --> 00:03:17.680]  在這裡看一個審訊
[00:03:17.680 --> 00:03:18.880]  都要坐得這麼帥
[00:03:18.880 --> 00:03:20.880]  我不知道現實能不能坐得這麼帥
[00:03:20.880 --> 00:03:23.880]  法官能不能說坐好
[00:03:23.880 --> 00:03:25.880]  坐到我們說很俗
[00:03:25.880 --> 00:03:29.880]  我就會看到一齣電影能夠賣座
[00:03:29.880 --> 00:03:33.480]  肯定不是靠一個主角
[00:03:33.480 --> 00:03:35.480]  一個男主角 一個女主角
[00:03:35.480 --> 00:03:37.880]  這齣電影要賣座有很多原因
[00:03:37.880 --> 00:03:40.080]  我那次也有看《泛氣攻心》
[00:03:40.080 --> 00:03:42.680]  它訪問的編劇
[00:03:42.680 --> 00:03:47.480]  他說我們就只有出戲一個多小時時間
[00:03:47.480 --> 00:03:49.680]  我擺每一樣東西
[00:03:49.680 --> 00:03:51.080]  我都要量度過
[00:03:51.080 --> 00:03:53.880]  我的演員說的每一句話
[00:03:53.880 --> 00:03:54.880]  我都要量度過
[00:03:54.880 --> 00:03:55.880]  如果你看《泛氣攻心》
[00:03:55.880 --> 00:03:58.080]  很多後面的公仔
[00:03:58.080 --> 00:04:00.480]  原來Mario擺位
[00:04:00.480 --> 00:04:03.880]  原來也透露了一些事情
[00:04:03.880 --> 00:04:06.280]  他就說這麼短時間
[00:04:06.280 --> 00:04:09.280]  我要將最好的東西擺出來
[00:04:09.280 --> 00:04:10.680]  其實各位電影姐妹
[00:04:10.680 --> 00:04:12.280]  我們看《聖經》一樣
[00:04:12.280 --> 00:04:13.480]  我們很多時候看的時候
[00:04:13.480 --> 00:04:14.080]  我們看完
[00:04:14.080 --> 00:04:15.480]  哦 耶穌入城
[00:04:15.480 --> 00:04:16.480]  哦 很多人歡迎祂
[00:04:16.480 --> 00:04:17.480]  哦 很多人
[00:04:17.480 --> 00:04:18.880]  這樣就完了
[00:04:18.880 --> 00:04:20.880]  但是有很多細節
[00:04:20.880 --> 00:04:23.680]  我們是微言可以有大意的
[00:04:23.680 --> 00:04:26.480]  原來很多細節我們一忽略了
[00:04:26.480 --> 00:04:29.480]  我們就可能會看少了很多東西
[00:04:29.480 --> 00:04:31.880]  因為《聖經》你雖然覺得很大本
[00:04:31.880 --> 00:04:35.480]  或者說耶穌在世上其實只有三十多年
[00:04:35.480 --> 00:04:37.680]  祂真正工作是三年
[00:04:37.680 --> 00:04:39.480]  或者多一點點
[00:04:39.480 --> 00:04:42.080]  所以祂說每一句話很重要
[00:04:42.080 --> 00:04:45.480]  《聖經》所有說話都是很寶貴
[00:04:45.480 --> 00:04:50.080]  今天我們一起將四卷福音書放在一起
[00:04:50.080 --> 00:04:53.680]  我們嘗試重溫當日耶穌入城
[00:04:53.680 --> 00:04:57.080]  有些甚麼細節我們是忽略了的
[00:04:57.080 --> 00:05:00.280]  我現在幾秒鐘帶大家去到2019年
[00:05:00.280 --> 00:05:01.480]  我去到聖地
[00:05:01.480 --> 00:05:04.080]  去到極有可能就是耶穌走過
[00:05:04.080 --> 00:05:05.480]  當然不是鋪得那麼漂亮的
[00:05:05.480 --> 00:05:07.280]  那條入城的路
[00:05:07.280 --> 00:05:09.280]  我給大家看一看
[00:05:09.280 --> 00:05:12.080]  這條路是一個斜路
[00:05:12.080 --> 00:05:13.080]  因為一會兒會說
[00:05:13.080 --> 00:05:14.680]  「鑒覽山」在山上
[00:05:14.680 --> 00:05:16.480]  耶穌要入耶路撒冷
[00:05:16.480 --> 00:05:23.080]  大家看到那邊就是耶路撒冷城的地方
[00:05:23.080 --> 00:05:27.480]  這條路就是耶穌一路走下去
[00:05:27.480 --> 00:05:29.480]  當日耶穌當然不是坐車
[00:05:29.480 --> 00:05:33.280]  那他在《聖經》說是坐著一個甚麼?
[00:05:33.280 --> 00:05:34.480]  「廬」區
[00:05:34.480 --> 00:05:35.880]  「廬」區是甚麼呢?
[00:05:35.880 --> 00:05:38.680]  「廬」區和「廬」有分別嗎?
[00:05:38.680 --> 00:05:40.080]  有嗎?
[00:05:40.080 --> 00:05:43.280]  有!多了一個「區」字
[00:05:43.280 --> 00:05:45.280]  那究竟有甚麼分別呢?
[00:05:45.280 --> 00:05:46.280]  如果…
[00:05:46.280 --> 00:05:47.280]  啊?
[00:05:47.280 --> 00:05:48.480]  有甚麼?
[00:05:48.480 --> 00:05:49.680]  啊!
[00:05:49.680 --> 00:05:51.680]  我們開始找到一些謎言
