
[00:00:00.000 --> 00:00:07.000]  我們感謝主,多謝施班給我們獻出這麼優美的詩歌
[00:00:07.000 --> 00:00:10.000]  今天有兩個樂器很特別的
[00:00:10.000 --> 00:00:14.000]  聽到那些江河沙沙的水聲
[00:00:14.000 --> 00:00:18.000]  聽到海洋滔滔的浪聲
[00:00:18.000 --> 00:00:21.000]  那個海洋樂器很特別
[00:00:21.000 --> 00:00:25.000]  我小時候玩的時候,小時候那些波子棋
[00:00:25.000 --> 00:00:27.000]  波子在裡面滾來滾去
[00:00:27.000 --> 00:00:29.000]  好像就是那個聲音
[00:00:29.000 --> 00:00:32.000]  我將來回去和孫子玩這個遊戲也不錯
[00:00:32.000 --> 00:00:36.000]  至於今天我們生活在這個時代裡面
[00:00:36.000 --> 00:00:41.000]  這個時代充滿很多巨大的壓力
[00:00:41.000 --> 00:00:43.000]  很多重大的挑戰
[00:00:43.000 --> 00:00:46.000]  這些事情一波接一波
[00:00:46.000 --> 00:00:49.000]  一浪接一浪的衝擊著我們
[00:00:49.000 --> 00:00:52.000]  我們在這種環境裡面
[00:00:52.000 --> 00:00:56.000]  主耶穌竟然將一個大的使命
[00:00:56.000 --> 00:01:00.000]  這個要將福音傳遍天下的
[00:01:00.000 --> 00:01:03.000]  要將天國福音傳到地極的
[00:01:03.000 --> 00:01:06.000]  要使到萬民做主的門徒的
[00:01:06.000 --> 00:01:10.000]  這麼大的一個使命託付給我們
[00:01:10.000 --> 00:01:14.000]  有時候我們覺得很大壓力
[00:01:14.000 --> 00:01:17.000]  感覺到力不從心
[00:01:17.000 --> 00:01:18.000]  我們算什麼人呢?
[00:01:18.000 --> 00:01:22.000]  我們都是一群小人物
[00:01:22.000 --> 00:01:25.000]  一個小人物在一個這麼大的時代裡面
[00:01:25.000 --> 00:01:28.000]  我們怎麼能夠完成這個大使命呢?
[00:01:28.000 --> 00:01:32.000]  今天我們從這一段很熟習的經文裡面
[00:01:32.000 --> 00:01:34.000]  我們來思想
[00:01:34.000 --> 00:01:37.000]  這一段熟習的經文我們嘗試從
[00:01:37.000 --> 00:01:41.000]  撒慕爾記十六章一直讀到十七章
[00:01:41.000 --> 00:01:43.000]  來看它完整的一個信息
[00:01:43.000 --> 00:01:47.000]  這個信息是說到在一個時難的裡面
[00:01:47.000 --> 00:01:49.000]  神會選擇一些人
[00:01:49.000 --> 00:01:50.000]  什麼人呢?
[00:01:50.000 --> 00:01:53.000]  是選擇一些信靠祂的人
[00:01:53.000 --> 00:01:55.000]  來興起他們
[00:01:55.000 --> 00:01:58.000]  來完成神所託付給他們的使命
[00:01:58.000 --> 00:02:02.000]  在其中彰顯神的榮耀
[00:02:02.000 --> 00:02:06.000]  這是這兩章聖經裡面所提出來的一個信息
[00:02:06.000 --> 00:02:08.000]  在一個時難的裡面
[00:02:08.000 --> 00:02:11.000]  無論是大衛那時候的困難
[00:02:11.000 --> 00:02:14.000]  或者是我們現在所面對的難處
[00:02:14.000 --> 00:02:16.000]  無論我們在一個時局
[00:02:16.000 --> 00:02:18.000]  雖然環境不同
[00:02:18.000 --> 00:02:20.000]  困難的程度也不同
[00:02:20.000 --> 00:02:22.000]  但是神的工作沒有改變
[00:02:22.000 --> 00:02:25.000]  神在那時候選擇大衛出來
[00:02:25.000 --> 00:02:27.000]  面對他的時難
[00:02:27.000 --> 00:02:29.000]  解開他們當時的困境
[00:02:29.000 --> 00:02:32.000]  同樣今天會選擇你和我
[00:02:32.000 --> 00:02:34.000]  在我們這個大時代裡面
[00:02:34.000 --> 00:02:36.000]  完成祂的使命
[00:02:36.000 --> 00:02:41.000]  我們來看看從十六章開始
[00:02:41.000 --> 00:02:45.000]  看看當時的情景是一個什麼時代
[00:02:45.000 --> 00:02:47.000]  什麼的一個情景
[00:02:47.000 --> 00:02:49.000]  十六章一開始的時候
[00:02:49.000 --> 00:02:53.000]  就說到當時以色列的蘇羅王
[00:02:53.000 --> 00:02:55.000]  已經離開了耶和華神
[00:02:55.000 --> 00:02:58.000]  多次的不信服他
[00:02:58.000 --> 00:03:02.000]  於是神定意要改朝換代
[00:03:02.000 --> 00:03:04.000]  就要選立一個新的王
[00:03:04.000 --> 00:03:09.000]  當時撒慕爾內心裡很難過
[00:03:09.000 --> 00:03:11.000]  很難過
[00:03:11.000 --> 00:03:13.000]  在這種悲傷的裡面
[00:03:13.000 --> 00:03:16.000]  耶和華神就說你不要這麼難過
[00:03:16.000 --> 00:03:18.000]  你不要這麼悲傷
[00:03:18.000 --> 00:03:21.000]  我厭棄了蘇羅當以色列王
[00:03:21.000 --> 00:03:23.000]  你不要這麼悲傷
[00:03:23.000 --> 00:03:24.000]  過分的悲傷
[00:03:24.000 --> 00:03:25.000]  你要做什麼呢?
[00:03:25.000 --> 00:03:27.000]  你現在要起身
[00:03:27.000 --> 00:03:30.000]  然後戴一個角
[00:03:30.000 --> 00:03:31.000]  就是牛角
[00:03:31.000 --> 00:03:33.000]  裡面盛滿了高油
[00:03:33.000 --> 00:03:36.000]  然後就要去到巴特里
[00:03:36.000 --> 00:03:38.000]  在巴里行那裡
[00:03:38.000 --> 00:03:41.000]  去到一個家人耶西家
[00:03:41.000 --> 00:03:42.000]  然後你在那裡
[00:03:42.000 --> 00:03:45.000]  假以憲制的名義
[00:03:45.000 --> 00:03:47.000]  然後招贅他們和其他的長老
[00:03:47.000 --> 00:03:50.000]  一起來有一個筵席
[00:03:50.000 --> 00:03:52.000]  在中間我就會教導你
[00:03:52.000 --> 00:03:53.000]  做什麼事情
