
[00:00:00.000 --> 00:00:08.440]  我們查考《雅歌書》進入了第七和第八章
[00:00:08.440 --> 00:00:10.480]  這兩章聖經裡面
[00:00:10.480 --> 00:00:14.520]  講及到一些比較敏感性的問題
[00:00:14.520 --> 00:00:17.320]  我們來做一個總結
[00:00:17.320 --> 00:00:21.640]  將八章聖經來查考完畢
[00:00:21.640 --> 00:00:27.320]  我們說《雅歌書》是涉及到神與人之間的關係
[00:00:27.320 --> 00:00:32.760]  同樣也涉及到夫妻的關係
[00:00:32.760 --> 00:00:38.600]  將原則也可以應用在同工之間的關係裡面
[00:00:38.600 --> 00:00:45.400]  《雅歌書》我們一直所採用是一個綜合性的查考方式
[00:00:45.400 --> 00:00:49.080]  它的題材是一些古代的題材
[00:00:49.080 --> 00:00:52.440]  我們不多講它的題材
[00:00:52.440 --> 00:00:57.480]  但在歷史裡面無論猶太人或初期教會
[00:00:57.480 --> 00:01:01.160]  甚至中古時期甚至到我們現代
[00:01:01.160 --> 00:01:06.520]  都有不少人用一種寓意或靈意的解釋
[00:01:06.520 --> 00:01:11.480]  講及到所羅門代表耶和華
[00:01:11.480 --> 00:01:15.320]  而蘇拉密的女子代表以色列
[00:01:15.320 --> 00:01:19.080]  或者在教會的傳統裡面
[00:01:19.080 --> 00:01:26.440]  講到神與基督教會之間的關係
[00:01:26.440 --> 00:01:33.480]  這是一個寓意或預表性的解釋來思想
[00:01:33.480 --> 00:01:35.400]  在另一方面來說
[00:01:35.400 --> 00:01:40.280]  如果從一個實意的方式來理解的話
[00:01:40.280 --> 00:01:44.680]  你會發現它是講到男女之間的關係
[00:01:44.680 --> 00:01:47.720]  它有一個故事、一個情節的發展
[00:01:47.720 --> 00:01:53.480]  來引述到所羅門和蘇拉密女子之間的關係
[00:01:53.480 --> 00:01:55.480]  我們是採用一個綜合性
[00:01:55.480 --> 00:01:59.720]  意思就是先從實意方面來理解
[00:01:59.720 --> 00:02:03.080]  所以可以應用在夫妻的關係裡面
[00:02:03.080 --> 00:02:05.960]  同時你可以將它投射出來
[00:02:05.960 --> 00:02:11.160]  來應用在神與人之間的關係裡面
[00:02:11.160 --> 00:02:15.560]  在一個屬靈方面、一個靈意方面的解釋
[00:02:15.560 --> 00:02:18.360]  而它的原則也可以應用在
[00:02:18.360 --> 00:02:22.360]  人與人之間同工相處的關係裡面
[00:02:22.360 --> 00:02:25.640]  所以我們說這個應用條
[00:02:25.640 --> 00:02:31.000]  就是講到我們需要將發生在哪時哪地
[00:02:31.000 --> 00:02:37.240]  所羅門、巴勒斯坦和我們今時今地
[00:02:37.240 --> 00:02:40.040]  我們之間的關係
[00:02:40.040 --> 00:02:43.720]  如何透過一個條量、一個應用條
[00:02:43.720 --> 00:02:46.520]  將它的經文首先正義化
[00:02:46.520 --> 00:02:50.120]  按照它的治義的解釋來理解
[00:02:50.120 --> 00:02:52.440]  然後抽出一個原則出來
[00:02:52.440 --> 00:02:57.480]  而這個原則你可以應用在神與人的關係
[00:02:57.480 --> 00:02:59.480]  可以應用在夫妻關係
[00:02:59.480 --> 00:03:03.560]  可以應用在同工之間的關係裡面
[00:03:03.560 --> 00:03:08.360]  所以我們說這是一個聖經的應用條
[00:03:08.360 --> 00:03:10.600]  就釋放到這三方面
[00:03:10.600 --> 00:03:17.880]  都可以包含在《雅歌書》的實踐應用範圍裡面
[00:03:17.880 --> 00:03:22.440]  就是神人、夫妻和同工的關係
[00:03:22.440 --> 00:03:27.000]  我們說從一個治義的發展
[00:03:27.000 --> 00:03:29.160]  一個民體的發展的話
[00:03:29.160 --> 00:03:32.120]  它是有一個情節的
[00:03:32.120 --> 00:03:36.360]  先是講愛情的初常
[00:03:36.360 --> 00:03:39.160]  在婚禮、進入洞房
[00:03:39.160 --> 00:03:41.480]  然後有一個回顧
[00:03:41.480 --> 00:03:47.880]  回顧到他以前在新娘在田裡面工作的時候
[00:03:47.880 --> 00:03:49.880]  將她的膚色曬黑了
[00:03:49.880 --> 00:03:54.520]  就講及到這種關係的一個回憶
[00:03:54.520 --> 00:03:58.520]  然後再一次又回到婚禮裡面
[00:03:58.520 --> 00:04:03.080]  所以是交替交替地來對照的
[00:04:03.080 --> 00:04:07.480]  然後進入第四、第五章的時候
[00:04:07.480 --> 00:04:12.680]  你會發現他們之間的關係出現了一種矛盾
[00:04:12.680 --> 00:04:16.040]  一種糾紛、出現了一種張力
[00:04:16.040 --> 00:04:20.120]  在這種愛的創傷、情的創傷裡面
[00:04:20.120 --> 00:04:24.520]  他們怎麼能夠進一步達到一個復合呢?
