
[00:00:00.000 --> 00:00:04.000]  各位電影姐妹早安
[00:00:04.000 --> 00:00:08.000]  很感謝小燕的帶領
[00:00:08.000 --> 00:00:12.000]  這個學季就是開始禮拜五的靈修組會
[00:00:12.000 --> 00:00:16.000]  靈修組會這個安排就是兩年前
[00:00:16.000 --> 00:00:20.000]  就會有這個禮拜五可以隔個禮拜
[00:00:20.000 --> 00:00:24.000]  就會有些靈修的時間
[00:00:24.000 --> 00:00:28.000]  通常的模式都是20分鐘的講道20分鐘的密相
[00:00:28.000 --> 00:00:30.000]  然後有少少的分享
[00:00:30.000 --> 00:00:32.000]  彼此的分享
[00:00:32.000 --> 00:00:34.000]  彼此的分享完了就完了
[00:00:34.000 --> 00:00:39.000]  其實就是培養一下大家的靈命和一些屬靈的氣氛
[00:00:39.000 --> 00:00:41.000]  今年的題目是什麼呢
[00:00:41.000 --> 00:00:47.000]  今年的題目就是用八幅作為靈修組會的主題
[00:00:47.000 --> 00:00:50.000]  所以我今天應該講第一幅
[00:00:50.000 --> 00:00:54.000]  之後所有的老師都是講八幅
[00:00:54.000 --> 00:00:57.000]  但是靈修組會不只是八次這麼少
[00:00:57.000 --> 00:01:01.000]  所以繼續講馬太福音第五章的內容
[00:01:01.000 --> 00:01:03.000]  去到最後那位是最重要的
[00:01:03.000 --> 00:01:04.000]  首尾呼應
[00:01:04.000 --> 00:01:07.000]  因為黃東子敏博士是最後一位
[00:01:07.000 --> 00:01:11.000]  他就會講最後的情況
[00:01:11.000 --> 00:01:13.000]  每兩個禮拜一次左右
[00:01:13.000 --> 00:01:16.000]  不是很密的時間
[00:01:16.000 --> 00:01:19.000]  就和大家一起去到密相這個八幅
[00:01:19.000 --> 00:01:20.000]  就是這樣的時間
[00:01:20.000 --> 00:01:24.000]  今天第一幅就會和大家分享這個福
[00:01:24.000 --> 00:01:26.000]  就是虛心的人有福了
[00:01:26.000 --> 00:01:28.000]  應該小燕也翻查過原文
[00:01:28.000 --> 00:01:32.000]  因為這個原文就是靈女貧窮
[00:01:32.000 --> 00:01:34.000]  所以窮得使聖下嘟
[00:01:34.000 --> 00:01:37.000]  其實就是比較貼合今天的題目
[00:01:37.000 --> 00:01:40.000]  我也很懷疑剛才那句話
[00:01:40.000 --> 00:01:44.000]  窮得使聖下的填充題是用來表白的
