
[00:00:00.000 --> 00:00:15.000]  能夠一起高歌頌讚,能夠聆聽聖經的宣講和宣讀,不是一件必然的事。
[00:00:15.000 --> 00:00:31.000]  歷世歷代基督的教會,歷史上和聖經的啟示,都是很清晰的告訴我們,受苦是會發生的。
[00:00:31.000 --> 00:00:46.000]  今日要思想的經文,彼得前書四章十二至十九節,亦是整卷的彼得前書,關於受苦的一個高峰。
[00:00:46.000 --> 00:01:01.000]  不是最後一段講受苦的經文,但是整卷書裏面是關乎受苦的教訓,一個很核心的總結。
[00:01:01.000 --> 00:01:21.000]  我在想,為了信仰受苦,為了信耶穌而受苦,不知道基督教豐盛生命堂裏面有多少人是有實際的經驗呢?有還是沒有呢?
[00:01:21.000 --> 00:01:40.000]  我懷疑我們在香港生活的一班基督徒,其實由信主到今日,可能都沒有因為信仰的緣故,受到政治的迫害。
[00:01:40.000 --> 00:02:00.000]  沒有被褫奪我們公民的任何權利。但是我們再想想,香港是這樣的,其實早二三十年,或者三四十年,是隔一條深圳河的地方。
[00:02:00.000 --> 00:02:15.000]  你問教會有沒有受苦,我想我們都有弟兄姊妹,包括我們所敬重的長者,我們雍榮興教師,今年九十多歲。
[00:02:15.000 --> 00:02:28.000]  他的生命,他的見證,是告訴我們,親愛的弟兄姊妹,受苦作為基督徒,其實是分不開的事。
[00:02:28.000 --> 00:02:44.000]  或者在今時今日,我們再放眼這個世界,我們發覺,因為信耶穌,因為你是基督徒,而受苦的這些事情,是無日無之。
[00:02:44.000 --> 00:03:02.000]  在埃及,有歷史悠久的Coptic Church,在敘利亞,也有這個教會,他們的最高領袖,都被擄掠,被俘虜了,被威脅。
[00:03:02.000 --> 00:03:24.000]  有一個十歲的弟弟,他讀聖經班,回家的途中,被人殺害。在這個穆斯林政權被推翻的過程裏,有82間基督教的教堂,或者是那些單位,被焚燒。
[00:03:24.000 --> 00:03:42.000]  在伊斯蘭的世界,阿拉伯的世界,極權國家的裏面,甚至是所謂民主自由的世界裏面,今日仍然有不少的弟兄姊妹,是因為信仰的緣故,來受苦受難。
[00:03:42.000 --> 00:04:03.000]  說實話,今早唱歌是不是很爽氣?今天這個世界是不喜歡爽氣的,今天這個世界是舒舒服服的,坐在家裏看電視,看YouTube,然後看Show,來做基督徒,這樣就很爽了。
[00:04:03.000 --> 00:04:17.000]  叫你看多點字,消化多點東西,叫你用多點氣,來唱歌,叫你給多點力量,為了信仰來付出,我們已經覺得,用不著這樣,用不著這麼認真。
