
[00:00:00.000 --> 00:00:06.600]  我們今天繼續講《使徒行傳》
[00:00:06.600 --> 00:00:10.080]  今天要講第九章《使徒行傳》
[00:00:10.080 --> 00:00:12.080]  就是蘇羅的改變
[00:00:12.080 --> 00:00:14.080]  蘇羅接受耶穌基督
[00:00:14.080 --> 00:00:16.080]  我叫今天的題目做
[00:00:16.080 --> 00:00:19.520]  改變生命的四個際遇
[00:00:19.520 --> 00:00:22.080]  一個真正接受耶穌基督
[00:00:22.080 --> 00:00:24.080]  重新得救的人
[00:00:24.080 --> 00:00:28.400]  我相信都有同樣四個際遇在我們身上
[00:00:28.400 --> 00:00:30.400]  成為我們的標記
[00:00:30.400 --> 00:00:33.680]  蘇羅的改變
[00:00:33.680 --> 00:00:36.080]  其實在教會的歷史當中
[00:00:36.080 --> 00:00:39.200]  可以說除了教會的誕生
[00:00:39.200 --> 00:00:42.960]  聖靈的降臨是最重要的一件事
[00:00:42.960 --> 00:00:47.680]  其次重要的就是福音傳到外邦人那裏
[00:00:47.680 --> 00:00:49.680]  《使徒行傳》第十章
[00:00:49.680 --> 00:00:52.160]  就是我下一次會跟大家講
[00:00:52.160 --> 00:00:55.600]  保羅會成為外邦人的使徒
[00:00:55.600 --> 00:00:57.280]  繼續神的工作
[00:00:57.280 --> 00:01:00.160]  將福音傳遍整個世界
[00:01:00.160 --> 00:01:03.600]  斯布真曾經說過
[00:01:03.600 --> 00:01:08.560]  他相信當時蘇羅是騎著一匹高頭的大馬
[00:01:08.560 --> 00:01:12.000]  義氣風發地去到大馬色
[00:01:12.000 --> 00:01:15.600]  來緝拿基督徒
[00:01:15.600 --> 00:01:19.040]  帶他們回去耶路撒冷來審判
[00:01:19.040 --> 00:01:22.800]  但是在幾秒鐘的時候
[00:01:22.800 --> 00:01:26.320]  他的生命就有很大很大的改變
[00:01:26.320 --> 00:01:29.200]  神將他打了落地
[00:01:29.200 --> 00:01:31.200]  他爬不起來
[00:01:31.200 --> 00:01:35.280]  蘇羅的改變在《使徒行傳》裏面
[00:01:35.280 --> 00:01:37.280]  出現了三次的描述
[00:01:37.280 --> 00:01:39.280]  《使徒行傳》第九章
[00:01:39.280 --> 00:01:43.280]  第二十二章、二十六章都有描述
[00:01:43.280 --> 00:01:46.480]  在綜合以上三個描述
[00:01:46.480 --> 00:01:50.640]  我們看到蘇羅的生命有四個際遇
[00:01:50.640 --> 00:01:56.000]  第一個際遇就是他與主相遇
[00:01:56.000 --> 00:01:59.840]  我們每一個基督徒在我們的生命當中
[00:01:59.840 --> 00:02:01.840]  我們接受耶穌基督
[00:02:01.840 --> 00:02:03.840]  我們都曾經與主相遇
[00:02:03.840 --> 00:02:08.160]  當蘇羅迫使基督徒的時候
[00:02:08.160 --> 00:02:11.360]  在《使徒行傳》的九章二節
[00:02:11.360 --> 00:02:15.200]  說他迫使信奉者道的人
