
[00:00:00.000 --> 00:00:02.000]  各位電影節的朋友們平安
[00:00:02.000 --> 00:00:04.000]  我感謝各位電影節的朋友們知道
[00:00:04.000 --> 00:00:07.000]  我剛剛完結了一個稍長的假期
[00:00:07.000 --> 00:00:08.000]  回到香港
[00:00:08.000 --> 00:00:11.000]  所以有幾個星期見不到大家了
[00:00:11.000 --> 00:00:15.000]  這次去放假主要是在美國
[00:00:15.000 --> 00:00:18.000]  因為我的兒子生了個女兒
[00:00:18.000 --> 00:00:21.000]  所以我第一次看孫子
[00:00:21.000 --> 00:00:23.000]  是非常快樂和感恩
[00:00:23.000 --> 00:00:25.000]  又有家庭相聚的時間
[00:00:25.000 --> 00:00:28.000]  也再次感謝各位電影節的朋友們
[00:00:28.000 --> 00:00:33.000]  也再次體會到上帝是一路恩待屬神的人
[00:00:33.000 --> 00:00:36.000]  賜給我們有家庭之樂
[00:00:36.000 --> 00:00:39.000]  特別體會到其實有很多東西要重新學習
[00:00:39.000 --> 00:00:42.000]  我幫孫子去換片
[00:00:42.000 --> 00:00:44.000]  發現他笨手笨腳
[00:00:44.000 --> 00:00:47.000]  然後我兒子教我怎樣換片
[00:00:47.000 --> 00:00:49.000]  我突然看著他
[00:00:49.000 --> 00:00:52.000]  我以前幫你換片的
[00:00:52.000 --> 00:00:54.000]  現在要重新學習
[00:00:54.000 --> 00:00:57.000]  在不同階段都有新的體會
[00:00:57.000 --> 00:00:58.000]  新的學習
[00:00:58.000 --> 00:01:01.000]  但是感謝上帝賜我們恩惠
[00:01:01.000 --> 00:01:05.000]  也看到兒子的確要慢慢起來
[00:01:05.000 --> 00:01:07.000]  特別照顧孩子
[00:01:07.000 --> 00:01:09.000]  晚上的需要
[00:01:09.000 --> 00:01:11.000]  今天也是一個特別的日子
[00:01:11.000 --> 00:01:13.000]  是父親節
[00:01:13.000 --> 00:01:17.000]  我們也很感謝上帝賜給我們家庭有父親
[00:01:17.000 --> 00:01:19.000]  或者你本身也承受神給你的恩惠
[00:01:19.000 --> 00:01:21.000]  能夠可以做父親
[00:01:21.000 --> 00:01:24.000]  沒錯我們沒有一個人是完美
[00:01:24.000 --> 00:01:28.000]  但是的確父親在很多子女的生命當中
[00:01:28.000 --> 00:01:30.000]  是負上代價
[00:01:30.000 --> 00:01:33.000]  是負上很多很多的關懷
[00:01:33.000 --> 00:01:37.000]  我們在座當中向父親致敬
