
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 主佬平安
[00:00:02.000 --> 00:00:04.800]  今早我們選擇了
[00:00:04.800 --> 00:00:11.000]  摩西五經新命記第20章的經文
[00:00:11.000 --> 00:00:17.000]  我們的題目是「戰爭的墳會」
[00:00:17.000 --> 00:00:21.000]  我們讀舊約聖經一般都有一個印象
[00:00:21.000 --> 00:00:25.000]  就是覺得戰爭不斷
[00:00:25.000 --> 00:00:27.000]  暴力不斷
[00:00:27.000 --> 00:00:34.000]  戰爭不斷 暴力 血腥 殘酷
[00:00:34.000 --> 00:00:41.000]  甚至我們說上帝是否嗜血 好戰
[00:00:41.000 --> 00:00:46.000]  在很多神話故事裏面
[00:00:46.000 --> 00:00:50.000]  神明是戰神
[00:00:50.000 --> 00:00:53.000]  我們必須要記得
[00:00:53.000 --> 00:01:00.000]  如果上帝真的要在人類的歷史現實當中
[00:01:00.000 --> 00:01:05.000]  來有祂奇妙的作為
[00:01:05.000 --> 00:01:12.000]  那聖經記載的不是一個神話 童話
[00:01:12.000 --> 00:01:14.000]  一個烏托邦
[00:01:14.000 --> 00:01:15.000]  不是
[00:01:15.000 --> 00:01:24.000]  人類的歷史的確是充滿了殺戮 爭鬥和衝突
[00:01:24.000 --> 00:01:33.000]  這個是古今中外到今天不爭的事實
[00:01:33.000 --> 00:01:39.000]  但今天我們要讀的這一章新命記20章
[00:01:39.000 --> 00:01:45.000]  卻是聖經新舊約66卷裏面
[00:01:45.000 --> 00:01:53.000]  唯一有關於戰爭的訓誨教導
[00:01:53.000 --> 00:01:58.000]  不是記載歷史事實怎樣發生
[00:01:58.000 --> 00:02:04.000]  而是記載上帝教導祂的子民
[00:02:04.000 --> 00:02:10.000]  如果遇到戰爭應該怎樣做
[00:02:10.000 --> 00:02:15.000]  這就很特別和很重要
[00:02:15.000 --> 00:02:19.000]  我們讀聖經的歷史記載
[00:02:19.000 --> 00:02:23.000]  讀完之後我們需要明白它的來龍去脈
[00:02:23.000 --> 00:02:26.000]  為何會發生這些事情 很不幸
[00:02:26.000 --> 00:02:33.000]  但我們不需要在當中照著去做
[00:02:33.000 --> 00:02:38.000]  但如果是訓誨 如果是上帝的教導
[00:02:38.000 --> 00:02:44.000]  我們不單只需要明白猶太拉比的
[00:02:44.000 --> 00:02:47.000]  《釋經傳統》和我們分開
[00:02:47.000 --> 00:02:50.000]  有些經文你明白了不用進行
[00:02:50.000 --> 00:02:54.000]  但有些經文上帝的教導
[00:02:54.000 --> 00:02:58.000]  上帝的吩咐 誡明 律例 典章
[00:02:58.000 --> 00:03:09.000]  《新命記》二十章是屬於我們需要進行的訓誨
[00:03:09.000 --> 00:03:17.000]  這章的經文關於戰爭有甚麼教導
[00:03:17.000 --> 00:03:20.000]  我們平時很少讀
[00:03:20.000 --> 00:03:23.000]  所以閉上眼睛我們就叫
[00:03:23.000 --> 00:03:25.000]  上帝很殘忍 夠弱的上帝
[00:03:25.000 --> 00:03:29.000]  經常殺人 打開眼睛
[00:03:29.000 --> 00:03:31.000]  我們看清楚一點
[00:03:31.000 --> 00:03:36.000]  《聖經》唯一二十節 其實不是很長
[00:03:36.000 --> 00:03:41.000]  怎樣教導有關戰爭
[00:03:41.000 --> 00:03:48.000]  這章的經文可以分開五個段落
[00:03:48.000 --> 00:03:50.000]  如果你有《聖經》在手的
[00:03:50.000 --> 00:03:52.000]  我鼓勵你也打開
[00:03:52.000 --> 00:03:57.000]  頭兩段息息相關
[00:03:57.000 --> 00:04:01.000]  第一節到第四節
[00:04:01.000 --> 00:04:08.000]  然後第五節到第九節
[00:04:08.000 --> 00:04:11.000]  這兩個小段落講的是甚麼
[00:04:11.000 --> 00:04:15.000]  二十章《新命記》第一節開頭
[00:04:15.000 --> 00:04:21.000]  你出去與仇敵爭戰的時候
